mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	C#e2d	cD#class
67	76	train	0.081745274	0.009189988	-0.07221572	0.0221368	0.0086821355	0.0506768	0.004952816	0.1464587	0.028795933	-0.009493033	0.058683146	0.27681223	0.19218348	-0.007568852	0.24073829	0.29155752	0.012421298	0.08290414	0.1785757	0.024381153	0.012193601	0.5307808	0.09523503	0.06280291	-0.00027742452	0.7160267	0.08080194	-0.03754275	-0.011640529	0.26223123	0.052397456	0.010852242	3.395479005004745	1
7	65	train	-0.11313811	-0.03964816	0.016771285	0.117376246	-0.003856504	0.0029522323	0.2474143	-0.0072778612	0.1141006	-0.08488539	0.07538447	0.23992272	0.0019981118	0.0793487	-0.029260123	-0.062428266	0.037295543	0.10931569	0.029358659	0.028124003	0.5104569	0.05347112	0.77659726	-0.0043477523	0.004260547	-0.053687952	0.06833112	0.023345288	0.14974189	0.18610619	-0.024622386	0.04490308	2.4934234709944576	1
3	65	train	0.063448235	0.072053686	-0.033595208	0.067044534	-0.0779944	0.00072515523	0.41785076	-0.0007590414	0.09045983	4.2488013e-05	0.06671691	0.24286567	-0.0050867293	0.15427187	0.07115388	0.067023	-0.036003184	0.016623382	0.03577169	-0.04682969	0.5299813	0.13473822	0.57979393	-0.0090114195	0.015901959	-0.05132103	0.02345684	0.016334565	0.13726832	0.09427441	-0.039104827	0.03713524	2.635230364423478	1
71	77	train	0.31089956	0.07599755	-0.013377539	0.008710375	-0.00048673022	0.072767854	0.05842901	0.051285543	0.060769252	0.080875784	0.039221417	0.029998932	-0.020585323	0.06816579	0.22653902	0.16431354	-0.0028851393	0.006685634	-0.008462499	-0.019156864	0.00057817687	0.8789832	0.17524731	-0.011622674	-0.0043984996	0.3197637	0.3877917	0.3209538	0.018783072	0.09877935	0.014686765	0.0047393385	3.3939903623831924	1
9	79	train	-0.00072310667	0.33556524	0.39832768	0.024821226	0.010897001	-0.065712295	0.19367337	0.731018	-0.0017956482	0.09917127	0.36817262	0.029956242	0.003489382	-0.025179742	0.039993025	0.043000657	0.13639557	0.15745385	-0.053925354	0.09475377	0.18069342	0.09569638	0.031275004	0.062848076	0.09581659	-0.015917026	0.03294432	0.29263395	0.2051863	0.067374706	0.0057096393	0.122881144	3.6964952829293907	1
51	52	train	0.0034996497	0.2816821	0.36424783	0.14123446	-0.08814302	-0.023125239	0.08427141	0.6462364	-0.052472856	0.08557283	0.11401145	0.034443963	-0.05666281	-0.011477609	0.14890555	0.001973705	0.12603788	-0.007591807	0.019745884	0.049446575	-0.020968452	0.046165563	-0.0032865347	0.29263598	0.04625209	-0.056637455	-0.049233012	0.10349593	0.36964986	0.038164113	0.02112418	0.09925068	2.7484493074007332	1
79	109	train	0.0017436869	0.2578004	0.44599658	0.018084105	0.014797344	0.034710526	0.46470773	0.53528386	0.034543715	0.15698737	0.37459132	0.040403366	-0.025087187	0.02968604	0.0035560739	-0.024842419	0.1617871	0.101300426	0.08581945	0.06534026	0.19831868	0.05954339	0.102767974	0.06480212	0.07452309	-0.005816164	0.10258439	0.22400214	0.13460289	0.07120168	0.07217549	-0.040581405	3.8353340171743184	1
15	55	train	-0.011832626	0.31792733	0.016929215	0.101099245	0.100847065	0.14494894	-0.01143754	0.14952578	0.03499301	0.22514956	-0.0027082246	0.003324465	-0.0030486023	0.14595184	0.096754394	-0.0017832883	0.050419684	0.015688399	0.028316157	0.12909657	0.8091808	0.61442167	0.25396052	-0.033807196	0.017448477	0.03664726	0.09061032	0.36903617	0.20887023	-0.0075953174	0.16781418	0.021841189	4.078589662909508	1
9	78	train	-0.0026688348	0.20752244	0.19649006	0.08343393	-0.026934855	-0.086749144	0.081901	0.46989015	-0.0018908153	0.1511053	0.25488758	0.07069233	-0.009644875	0.035634056	0.013911002	0.049100004	0.1503336	0.059289396	-0.056253314	0.14359264	0.3166975	0.09721361	0.033503175	0.22718485	0.5389221	-0.011599957	0.023906924	0.11389348	0.12865867	0.16887641	-0.0003996563	0.007279539	3.427778268989641	1
84	115	train	-0.008005686	0.12518957	0.014537885	0.1548493	0.066493	0.084095135	0.27135158	0.20741682	0.13882148	0.020998215	0.09239822	0.20875435	-0.036274374	0.007283137	0.05978756	0.000485162	0.013359221	0.1393898	-0.010073105	-0.0811347	0.027828835	-0.0008043807	0.6833865	0.090728804	0.27269265	0.037740573	0.02137526	0.17957146	0.0005394737	0.11740577	0.20926465	-0.002450413	3.1070017610036302	1
