mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	C#orbit-15	C#orbit-16	C#orbit-17	C#orbit-18	C#orbit-19	C#orbit-20	C#orbit-21	C#orbit-22	C#orbit-23	C#orbit-24	C#orbit-25	C#orbit-26	C#orbit-27	C#orbit-28	C#orbit-29	C#orbit-30	C#orbit-31	C#orbit-32	C#orbit-33	C#orbit-34	C#orbit-35	C#orbit-36	C#orbit-37	C#orbit-38	C#orbit-39	C#orbit-40	C#orbit-41	C#orbit-42	C#orbit-43	C#orbit-44	C#orbit-45	C#orbit-46	C#orbit-47	C#orbit-48	C#orbit-49	C#orbit-50	C#orbit-51	C#orbit-52	C#orbit-53	C#orbit-54	C#orbit-55	C#orbit-56	C#orbit-57	C#orbit-58	C#orbit-59	C#orbit-60	C#orbit-61	C#orbit-62	C#orbit-63	C#orbit-64	C#orbit-65	C#orbit-66	C#orbit-67	C#orbit-68	C#orbit-69	C#orbit-70	C#orbit-71	C#orbit-72	cD#class
1	Brigham Young	12	71	43	23	433	575	116	66	11	105	158	113	13	6	35	2312	3053	1692	732	1384	978	1361	79	46	614	243	718	655	1009	1280	950	211	161	193	47	98	51	78	59	55	55	17	24	54	22	82	64	98	52	2	0	41	29	43	0	0	131	333	160	7	1	0	1	1	6	21	27	15	0	0	1	0	35	8
2	Florida State	12	58	37	29	363	461	98	49	13	81	147	108	2	7	56	2105	2425	1069	687	1150	859	971	68	30	491	157	480	464	795	1229	950	188	129	150	58	53	44	84	57	56	6	7	21	29	0	70	17	7	89	0	0	65	18	71	0	0	101	396	203	0	0	0	1	1	0	0	12	21	0	0	0	0	70	1
3	Iowa	12	72	41	25	446	474	145	47	26	52	178	117	44	35	21	2386	2812	1294	777	1699	893	727	124	15	297	291	775	647	410	1359	765	133	227	118	57	108	97	189	95	50	262	104	123	23	67	77	140	227	232	2	1	42	33	81	10	4	23	191	83	39	24	14	5	14	13	24	26	26	40	10	23	30	5	3
4	Kansas State	12	73	44	22	424	527	145	73	32	68	152	91	30	39	17	2358	3055	1519	752	1690	1045	1294	129	61	442	224	572	598	552	1019	641	163	176	140	75	87	84	209	123	57	147	89	125	64	8	64	67	103	271	3	4	45	29	57	6	8	45	136	54	35	48	24	13	34	31	13	30	47	29	8	9	14	6	4
5	New Mexico	11	62	32	23	394	389	111	34	21	70	167	90	11	6	35	2002	2132	980	677	1303	689	617	95	12	385	270	569	617	542	1315	660	145	190	103	67	62	54	165	57	74	62	11	18	57	22	106	56	53	60	2	7	68	29	92	0	0	57	348	125	13	6	0	4	8	2	6	27	15	1	0	1	0	35	8
6	Texas Tech	12	64	42	24	371	417	100	59	34	58	159	99	30	45	17	2283	2357	1006	656	1203	623	791	53	35	387	249	572	508	424	1096	558	138	167	131	50	51	112	163	146	12	127	118	117	56	21	26	92	113	268	8	0	55	21	65	2	12	48	122	54	23	49	52	18	33	39	22	39	45	24	7	6	15	6	4
7	Penn State	12	77	45	21	472	588	162	80	28	79	141	90	31	30	20	2564	3324	1769	813	1992	1221	1539	147	75	471	210	531	666	737	1094	745	219	153	150	103	85	113	224	132	58	180	89	120	22	0	87	105	123	184	0	1	62	26	73	2	0	79	183	80	18	14	5	5	11	10	10	22	20	40	10	20	30	5	3
8	Southern California	12	68	40	26	391	496	131	61	28	81	136	90	30	37	32	2039	2698	1311	598	1518	960	1108	130	48	463	143	420	575	748	995	797	193	112	120	67	71	89	228	120	61	121	67	105	53	0	109	77	83	248	5	5	70	28	56	5	12	94	204	104	16	20	12	1	25	13	1	24	24	26	6	32	48	16	9
9	Arizona State	11	56	29	26	306	275	87	26	33	46	139	76	40	31	32	1718	1447	568	484	967	317	321	50	7	297	168	309	523	332	1095	452	85	122	53	35	31	76	211	62	17	184	64	71	14	18	13	91	108	163	8	11	67	18	92	10	3	51	227	84	11	25	12	3	33	11	15	29	12	33	6	33	48	16	9
10	San Diego State	11	57	29	26	350	327	76	24	17	75	175	83	17	23	35	1976	1723	810	650	929	446	362	46	5	420	259	480	478	528	1346	586	86	185	67	39	46	49	66	61	73	41	45	37	79	20	85	69	85	187	5	5	36	31	57	6	1	68	338	95	19	31	23	20	1	10	24	17	45	8	2	1	0	35	8
