mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	C#orbit-15	C#orbit-16	C#orbit-17	C#orbit-18	C#orbit-19	C#orbit-20	C#orbit-21	C#orbit-22	C#orbit-23	C#orbit-24	C#orbit-25	C#orbit-26	C#orbit-27	C#orbit-28	C#orbit-29	C#orbit-30	C#orbit-31	C#orbit-32	C#orbit-33	C#orbit-34	C#orbit-35	C#orbit-36	C#orbit-37	C#orbit-38	C#orbit-39	C#orbit-40	C#orbit-41	C#orbit-42	C#orbit-43	C#orbit-44	C#orbit-45	C#orbit-46	C#orbit-47	C#orbit-48	C#orbit-49	C#orbit-50	C#orbit-51	C#orbit-52	C#orbit-53	C#orbit-54	C#orbit-55	C#orbit-56	C#orbit-57	C#orbit-58	C#orbit-59	C#orbit-60	C#orbit-61	C#orbit-62	C#orbit-63	C#orbit-64	C#orbit-65	C#orbit-66	C#orbit-67	C#orbit-68	C#orbit-69	C#orbit-70	C#orbit-71	C#orbit-72	cD#class
1	Aage Rasmus Bjelland Figenschou	8	58	16	12	113	232	263	0	0	142	174	48	0	0	8	178	452	552	209	907	1052	0	839	0	507	696	696	195	568	339	348	1213	789	0	0	0	0	0	0	28	0	0	0	426	36	30	0	0	0	0	0	0	0	0	0	0	217	174	32	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
2	Axel Camillo Eitzen	4	16	0	6	66	0	0	0	0	25	48	0	0	0	4	106	0	0	278	0	0	0	0	0	186	95	0	157	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	9	0	0	0	0	0	0	0	0	0	0	19	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
3	Bjørn Johan Sjaastad	4	50	0	6	105	0	263	0	0	129	150	0	0	0	4	185	0	0	194	907	0	0	839	0	495	833	0	180	0	315	0	1213	789	0	0	0	0	0	0	28	0	0	0	387	0	21	0	0	0	0	0	0	0	0	0	0	206	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
4	Carl Erik Steen	12	52	32	34	112	376	263	0	0	122	196	160	0	0	60	215	828	420	194	907	2104	0	839	0	492	521	1288	188	892	404	1236	1213	789	0	0	0	0	0	0	28	0	0	0	450	168	21	0	0	0	0	0	0	0	0	0	0	174	336	256	0	0	0	0	0	0	0	0	0	0	0	0	0	71	1
5	Heidi Marie Petersen	19	96	129	42	144	1312	372	376	0	194	374	520	21	25	48	347	1975	2950	160	1032	5216	5732	964	400	540	713	4594	284	2704	593	2760	1540	1248	2108	1	1	0	0	0	8	212	200	200	712	496	6	5	273	180	0	0	0	1	0	10	0	250	529	540	10	0	0	0	0	0	33	63	100	0	0	7	0	32	2
6	Helene Jebsen Anker	27	49	286	65	131	1073	85	1515	0	109	201	1301	0	3	106	201	3013	746	668	735	1955	8734	100	4159	519	236	4207	239	2396	393	2575	334	255	9829	0	0	0	0	0	25	0	0	66	438	1354	21	0	0	0	0	0	0	0	0	0	0	140	409	2005	0	0	0	0	0	0	0	0	3	0	0	0	0	134	2
7	Ola Røthe	7	13	12	9	66	39	0	0	0	22	39	30	0	0	5	106	198	0	278	0	0	0	0	0	186	56	117	157	66	198	39	0	0	0	0	0	0	0	0	0	0	0	0	66	18	9	0	0	0	0	0	0	0	0	0	0	18	39	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
8	Siv Jønland Staubo	8	26	16	12	52	104	15	0	0	38	60	48	9	0	8	106	208	168	263	0	60	0	0	0	162	47	240	138	152	156	156	45	15	0	0	0	0	0	0	0	30	0	0	96	36	0	0	36	0	0	0	0	0	0	0	0	28	51	32	0	0	0	0	0	0	9	9	0	0	0	3	0	2	2
9	Toril Eidesvik	9	17	20	16	73	79	0	0	0	30	57	70	0	0	14	135	352	66	278	0	0	0	0	0	227	40	261	164	135	232	146	0	0	0	0	0	0	0	0	0	0	0	0	105	60	9	0	0	0	0	0	0	0	0	0	0	29	69	60	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2
10	Ada Merethe Stokstad Kjeseth	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	20	0	0	12	112	0	0	36	0	46	33	0	20	0	72	0	108	148	0	0	0	0	0	0	9	0	0	0	84	0	3	0	0	0	0	0	0	0	0	0	0	13	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
11	Anita Marie Hjerkinn Aarnæs	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	20	0	0	12	112	0	0	36	0	46	33	0	20	0	72	0	108	148	0	0	0	0	0	0	9	0	0	0	84	0	3	0	0	0	0	0	0	0	0	0	0	13	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
12	Bjørn Halvor Kise	8	13	15	13	18	43	37	0	0	19	48	45	0	0	11	23	58	22	12	112	111	0	36	0	44	0	152	20	59	68	53	108	148	0	0	0	0	0	0	9	0	0	0	74	30	3	0	0	0	0	0	0	0	0	0	0	12	68	35	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
13	Daniel Andreas Skjeldam	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	20	0	0	12	112	0	0	36	0	46	33	0	20	0	72	0	108	148	0	0	0	0	0	0	9	0	0	0	84	0	3	0	0	0	0	0	0	0	0	0	0	13	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
14	John Einar Høsteland	16	19	92	28	20	225	12	221	0	22	54	308	3	9	22	15	238	108	0	42	144	863	0	180	46	8	588	46	261	50	358	30	24	1036	0	0	0	0	0	0	12	0	81	63	261	0	6	36	48	0	0	0	0	0	0	0	11	54	236	0	0	0	0	0	0	3	6	18	0	0	0	0	8	1
15	Kristin Farstad	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	20	0	0	12	112	0	0	36	0	46	33	0	20	0	72	0	108	148	0	0	0	0	0	0	9	0	0	0	84	0	3	0	0	0	0	0	0	0	0	0	0	13	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
16	Adine Charlotte Grate Axen	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	114	0	0	98	0	0	0	0	0	129	16	0	125	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	8	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
17	Anders Brandt	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	114	0	0	98	0	0	0	0	0	129	16	0	125	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	8	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
18	Anne-Lise Aukner	9	35	20	16	92	171	98	0	0	97	109	70	0	0	14	242	448	124	216	548	490	0	175	0	472	275	529	208	479	286	334	481	294	0	0	0	0	0	0	81	0	0	0	297	60	5	0	0	0	0	0	0	1	0	0	0	138	117	60	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2
19	Arve Johansen	9	16	20	16	65	76	0	0	0	40	52	70	0	0	14	201	294	48	177	0	0	0	0	0	235	32	244	165	194	226	144	0	0	0	0	0	0	0	0	0	0	0	0	126	60	0	0	0	0	0	0	0	0	0	0	0	64	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1
20	Dag Mejdell	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	114	0	0	98	0	0	0	0	0	129	16	0	125	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	8	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
21	Hilde Lovise Ringereide	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	114	0	0	98	0	0	0	0	0	129	16	0	125	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	8	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
22	Ådne Kverneland	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
23	Jan Einar Greve	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
24	Lars Gustaf Ander	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
25	Lena Kristina Samuelsson	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
26	Rolv Erik Ryssdal	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
27	Ruth Elisabeth Ropstad	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
28	Åge Jan Danielsen	3	4	0	3	28	0	0	0	0	6	8	0	0	0	1	108	0	0	132	0	0	0	0	0	84	0	0	70	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
29	Grethe Høiland	7	28	12	9	108	84	132	0	0	70	84	30	0	0	5	282	324	0	292	1122	396	0	288	0	542	176	252	259	210	324	84	756	396	0	0	2	0	0	0	0	0	0	0	210	18	8	0	0	0	0	0	0	0	0	0	0	104	84	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
30	Ingebrigt Steen Jensen	3	4	0	3	28	0	0	0	0	6	8	0	0	0	1	108	0	0	132	0	0	0	0	0	84	0	0	70	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
31	Randi Helene Røed	3	4	0	3	28	0	0	0	0	6	8	0	0	0	1	108	0	0	132	0	0	0	0	0	84	0	0	70	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
32	Åge Thoresen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	42	0	0	63	0	0	0	0	0	66	16	0	40	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	8	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	1
33	Alvhild Hedstein	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	42	0	0	63	0	0	0	0	0	66	16	0	40	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	8	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	2
34	Bente Lie Nilsen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	42	0	0	63	0	0	0	0	0	66	16	0	40	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	8	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	2
35	Cato Andreas Holmsen	13	22	36	42	46	178	63	0	0	40	86	198	0	0	88	114	394	72	142	357	567	0	92	0	193	56	614	124	330	158	672	236	189	0	0	1	0	0	0	8	0	0	0	150	216	3	0	0	0	0	0	0	0	0	0	0	36	166	372	0	0	0	0	0	0	0	0	0	0	0	0	0	127	1
36	Hilde Vatne	13	8	36	42	18	52	0	0	0	12	44	198	0	0	88	42	72	16	63	0	0	0	0	0	54	0	236	34	78	144	168	0	0	0	0	0	0	0	0	0	0	0	0	66	216	0	0	0	0	0	0	0	0	0	0	0	8	124	372	0	0	0	0	0	0	0	0	0	0	0	0	0	127	2
37	Jan Magne Borgen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	42	0	0	63	0	0	0	0	0	66	16	0	40	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	8	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	1
