mS#id1	mS#id2	mD#data	C#preferential	C#jaccard	C#adamic_adar	D#louvain	D#infomap	cD#class
555	696	train	1374	0.017316017316017316	0.7301581321686987	1	1	1
1293	1398	train	336	0.05084745762711865	0.8448551555672767	1	1	1
542	543	train	80	0.125	0.2873448603794093	0	0	1
640	770	train	3195	0.0	0	0	1	1
556	1099	train	1526	0.01809954751131222	0.7301581321686987	1	1	1
21	276	train	840	0.017241379310344827	0.24325728130826463	1	1	1
640	1032	train	13845	0.005597014925373134	3.432001958852357	0	0	1
45	285	train	322	0.08163265306122448	0.8618960679185419	1	1	1
218	365	train	280	0.0625	0.4911896129119757	1	1	1
594	931	train	8730	0.006166495375128468	2.325893784161659	0	0	1
913	930	train	154	0.3157894736842105	1.8568884130073324	1	1	1
57	119	train	114	0.041666666666666664	0.2611892565642242	0	0	1
594	932	train	10670	0.006153846153846154	2.5050592411778325	0	0	1
231	594	train	9700	0.006160164271047228	2.1627258481239027	0	0	1
126	129	train	2091	0.15	2.9782960701572465	1	1	1
562	1490	train	861	0.015625	0.2892938475713808	0	0	1
1189	1214	train	114	0.041666666666666664	0.24627854581449443	1	1	1
16	31	train	366	0.08064516129032258	1.2238174777865476	1	1	1
1295	1396	train	143	0.14285714285714285	0.742464473692828	1	1	1
212	1307	train	621	0.0	0	1	1	1
377	640	train	5325	0.0028116213683223993	0.8290483318163542	0	0	1
6	371	train	969	0.05714285714285714	1.121804685627097	1	1	1
640	657	train	5325	0.0018726591760299626	0.3722461976771835	0	1	1
493	660	train	4172	0.0009560229445506692	0.14540598363133506	0	1	1
594	1278	train	5820	0.00411522633744856	1.1950256185182295	0	0	1
1007	1010	train	44	0.25	1.3494873107694914	1	1	1
166	167	train	54	0.25	1.5505157350057461	1	1	1
543	640	train	8520	0.0037418147801683817	1.5896278238804844	0	0	1
1047	1050	train	25	0.25	0.37392871850293546	1	1	1
566	594	train	3880	0.00205761316872428	0.3871451452483104	0	1	1
189	222	train	110	0.16666666666666666	0.7306267636465036	1	1	1
594	1325	train	4850	0.0030864197530864196	0.7329199578994243	1	0	1
27	161	train	1222	0.0594059405940594	1.659986705253124	1	1	1
824	877	train	285	0.06896551724137931	0.7665590447060784	1	1	1
673	972	train	1015	0.0196078431372549	0.7259837642045157	1	1	1
1328	1348	train	348	0.04918032786885246	0.8470021081512513	1	1	1
555	664	train	1145	0.012987012987012988	0.8902087733119763	1	1	1
556	585	train	6104	0.0	0	0	0	1
560	1207	train	400	0.17142857142857143	2.0854394396201776	1	0	1
