mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	C#orbit-15	C#orbit-16	C#orbit-17	C#orbit-18	C#orbit-19	C#orbit-20	C#orbit-21	C#orbit-22	C#orbit-23	C#orbit-24	C#orbit-25	C#orbit-26	C#orbit-27	C#orbit-28	C#orbit-29	C#orbit-30	C#orbit-31	C#orbit-32	C#orbit-33	C#orbit-34	C#orbit-35	C#orbit-36	C#orbit-37	C#orbit-38	C#orbit-39	C#orbit-40	C#orbit-41	C#orbit-42	C#orbit-43	C#orbit-44	C#orbit-45	C#orbit-46	C#orbit-47	C#orbit-48	C#orbit-49	C#orbit-50	C#orbit-51	C#orbit-52	C#orbit-53	C#orbit-54	C#orbit-55	C#orbit-56	C#orbit-57	C#orbit-58	C#orbit-59	C#orbit-60	C#orbit-61	C#orbit-62	C#orbit-63	C#orbit-64	C#orbit-65	C#orbit-66	C#orbit-67	C#orbit-68	C#orbit-69	C#orbit-70	C#orbit-71	C#orbit-72	cD#class
1	java.applet.Applet	55	5740	1177	308	12815	132402	2410975	15757	14146	10819	127290	5497	10988	4116	865	77140	337496	809396	197476	4345161	47585630	1727097	957606473	149793	42327	1116251	2163081	6302	249059	136287	92789	9884330	70593536	67181	2695	43096	67347	1945848	172178	259165	4901268	1376092	47841	258668	2236	6623	20324	164777	421405	149900	129875	8914	5677	20206	2433284	37989	6713	490844	8654	17227	98932	3022	10020	50269	21386	15159	133051	14850	45805	232	14575	7776	1481	1
2	java.applet.AppletContext	11	1650	33	22	23173	5969	855548	45	174	7931	9717	59	233	44	17	218256	60683	48810	10593194	2206448	2456818	8489	364452686	34	620221	43244	22985	57146	23320	36896	1503	5310884	5721942	60	885	40000	30353	141827	439	1682923	220927	12903	76	30383	5	21536	22888	602	7260	3005	24	4767	1273	713	3978	28	16625	14351	26	18586	697	26	280	74	150	847	495	50	44	0	47	20	5	1
3	java.applet.AppletStub	5	1404	1	9	11840	49	852158	0	2	7123	5395	0	84	3	7	41014	1973	0	4685732	2214524	976	0	366713110	0	243885	28108	0	25946	200	19028	0	5444301	3320942	0	0	31058	2450	37	0	1679025	85007	1311	0	18119	0	13675	5403	0	111	0	0	61	544	0	835	0	15174	6531	0	9504	36	0	1	0	2	303	175	0	4	0	11	3	2	1
4	java.applet.AudioClip	3	68	0	3	11430	0	1062	0	0	320	106	0	15	0	1	36179	0	0	5683276	129897	0	0	12979	0	142547	325	0	31084	0	9168	0	4388	1786	0	0	14551	0	0	0	3979	310	0	0	434	0	15358	6748	0	0	0	0	0	12	0	14	0	866	47	0	172	0	0	0	0	0	17	6	0	0	0	3	0	0	1
5	java.awt.AWTError	7	4613	1	20	7860	11	2518154	0	266	11069	14019	0	6558	5	30	53061	57	16	74422	7243095	33	0	1024219697	0	87313	18166	0	7049	4	23926	0	12721046	7057909	0	2	65401	1077	2905	0	184618	2776949	3000	0	34485	0	12882	6620	0	25	34918	0	21	440	0	2600646	0	12460	16410	0	6878	30	0	327	0	290	12186	15320	0	1040	0	5120	10	25	2
6	java.awt.AWTEvent	69	4878	1974	372	27802	107291	2266754	35027	12473	11870	183227	10803	8120	5571	993	163076	919578	238174	1440593	4746212	39756796	1265796	912648457	446348	78554	1372112	3066610	42517	215670	274373	133800	11801334	106552894	174109	5867	51474	234406	985466	342431	401759	2352646	3641448	122092	449085	7027	6303	65651	140330	220785	102646	103322	15801	7646	45872	2143089	56080	10097	583794	19842	53644	90516	6591	20597	37013	26217	15883	174754	19780	37179	1468	9023	9370	1794	2
7	java.awt.AWTEventMulticaster	35	4078	481	114	13752	73006	2376923	3973	1837	12789	54342	1514	3815	926	132	297949	231806	61164	180372	5541233	41941657	556547	989033873	22430	76666	34237	827735	37012	209325	88323	67587	14513483	33109568	12622	2579	85232	51638	843556	23765	486816	498713	283525	6760	170466	894	22148	5919	67378	138700	9215	6591	20196	467	10860	2201729	5412	16821	69036	852	6037	1349	920	3288	1239	3460	11113	51300	1712	285	5	1353	676	77	2
8	java.awt.AWTException	7	4663	1	20	7952	11	2520110	0	266	10788	13753	0	6841	5	30	53335	57	16	75339	7240388	33	0	1024461159	0	86313	27741	0	7082	4	23899	0	12521940	6848493	0	2	65479	1073	2905	0	174699	2978563	3004	0	33624	0	12882	6624	0	25	34964	0	21	455	0	2610369	0	12448	16423	0	7427	30	0	281	0	244	11545	14684	0	1086	0	5773	10	25	2
9	java.awt.AWTKeyStroke	6	3982	3	12	7049	1308	2429736	0	150	12332	10296	2	4003	8	10	39620	3054	3631	73304	6670498	651716	0	1016844325	0	87939	22539	1284	8129	3087	14874	11	14571691	6072303	0	9	47650	387	168308	0	464223	702021	6095	0	29642	0	9912	5084	6	1269	10906	0	1264	179	149	2266260	0	16374	3007	0	4735	2496	1	120	1	149	11346	8742	4	300	0	1389	7	3	2
10	java.awt.AWTPermission	6	3887	0	15	5937	0	2417970	0	0	12350	11591	0	3922	0	20	22475	0	0	51597	6635934	0	0	1015365511	0	88614	12305	0	3298	0	16052	0	14652767	7010152	0	0	55422	0	0	0	485372	590400	0	0	36081	0	9102	4594	0	0	0	0	0	527	0	2244649	0	16369	12147	0	3391	0	0	0	0	0	11139	11035	0	0	0	1551	0	15	2
11	java.awt.ActiveEvent	3	15	3	0	11964	6	8	1	12	25	0	0	0	0	0	20426	654	0	7281360	4649	4	3	2	0	18949	0	0	37725	2	0	0	14	0	0	0	39	11631	12	0	6	0	0	0	0	0	12411	0	0	0	0	4	12	0	0	0	0	21	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	2
12	java.awt.Adjustable	6	127	12	3	20335	378	1736	11	95	561	61	6	3	3	0	124163	34416	776	9689433	204904	4909	299	18061	5	234927	149	54	50504	1209	13639	136	6622	726	3	237	31022	26128	1269	209	5756	4	6	6	244	0	31673	62	6	84	884	31	661	47	68	2	1	1284	0	0	11	6	0	339	0	10	1	0	0	0	0	0	0	0	2
13	java.awt.AlphaComposite	7	3933	9	12	7012	7821	2424244	1	26	12661	7879	15	3923	12	7	45573	13603	809	47867	6584097	4835811	77	1017875985	0	87888	107754	8041	4936	24991	10064	3812	14655119	4556754	0	49	66675	92	12493	17	484820	638234	3706	3	22216	3	12099	5190	7588	7658	92	0	300	1154	15	2250994	1	16590	705	8	5135	403	6	17	15	26	11645	7202	6	42	3	1441	3	2	2
14	java.awt.AttributeValue	3	3827	0	3	5400	0	2428345	0	0	12532	280	0	3687	0	1	15735	0	0	20541	6650775	0	0	1022347323	0	85406	4063	0	2949	0	284	0	14958325	9108	0	0	55870	0	0	0	489086	342268	0	0	242	0	9125	4097	0	0	0	0	0	20	0	2252657	0	16580	113	0	2282	0	0	0	0	0	11270	27	0	0	0	1220	0	0	2
