mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
1	java.applet.Applet	-0.27136126	-0.9063828	0.83478904	0.43589264	0.19106106	0.2049051	0.16385396	-0.32635832	0.21527891	0.30261943	0.60214466	-0.31574634	0.2926957	-0.7689883	0.09346963	-0.059811488	-0.14659286	0.44844007	0.15849663	0.48194256	0.22240649	0.16521649	0.682659	0.33575696	0.2908974	0.49229047	-0.48836663	-0.41988716	0.1055202	0.3350567	-0.27666637	0.19518234	1
2	java.applet.AppletContext	-0.121782616	-1.1000073	0.46300042	0.71246094	0.5072106	0.6205833	0.89279747	-0.5187318	0.11354913	0.35268053	0.9881591	0.104934715	0.48936057	-0.24048686	-0.036451522	-0.14972363	0.10127859	-0.43856955	0.49336815	0.6220831	0.2602152	0.48502442	0.48186746	-0.03538468	-0.24797837	0.5709345	-0.4549532	-0.23084737	0.0034154532	0.45466742	0.112409756	-0.09758443	1
3	java.applet.AppletStub	0.0011399398	-0.8268923	0.32003194	1.0867765	0.22425279	0.32950982	0.5980945	-0.49173892	-0.09953396	0.015184215	0.5497567	-0.11699169	0.7149877	-0.41053876	-0.28229958	-0.20770715	0.26955846	-0.27055383	0.35895693	0.42707667	0.2544512	0.42603818	0.8088541	0.18591954	-0.34128454	0.25454667	-0.5032823	-0.3809796	-0.32495084	0.63423353	0.019366724	-0.27199143	1
4	java.applet.AudioClip	-0.23314309	-1.51497	0.6396532	0.7183215	0.37834045	0.6441204	0.95213634	-0.5973762	0.09941922	0.5081469	1.3288672	0.013399944	0.3146836	-0.61950916	-0.0063197543	-0.19910322	-0.25270227	-0.2845912	0.6339449	0.81777173	0.15081608	0.4213284	0.7270571	0.3899613	-0.10574083	0.7729524	-0.4553837	-0.23520395	0.17768706	0.67870736	0.25405607	-0.036641	1
5	java.awt.AWTError	-0.2457825	-0.14403851	0.0466126	0.68838364	-0.29827738	-0.10774689	0.25401205	-0.21374553	-0.01588335	0.33901784	-0.2532679	0.48970973	-0.02044409	-0.5744007	-0.33735114	-0.3324242	-0.068691224	0.5555943	0.22533132	0.04188881	0.09308551	0.42904973	0.56103563	-0.32489353	-0.44309866	-0.060164113	-0.058984097	0.14495419	0.23330773	0.014840474	-0.16771488	0.17323333	2
6	java.awt.AWTEvent	0.3512448	-0.58373	0.8877748	-0.07545136	-0.06745354	-0.1146546	0.32294542	-0.3937205	-0.084677905	0.07773519	0.15701143	-0.4497319	-0.68165624	-0.177076	0.12849462	-0.048913706	-0.28141963	0.41601443	0.12063825	-0.20525996	-0.24518277	0.51200044	0.6576329	0.18868604	-0.12485828	0.24156624	-0.7003533	-0.57453835	0.19723393	-0.64179933	-1.1265374	0.3470649	2
7	java.awt.AWTEventMulticaster	-0.04098602	-1.1258085	0.17790382	-0.03620332	-0.3002458	-0.5677078	0.21963921	-0.098794214	-0.44840243	0.23249692	-0.5706707	-0.81691736	-0.028259477	-0.52175117	0.66117686	-0.9042878	-0.26955613	0.5661256	0.1328297	0.487536	0.14617877	0.51485884	0.48163694	0.5881173	7.6797594e-05	0.2600544	-0.42339116	-0.02296163	0.21641943	-0.41989475	-0.63795406	-0.09025728	2
8	java.awt.AWTException	-0.41753986	0.12002981	0.22790079	0.56634176	-0.24993014	-0.14700434	0.0053346287	0.07065221	-0.07606415	0.32492414	-0.10531246	0.35198703	-0.1466318	-0.47713244	-0.10534265	-0.18930434	-0.5072666	0.21609199	0.09234775	0.07096627	-0.18366721	0.43236402	0.24072012	-0.31002727	-0.27663037	-0.22726844	-0.5494828	0.09021886	0.3761683	-0.23159148	0.029564384	0.03992859	2
9	java.awt.AWTKeyStroke	-0.08318519	-0.45526528	0.04998273	0.5131563	-0.29786304	-0.40445387	-0.006883532	0.03824165	-0.29542488	0.03182218	0.35184896	-0.23219097	-0.20743558	-0.18407887	-0.17825247	-0.7074564	0.13562503	0.4467945	0.27024356	-0.15572421	0.6429949	0.9082585	-0.50631803	-0.18014152	0.46921453	-0.083747126	0.062204216	0.008687377	0.038970437	0.17954552	-0.2605093	0.08642984	2
10	java.awt.AWTPermission	-0.10838226	0.27491847	0.22718136	0.25901365	-0.19641812	-0.36573195	0.9219028	0.5000585	-0.5163163	0.1733121	0.3108432	-0.17439204	0.060267095	0.6743965	-0.36725953	-0.9582701	0.13841332	0.27910286	-0.06641801	0.33573186	0.01904746	0.5203928	-0.34266338	-0.24566895	-0.49703574	0.16912846	-0.6450403	0.037710227	0.32316247	0.020550122	-0.17090705	0.24732016	2
11	java.awt.ActiveEvent	0.7688621	0.43475586	0.704611	-0.01433133	-0.31355056	-0.25930864	0.04033772	0.5303628	-0.12274726	0.24330674	-0.17610726	-0.22791772	-1.2073077	-0.27721235	-0.04638749	-0.15954442	-0.48519084	0.36603045	0.22786076	-0.4107522	-0.40283304	0.512667	-0.07197651	-0.725288	-0.90091556	0.28849325	-1.2723023	-0.25542605	0.17291091	-0.48070487	-1.0966777	0.20335692	2
12	java.awt.Adjustable	0.9514746	-1.5915892	0.55185854	0.31541172	-1.0293008	0.30436897	0.76449186	0.022072135	-0.29744047	0.08771451	-0.08796058	-1.1683179	-0.470818	-0.93376714	0.2843497	0.3311487	-0.10713995	1.3243752	-0.28288186	0.10158561	-0.08515182	0.5117155	0.4220457	-0.07910531	-0.0050941566	-0.50444746	0.05846149	0.08202812	0.79824734	0.29947963	-0.8720211	0.0851155	2
13	java.awt.AlphaComposite	0.19188115	0.73169523	0.26927903	0.48393676	-0.23837277	-0.39450097	0.70171297	0.64146566	0.052817985	0.048467744	0.15062365	-0.31074902	-0.08990797	-0.66523397	0.050577354	0.3159782	-0.24530749	-0.117366806	-0.5771503	0.5931607	0.39707035	0.446888	0.23360945	0.5352177	-0.0077176075	0.14855374	-0.10177531	-0.0698917	0.4735082	-0.08638409	-0.18231392	0.30028713	2
14	java.awt.AttributeValue	0.027037475	-0.21644914	0.077524304	0.12155367	0.020555045	-0.23916459	0.33139697	0.00742238	-0.26548418	0.06380119	-0.12256078	-0.11954768	-0.1774703	-0.00069867796	-0.108243816	-0.030273871	-0.09077016	0.14064895	0.038504276	0.155764	0.46254033	0.37545422	0.1899972	-0.38100213	-0.051761404	-0.13219687	-0.38188928	0.051777825	0.08905514	-0.18936263	0.2520028	-0.04231135	2
15	java.awt.BasicStroke	0.6467268	0.36553335	-0.21662328	-0.04362323	0.5019783	-0.17749509	0.42155614	0.31752068	0.08866889	0.34364885	-0.21283585	-0.37034664	0.061263498	-0.14209878	0.16676208	0.35791287	-0.13667323	0.4407506	0.25204256	-0.011228754	0.48975512	1.0010399	0.3781595	0.011422165	-0.45062628	0.06741334	-0.61070144	0.4244268	0.095399804	0.07359458	0.45131353	0.6754814	2
16	java.awt.BorderLayout	0.046097018	-0.18069938	0.30660808	0.41980857	-0.31894505	-0.06823402	-0.0009952112	-0.07378074	0.14462993	0.18279299	1.0370648	-0.80226165	0.11558608	0.21308665	-0.1165635	-0.2805038	-0.28826198	0.61340415	0.026410062	0.015134899	0.38970444	0.59117883	-0.05847023	0.13821007	0.22856866	-0.37518162	-0.29474142	-0.28531355	0.49425852	-0.43383336	0.020994496	0.03712821	2
17	java.awt.BufferCapabilities	0.5083336	-0.21248192	0.7037706	-0.30075878	0.48529652	-0.047952894	0.66810423	-0.31074116	-0.0005735238	0.019707208	0.8767895	-0.1817365	-0.045960568	-0.48802766	0.029898953	-0.1694749	-0.3002696	0.585571	0.10343685	0.1999924	-0.20204175	0.42720902	1.0086968	0.23424661	0.58855104	-0.5090446	-0.60620654	0.04757406	-0.1947933	-0.43486083	-0.6518025	0.12605472	2
18	java.awt.Button	-0.3606609	-0.58326197	0.7350178	-0.056597073	-0.013374195	-0.22059032	0.20191619	-0.14411353	0.44011164	0.08477178	0.35348484	-0.4714388	0.07730933	-0.6526647	0.36691317	0.0043096547	-0.28010494	0.69211984	-0.19874835	0.32553408	0.19049817	0.12973149	0.63660204	0.069239296	0.31802818	0.39721298	-0.586032	-0.03741836	0.26656407	-0.036956556	-0.4381892	0.37468308	2
