mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	C#e2d	cD#class
24	28	train	-0.007484491	0.0028296113	0.3339845	0.018553974	0.026218845	0.07145309	0.14212301	-0.0011231133	0.046395324	0.00073667534	0.06545336	0.020486286	0.0072000218	0.0023487112	0.038837884	0.003831789	0.11314122	0.025134316	0.040927574	-4.756952e-05	0.043417357	0.17082976	0.2520325	0.004686956	-0.00916609	0.06807388	0.1875647	0.0043862094	0.10574002	0.35252127	0.06926883	0.16728008	2.3676364663915592	1
3	10	train	0.008350321	0.007747494	0.21853071	0.01847793	0.006707731	-0.0003796254	0.12537383	0.006781906	0.0010057417	0.0024393697	0.0002679164	0.047687586	-0.0070055616	0.00039857574	0.0023165285	0.02143513	0.04640403	-0.0017940773	-0.014514212	0.008188491	-0.0075213616	0.0109808585	0.5966278	0.15877016	0.054901376	-0.013539808	0.049023163	0.0023708658	0.0061128414	0.12050011	0.0063929027	0.018459594	1.501498288300354	1
20	34	train	0.061332755	-0.0044527757	0.16030475	0.022305448	0.0032422047	0.05689287	0.12830964	0.06474398	0.008447063	-0.00543596	0.0040974426	9.782696e-05	-0.00063091534	-0.002941455	0.029059688	0.04370631	-0.0039837244	-0.00019949644	-0.03172542	0.0024595624	-0.014062145	0.13200396	0.2683013	0.06690125	0.02201561	-6.991647e-05	0.02591205	0.042696923	0.018317642	0.11110049	-0.0136281345	0.022206748	1.2173255833840813	1
1	5	train	0.024510529	0.020504639	0.09430644	-0.00050933287	0.073661886	0.15102868	0.031080412	0.0033529813	0.079468556	0.025324779	0.0036241992	0.024000285	0.013539137	0.14054331	0.017144946	3.6950994e-05	0.00082834193	-0.0020211143	0.035040837	0.10081238	0.052842475	0.05556221	0.42130262	0.04768252	0.10719992	0.010498383	0.13695323	0.23203096	0.12859517	0.0069314535	0.010730923	0.024376532	2.0709852447762387	1
1	20	train	0.040279098	-0.0033395763	0.12902114	-0.00035770243	-0.0049403026	0.0882453	0.08235428	0.007332145	0.018216249	-0.0037346326	-0.0018569579	0.007328208	0.0039780242	0.06351854	0.020249248	0.005645189	0.004785702	-1.5170009e-05	0.016421326	0.03156048	0.013442644	0.07038958	0.3266828	0.12216131	0.037703007	5.73437e-05	0.09385417	0.10018284	0.0730589	0.053763293	-0.006850398	0.015880372	1.4050164499485618	1
27	34	train	0.059989367	0.01712616	0.14876594	0.15353575	-0.0025283957	0.03594643	0.20066324	0.020584553	0.027881099	-0.00848602	0.050195985	3.0699397e-05	-0.0018763404	0.00040524398	0.040060885	0.12629734	-0.0007383672	0.058996934	0.07872651	0.0024999997	0.06511565	0.30591896	0.22459432	0.02128688	-0.012681945	0.0032624085	0.025642226	-0.0069728927	-0.0031655026	0.2278743	0.029520905	-0.031869974	1.8566023458333802	1
21	33	train	0.11391696	0.051692106	0.24950266	0.23082198	0.032219194	0.021630486	0.06683356	0.073674604	0.006749849	0.0034468565	0.038056303	0.0044089905	-0.0033000694	0.028403824	0.087787256	0.25414193	0.0014787704	0.05374121	0.022723824	0.0026351588	0.17759088	0.20779154	0.24604765	0.018731872	-0.0020286378	0.0018146561	0.0006010255	-0.00075861014	0.00032070914	0.19922803	0.014509631	0.005285554	2.2096997488406487	1
2	31	train	0.07671774	-0.021146072	0.21271186	0.017430866	0.0020759725	0.03294611	0.140747	0.043519937	0.005939974	0.009202334	-0.002050726	0.007888078	0.0025696077	0.020599598	0.021997722	-0.008316539	-0.011223822	-0.0018751996	0.0046163425	0.009595275	-0.016304497	0.05909481	0.35350853	0.25990596	0.003637881	-0.0025171416	0.017912475	0.024044232	0.027309174	0.07902182	0.01765482	0.024062308	1.4112764257006347	1
3	28	train	-0.011325395	-0.0064211064	0.26413286	0.011430541	-0.011711836	0.015709132	0.118148744	0.008550964	-0.0061365594	0.017792037	-0.0017941962	0.04125749	0.006961674	-0.00044567452	0.0026863539	0.0017148525	0.14219402	-0.0074391593	-0.020710414	0.00014630209	-0.07978451	0.012639365	0.46927848	0.051537406	0.021215333	0.059927944	0.09660798	0.005078051	-0.027736282	0.15408197	-0.04169622	-0.052056026	1.2338341201393632	1
6	17	train	0.06577163	0.053880293	0.066621035	0.03994265	0.014741924	0.3602238	-0.0013737181	0.014606185	0.26161528	0.10369231	0.00058541645	0.010460437	0.002163043	0.3395817	0.008257901	0.005662039	0.004427476	0.0034548873	0.14550903	0.081116654	0.06062414	0.007069849	0.57520914	0.042386428	0.15989126	0.09196839	0.19884956	0.28986812	0.4302291	0.034596868	0.12540592	0.11662105	3.713659789180383	1
