mS#id1	mS#id2	mD#data	C#preferential	C#jaccard	C#adamic_adar	D#louvain	D#infomap	cD#class
6	11	train	6	0.0	0	1	1	1
3	28	train	21	0.0	0	0	0	1
5	7	train	8	0.2	0.3789231816899512	1	1	1
3	8	train	28	0.2222222222222222	1.000258116249563	1	1	1
30	34	train	64	0.1111111111111111	2.164042561333445	1	1	1
2	3	train	35	0.3333333333333333	1.8216182225789146	1	1	1
27	34	train	32	0.058823529411764705	0.7213475204444817	1	1	1
1	32	train	70	0.0	0	0	0	1
3	14	train	28	0.1	0.6213349345596119	1	1	1
3	9	train	35	0.2	0.8340427950033699	0	0	1
1	8	train	56	0.2	1.8565807973738442	1	1	1
9	33	train	45	0.16666666666666666	1.424137568996588	1	1	1
1	12	train	14	0.0	0	1	1	1
32	33	train	45	0.0	0	1	1	1
32	34	train	80	0.05	1.4426950408889634	1	1	1
3	33	train	63	0.06666666666666667	0.6213349345596119	0	0	1
15	34	train	16	0.0	0	1	1	1
1	13	train	28	0.06666666666666667	0.7213475204444817	1	1	1
7	17	train	8	0.2	0.9102392266268373	1	1	1
25	28	train	3	0.0	0	1	1	1
19	33	train	18	0.0	0	1	1	1
23	33	train	18	0.0	0	1	1	1
24	30	train	16	0.3333333333333333	0.8157933735356595	1	1	1
30	33	train	36	0.08333333333333333	0.7213475204444817	1	1	1
1	3	train	98	0.16666666666666666	1.9640173895637054	1	1	1
31	33	train	27	0.09090909090909091	0.6213349345596119	1	1	1
10	34	train	16	0.0	0	1	1	1
1	4	train	56	0.125	2.164042561333445	1	1	1
1	22	train	28	0.06666666666666667	0.6213349345596119	1	1	1
1	18	train	14	0.0	0	1	1	1
1	7	train	56	0.058823529411764705	1.4426950408889634	0	0	1
6	7	train	12	0.16666666666666666	1.4426950408889634	1	1	1
29	32	train	10	0.16666666666666666	0.36067376022224085	1	1	1
21	33	train	18	0.0	0	1	1	1
24	26	train	8	0.0	0	1	1	1
9	31	train	15	0.3333333333333333	0.8157933735356595	1	1	1
2	14	train	20	0.125	0.5138983423697507	1	1	1
1	2	train	70	0.1875	2.677940903703196	1	1	1
14	34	train	64	0.0	0	0	0	1
