mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
1	1	-0.09197804	-0.41112307	0.43711042	0.051497396	0.03546955	-0.17734	0.07305985	-0.046800893	-0.12422834	0.25053918	0.033908736	0.09165347	0.09201656	-0.35451767	-0.4676629	-0.010179918	-0.114078656	0.3106583	0.010102542	0.15193322	0.13711855	0.27490094	0.6373905	-0.25976345	0.12943932	0.21806234	-0.33591142	0.2927476	0.0019038771	-0.19246858	-0.078208245	-0.044154935	1
2	2	-0.014881297	-0.16254595	0.4796105	0.13552286	0.088233136	-0.14680927	0.08208265	0.06921353	0.057913177	0.4406809	0.13162579	0.17219055	0.28086057	-0.19549397	-0.4631872	-0.018426295	-0.17799814	0.48729038	0.004826283	0.23731254	0.22698219	0.2608917	0.6432944	-0.23951285	0.14314634	0.23683833	-0.16776858	0.17104644	0.033241317	-0.13158982	-0.06805994	-0.03203904	1
3	3	-0.1599827	-0.13611689	0.45456797	0.34269533	-0.08950193	-0.07654418	0.17442937	0.09336888	0.17534158	0.10538799	0.030488893	0.107934855	0.26039055	-0.21696755	-0.25587794	-0.21437465	-0.20237648	0.31569025	-0.059391093	0.26610827	0.22356592	0.30422217	0.47702828	-0.19081537	0.179535	0.0027916897	-0.016972255	-0.0028431593	-0.011221733	-0.052933637	-0.11729753	0.06218516	1
4	4	-0.045492306	-0.3485459	0.3937379	0.24395016	0.09128968	-0.13229917	-0.049948316	0.1287011	0.074416704	0.31787178	0.062861964	0.08121178	0.34885058	-0.16468693	-0.50386775	-0.13070056	-0.16635013	0.46986204	-0.09128509	0.18119606	0.3249072	0.30601558	0.63161796	-0.22010821	0.13638055	0.25931823	-0.2030964	0.035491798	-0.06448475	-0.10795812	-0.12408531	-0.10350417	1
5	5	-0.22934033	-0.78129613	0.62269527	-0.104774326	0.06948708	-0.119468704	-0.046252895	-0.22161703	-0.13705897	0.08428291	0.14358707	-0.04211865	-0.22237766	-0.4916027	-0.54409707	-0.11782326	-0.15836748	-0.018467585	0.2789863	-0.0035217255	0.22486603	0.16654849	0.6244208	-0.05324175	-0.020830834	0.4710754	-0.4644902	0.26614723	-0.05594396	-0.30346242	-0.16685815	0.05141842	1
6	6	-0.29778355	-0.8484179	0.59226245	-0.062599815	0.07020693	-0.118488975	-0.013423242	-0.22320263	-0.12488413	0.042934146	0.13536419	-0.076364666	-0.24298663	-0.54717076	-0.53071254	-0.033398423	-0.16398714	-0.11925314	0.36322063	-0.026165683	0.24171983	0.23505746	0.5979253	-0.06880588	-0.04481995	0.46253166	-0.49519336	0.3360397	-0.08692086	-0.27248415	-0.13792495	0.04862047	1
7	7	-0.3344898	-0.7915285	0.5956979	-0.14894159	0.070530795	-0.2728257	0.008034966	-0.05945415	-0.083001584	0.08975743	0.15709364	0.024271535	-0.30395806	-0.5261755	-0.50340325	-0.029793581	-0.098573275	-0.08830625	0.4568517	-0.034913614	0.21788768	0.21315467	0.58794284	-0.02919729	0.0005322945	0.43594116	-0.5680557	0.37163094	0.06878953	-0.37802806	-0.13326457	-0.008059848	1
8	8	0.05044195	-0.36491492	0.49649546	0.34720832	0.16379765	-0.119581215	0.023358652	0.03931387	0.07548237	0.25835696	0.15464887	0.07738157	0.29328784	-0.2190885	-0.5001692	-0.15073985	-0.16759132	0.41965508	0.015643874	0.2825185	0.2859774	0.3810497	0.5953137	-0.019669956	0.1369721	0.21073893	0.004795384	0.10625501	-0.03641872	0.0065645147	-0.101635896	-0.059129473	1
9	9	-0.15380181	-0.030753626	0.41712216	0.25161874	-0.21533793	-0.10724633	0.32150882	0.23460506	0.032884996	0.069049634	0.16491848	0.03606476	0.05975477	-0.1539821	-0.17575309	-0.18262714	0.042497404	0.084085785	-0.05531244	0.34582922	0.29389906	0.24560274	0.4847879	-0.1814014	0.1268846	-0.0058995974	-0.16505018	0.024482641	0.03815112	-0.23608276	-0.11534451	0.1357657	2
10	10	-0.19936165	0.110581696	0.44231227	0.3819932	-0.26929653	-0.093260765	0.26412687	0.24552742	0.18849672	0.046131294	0.15958932	0.022496732	0.17171639	-0.18595299	-0.17293781	-0.27414957	-0.010081212	0.08192135	-0.11902087	0.38377166	0.29434305	0.20066844	0.46247855	-0.20879221	0.093066104	-0.061153233	-0.09904418	-0.06617558	-0.027189337	-0.1681382	-0.15259083	0.17609732	2
11	11	-0.298912	-0.8396954	0.56021595	-0.14228593	0.06714127	-0.26793703	-0.03866949	-0.09837715	-0.15513049	0.054895192	0.204002	0.059093073	-0.24820408	-0.5154137	-0.53032637	-0.13456033	-0.13154685	0.041823976	0.39867532	-0.024418192	0.19197781	0.17780605	0.588647	-0.003941082	0.02413759	0.4565142	-0.44342366	0.31528163	0.069799684	-0.33058792	-0.16599514	-0.022285856	1
12	12	-0.09843863	-0.48343796	0.5595978	0.09230587	0.038546883	-0.09152416	0.024876328	-0.061053034	-0.060934786	0.25414753	0.01627552	-0.054325122	0.054419775	-0.29089767	-0.43089902	-0.010168014	-0.1625432	0.24117967	0.17590967	0.16093451	0.24054472	0.21472879	0.5903042	-0.075876355	0.066666216	0.4150396	-0.21541797	0.19761145	-0.09151311	-0.24546409	-0.07023724	-0.0322661	1
13	13	0.044826824	-0.47998682	0.5112103	0.2743459	0.17823039	-0.04846567	-0.07380945	0.0785534	0.05762571	0.34326363	0.18726324	0.015369462	0.23564379	-0.1937751	-0.6274296	-0.12369747	-0.10151357	0.39062777	0.071126126	0.2567155	0.37252584	0.36702654	0.6718818	0.0073664514	0.084881514	0.38317114	-0.050891086	0.04640662	-0.036616843	-0.05902186	-0.08363539	-0.04219474	1
14	14	-0.027317943	-0.1944634	0.4065796	0.33447015	0.030550886	-0.1292523	0.13369317	0.13907543	0.1332726	0.19045696	0.18710865	0.050870907	0.1779605	-0.15666327	-0.39410484	-0.15491708	-0.060435995	0.26831242	-0.01708708	0.3239187	0.3067671	0.26049736	0.56638837	-0.09752061	0.13527137	0.07523283	-0.022004494	0.047166333	0.018881937	-0.07203977	-0.15879722	0.06773602	1
