mS#id1	mS#id2	mD#data	C#preferential	C#jaccard	C#adamic_adar	D#louvain	D#infomap	cD#class
43	305	train	91	0.05263157894736842	0.45511961331341866	1	1	1
175	348	train	45	0.2727272727272727	1.800780495670471	1	1	1
458	601	train	12	0.0	0	0	1	1
73	107	train	208	0.16	1.7528491696219806	1	1	1
74	197	train	2	0.0	0	0	0	1
94	340	train	81	0.058823529411764705	0.3898712452512801	1	1	1
329	340	train	99	0.1111111111111111	1.2352458628142324	1	1	1
155	424	train	10	0.16666666666666666	0.48089834696298783	0	1	1
34	152	train	143	0.14285714285714285	1.6769643510224754	1	1	1
340	486	train	45	0.16666666666666666	0.870769592214268	1	1	1
291	560	train	18	0.125	0.9102392266268373	1	1	1
60	330	train	15	0.3333333333333333	0.9690179556831694	1	1	1
115	165	train	64	0.3333333333333333	2.5705831347006844	1	1	1
94	305	train	63	0.06666666666666667	0.3898712452512801	1	1	1
24	73	train	208	0.16	1.9926632247040619	1	1	1
116	151	train	63	0.0	0	1	1	1
94	382	train	18	0.0	0	1	1	1
7	104	train	1	0.0	0	0	0	1
24	193	train	176	0.22727272727272727	2.227440018798256	1	1	1
85	380	train	65	0.0	0	1	1	1
85	338	train	65	0.2	1.4282385712351382	1	1	1
303	438	train	2	0.5	1.4426950408889634	1	1	1
175	203	train	45	0.07692307692307693	0.5581106265512472	1	1	1
94	355	train	36	0.08333333333333333	0.6213349345596119	0	1	1
85	609	train	104	0.05	0.3898712452512801	1	1	1
43	305	train	91	0.05263157894736842	0.45511961331341866	1	1	1
208	281	train	4	0.0	0	0	0	1
76	206	train	0	0.0	0	0	0	1
601	612	train	15	0.14285714285714285	0.7213475204444817	0	1	1
149	522	train	18	0.0	0	1	1	1
94	445	train	54	0.0	0	0	1	1
115	348	train	40	0.18181818181818182	1.179445561110859	1	1	1
7	104	train	1	0.0	0	0	0	1
152	331	train	143	0.14285714285714285	1.7325537002553735	1	1	1
305	331	train	77	0.058823529411764705	0.3898712452512801	1	1	1
426	633	train	2	0.0	0	0	1	1
175	400	train	63	0.45454545454545453	3.269130348848556	1	1	1
116	151	train	63	0.0	0	1	1	1
17	280	train	7	0.0	0	0	0	1
24	30	train	128	0.0	0	1	1	1
305	363	train	14	0.125	0.3898712452512801	1	1	1
290	661	train	2	0.0	0	1	1	1
33	305	train	70	0.21428571428571427	1.9486065526106957	1	1	1
348	395	train	10	0.0	0	1	1	1
152	455	train	65	0.0	0	0	0	1
143	330	train	55	0.0	0	0	0	1
34	135	train	0	0.0	0	0	0	1
119	270	train	22	0.08333333333333333	0.45511961331341866	1	1	1
43	305	train	91	0.05263157894736842	0.45511961331341866	1	1	1
376	450	train	0	0.0	0	0	0	1
34	291	train	66	0.0625	0.5138983423697507	1	1	1
77	94	train	81	0.0	0	1	1	1
165	175	train	72	0.3076923076923077	2.2816788426334584	1	1	1
331	375	train	44	0.15384615384615385	1.179445561110859	1	1	1
291	560	train	18	0.125	0.9102392266268373	1	1	1
94	382	train	18	0.0	0	1	1	1
14	143	train	132	0.045454545454545456	0.7213475204444817	0	1	1
85	411	train	39	0.06666666666666667	0.6213349345596119	1	1	1
14	372	train	60	0.0	0	0	1	1
14	406	train	24	0.07692307692307693	0.5581106265512472	0	1	1
34	470	train	33	0.0	0	1	1	1
94	329	train	99	0.0	0	1	1	1
76	407	train	4	0.3333333333333333	0.7213475204444817	1	1	1
94	329	train	99	0.0	0	1	1	1
372	406	train	10	0.0	0	1	1	1
116	345	train	9	0.0	0	0	1	1
27	40	train	4	0.25	0.4170323914242463	1	1	1
77	155	train	45	0.16666666666666666	0.8575492176952633	0	1	1
152	331	train	143	0.14285714285714285	1.7325537002553735	1	1	1
94	103	train	27	0.0	0	1	1	1
115	175	train	72	0.3076923076923077	2.115463521387266	1	1	1
24	193	train	176	0.22727272727272727	2.227440018798256	1	1	1
77	143	train	99	0.05263157894736842	0.5138983423697507	1	1	1
73	107	train	208	0.16	1.7528491696219806	1	1	1
107	550	train	64	0.17647058823529413	1.9486065526106955	1	1	1
115	175	train	72	0.3076923076923077	2.115463521387266	1	1	1
34	291	train	66	0.0625	0.5138983423697507	1	1	1
116	275	train	27	0.09090909090909091	0.5581106265512472	0	1	1
24	374	train	96	0.047619047619047616	0.7213475204444817	0	1	1
94	143	train	99	0.05263157894736842	0.7213475204444817	1	1	1
24	56	train	64	0.05263157894736842	0.9102392266268373	0	1	1
9	441	train	32	0.058823529411764705	0.6213349345596119	0	0	1
213	254	train	10	0.16666666666666666	0.5581106265512472	1	1	1
149	304	train	126	0.15	1.3650142632267737	1	1	1
52	374	train	66	0.0	0	0	1	1
304	555	train	56	0.0	0	1	1	1
120	326	train	99	0.1111111111111111	1.391137573589825	0	0	1
75	371	train	18	0.125	0.48089834696298783	1	1	1
206	572	train	0	0.0	0	0	0	1
527	593	train	0	0.0	0	0	0	1
34	152	train	143	0.14285714285714285	1.6769643510224754	1	1	1
305	329	train	77	0.058823529411764705	0.43429448190325176	1	1	1
17	291	train	42	0.0	0	1	1	1
143	329	train	121	0.2222222222222222	3.5881801303300334	1	1	1
340	486	train	45	0.16666666666666666	0.870769592214268	1	1	1
88	234	train	21	0.0	0	1	1	1
88	190	train	21	0.0	0	1	1	1
264	315	train	7	0.0	0	1	1	1
115	133	train	0	0.0	0	0	0	1
101	402	train	68	0.0	0	1	1	1
319	355	train	28	0.2222222222222222	1.013230239864666	1	1	1
101	598	train	68	0.0	0	1	1	1
380	411	train	15	0.3333333333333333	1.8204784532536746	1	1	1
34	375	train	44	0.07142857142857142	0.6213349345596119	1	1	1
143	155	train	55	0.06666666666666667	0.7213475204444817	0	1	1
116	345	train	9	0.0	0	0	1	1
44	82	train	77	0.125	2.164042561333445	0	1	1
514	646	train	2	0.0	0	1	1	1
34	291	train	66	0.0625	0.5138983423697507	1	1	1
206	407	train	0	0.0	0	0	0	1
28	38	train	8	0.0	0	1	1	1
9	441	train	32	0.058823529411764705	0.6213349345596119	0	0	1
116	428	train	18	0.0	0	1	1	1
77	155	train	45	0.16666666666666666	0.8575492176952633	0	1	1
155	528	train	40	0.0	0	0	1	1
41	222	train	8	0.2	0.48089834696298783	1	1	1
120	421	train	66	0.3076923076923077	2.225180368593195	1	0	1
173	521	train	0	0.0	0	0	0	1
34	177	train	44	0.15384615384615385	1.1352332769293625	1	1	1
194	482	train	36	0.0	0	0	1	1
94	143	train	99	0.05263157894736842	0.7213475204444817	1	1	1
69	397	train	36	0.08333333333333333	0.5138983423697507	1	1	1
44	227	train	14	0.125	1.4426950408889634	1	1	1
206	312	train	0	0.0	0	0	0	1
246	288	train	4	0.3333333333333333	0.9102392266268373	1	1	1
118	191	train	14	0.125	0.5138983423697507	1	1	1
34	265	train	44	0.07142857142857142	0.6213349345596119	1	1	1
511	647	train	2	0.0	0	1	1	1
319	329	train	77	0.0	0	0	1	1
374	394	train	36	0.09090909090909091	0.48089834696298783	1	1	1
76	206	train	0	0.0	0	0	0	1
