mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
1	Peter Kolbezen	0.87005556	-0.73834205	-0.36031064	-0.83337224	0.47361943	-0.42006013	-0.8449817	0.8841063	-0.072312415	-0.059605703	0.82350844	-0.4164814	0.30447748	0.6767853	-1.1332433	-1.1806979	0.11189149	0.66234654	-9.2127244e-05	0.20777188	0.72209764	0.4133896	-0.20429993	-0.23855163	0.6948628	0.07386995	-1.1135253	-0.0061463136	0.011341106	0.016378222	-0.6438656	0.33530223	0
2	Jernej Virant	1.7283498	-0.48143262	-0.77135813	-0.77797824	1.1296179	-0.18434714	0.16343206	0.76696885	-1.1222028	0.80383235	0.58317286	0.69352776	-0.81506383	1.0368387	0.21471524	0.55702615	0.7011714	-0.41869378	0.019202847	1.5411917	0.22660314	1.0141073	-0.097176805	-0.18288657	-0.30326056	-0.45740116	-0.9232362	-0.26682323	0.8510322	0.49238443	-0.07473328	0.37717044	1
3	Vojko Strle	0.019694492	0.026099086	0.017270364	-0.025571741	0.030686691	-0.0049022883	0.029778503	-0.024223492	-0.012232453	0.026408501	0.025134891	-0.012058228	0.030650124	0.003924072	-0.015935756	0.027697362	-0.012157485	0.0017881766	-0.0010405928	-0.03018573	0.02478405	0.018053874	0.012866639	-0.029349878	0.02899494	-0.01085794	0.02578576	-0.017435946	0.015124463	-0.015092902	0.0058479384	-0.014681056	0
4	Aleksandra Kornhauser	0.5372812	-0.33325216	-1.1531795	-0.20685807	0.09516755	-0.49264646	-0.75087744	0.60566086	-0.5746448	-0.3548279	-0.117094964	0.08598622	-0.014473709	0.58516383	0.57088184	0.18621834	-0.5494624	0.35487556	-1.2517446	0.8962048	0.48892128	1.4668283	-0.47112495	-0.7050222	0.72461677	-1.6734052	-1.1896554	0.8240815	0.9771921	-0.4503958	-0.48562056	-0.7038089	0
5	Tomaž Banovec	-0.006075494	0.0074394345	0.0051242337	0.0006555468	0.006138332	-0.010696821	0.02869571	-0.012969188	0.023700632	0.0034760386	0.023491755	0.000929974	0.0004765615	0.019845314	0.013462007	0.01921051	-0.024663083	-0.012049675	-0.02250477	-0.02265206	-0.0036110803	-0.02219709	-0.022803888	-0.017567478	-0.025188528	0.01224979	0.01832188	-0.026486516	-0.009579457	0.021171957	0.015956357	0.013873361	0
6	Igor Grabec	0.9707329	-0.3849331	0.76406384	-0.29296264	-0.24344353	-1.0205009	-0.34840286	1.5710338	-1.6343268	-0.18883204	1.0713321	-0.1800369	-1.0045292	0.9111773	0.6173164	0.52366996	1.1612422	-0.099206515	-0.81559825	1.5415154	0.6329918	1.22092	-0.15317659	-1.6616492	0.643245	-1.2848893	-0.34443402	0.1686222	-0.045806978	-1.1087929	1.2833881	0.34634376	7
7	Tatjana Kapus	0.21378711	-0.34020063	-1.3208961	-0.90380305	0.828724	0.33555773	-0.028555628	1.0217408	-1.297373	-0.5471829	0.9989581	0.32482344	0.36852205	1.6009467	-0.09990329	-0.71030235	-0.59332854	-0.3648349	-0.07313571	0.78035176	0.08493918	0.39981684	0.3602594	-1.1939259	-0.9805719	-0.95962656	0.31009457	0.051479787	0.20627838	-0.56890553	1.0339348	-0.35312814	1
8	Pero Šobot	0.47071815	-0.42116144	-1.1445519	-0.52076954	0.6728937	-0.38987157	0.64940524	0.5832777	-0.5709595	0.5362886	1.1689682	-0.2978039	-0.3616375	0.6927044	-0.09892995	-0.58296597	0.2118409	-0.21902527	-0.23005895	-0.35552385	0.33962116	-0.2751319	-0.22990562	-0.90222675	-0.0014802498	-0.23958132	-1.3747464	-0.8732503	-0.26461065	-0.83561224	-0.0007350687	0.035455372	5
9	Vladislav Rajkovič	-0.21288633	-0.57799286	-0.41332355	0.075330496	0.12089568	-0.13427047	-0.46133456	-0.22230132	0.41580963	-0.41511706	0.16091898	0.027831465	0.2684624	0.20939806	-0.12878731	-0.24267712	-0.41431072	0.48130402	-0.43301085	0.75719386	-0.3574182	0.7831662	0.71995175	-0.8234085	0.08949299	-0.6750624	-0.3788136	0.12637635	0.6630517	-0.5492328	-0.15320162	-0.14350237	7
10	Rudi Murn	0.39846998	-0.7231381	-0.042329982	-0.49608177	0.3062731	-0.3540489	-0.084178105	1.0686877	-0.002839535	-0.13417579	0.923868	0.021235028	0.32296294	1.0093207	-1.4228961	-0.45951858	-0.35251173	0.53563905	0.05404112	0.63975066	0.8553905	0.26976463	-0.47951338	-0.39034182	0.47234175	-0.5924902	-0.836213	-0.05496835	-0.0981243	0.13477962	-0.9085529	0.6793415	1
