mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	C#e2d	cD#class
15	26	train	0.15708424	0.06393633	0.13765909	0.03158726	-0.0053225425	0.047254667	0.11123373	0.010752771	0.022340761	-0.008733081	0.04018104	0.021320844	0.009777807	0.024556583	0.031365152	0.027434634	-0.01060195	-0.00052689324	-0.0012746168	0.0045671277	-0.019276263	0.16376854	0.1784741	0.03496851	-0.022964599	-0.015868148	-0.0017114272	0.012613687	0.00041973867	0.06513369	-0.008743165	0.011911993	1.1133196202863473	1
3	20	train	0.20936944	0.03949438	0.05954376	0.05764934	-0.0050327075	-0.004617904	0.008460632	0.0018148001	0.09476388	0.002692295	-0.003526502	0.022502907	0.11053542	0.011439663	-0.004447735	0.08000397	0.24813285	0.0023882983	-0.00094985234	0.0061798417	0.014542774	0.16997345	0.1700799	0.014500205	0.015089807	0.01864169	0.07479165	0.024037678	0.013320394	0.11599912	-0.0008883372	0.007252096	1.5737372003495693	1
14	27	train	0.096932046	0.03816006	0.12596458	0.015128543	-0.0018958785	0.044776294	0.07069842	-0.0022485738	0.037935138	-0.043708365	0.01091926	0.018089222	0.049153004	0.095182754	0.15596217	0.024131663	0.0025942195	0.0058806296	0.0062380363	-0.024811523	-0.0017854694	0.14487323	0.25997764	0.07219753	0.00052084157	-0.0044614514	0.027195603	0.038668603	0.001023371	0.017901065	0.015846616	-0.009323425	1.2877158469054848	1
5	25	train	0.044141352	0.0117039075	0.11381871	0.049480457	0.013209142	-0.0025800958	0.06618322	0.016858863	0.048693627	0.0027189075	0.016773399	0.01075121	0.07963298	0.0007213314	0.0008633053	0.084933594	0.15931106	0.0075213956	-0.0013017178	-0.0126912715	0.0013215626	0.06529324	0.28250438	0.040501323	0.025602488	0.019511236	0.06974295	0.0060945316	5.5044737e-05	0.18102589	0.07025862	0.000956629	1.4736112632890581	1
15	30	train	0.1319724	0.11376994	0.24518254	0.021121856	0.0019787673	0.15055485	0.09267926	0.036188748	0.035470698	0.05619251	0.04847026	0.010683774	0.002563307	0.083719395	0.035332676	0.027264822	0.024361968	-0.00885833	0.10015687	0.2563321	0.008777415	0.15389277	0.16637847	0.024248036	-0.016449394	0.024688909	-0.0012174703	0.06482186	-0.0043896553	0.040026367	0.0035566823	-0.0046900115	1.924782401882112	1
11	28	train	0.14789565	0.07436846	0.19294636	0.034527846	0.00058596587	0.13287649	0.11188699	-0.0017742113	0.02115634	0.03758434	0.037349876	0.0033759363	0.0028650481	0.101424515	0.020995589	0.034034383	-0.0059214314	-0.004614039	0.0706013	0.13097541	0.0009390796	0.14530784	0.17452975	0.021862868	0.012021225	0.010746558	0.012836548	0.052058212	0.022051793	0.031159896	-0.0011667261	-0.000681588	1.6248062663362361	1
12	26	train	0.1295252	0.02902286	0.1298312	0.049786326	-0.009115921	0.05933371	0.164081	0.004119815	0.0191281	-0.012945692	0.026798598	0.00088303606	0.012679917	0.027864657	0.014599239	0.039968416	-0.0019361109	5.755401e-05	-0.00143576	0.004226257	-0.020235328	0.15156335	0.21057437	0.043054476	0.023301726	-0.0064360597	0.026289063	0.02101376	-0.004576751	0.01690845	-0.0007677529	-0.0039878855	1.1431738205938018	1
3	26	train	0.19749057	0.031903576	0.078115165	0.078896716	0.002920124	0.0022633022	0.015869388	-0.006177618	-0.02405578	0.0014994838	0.004741455	0.012988603	0.020578312	0.025551565	0.016238643	0.045915414	0.032482643	-0.00018145438	-4.9759845e-05	-0.0015258868	0.03874497	0.16534577	0.17468159	0.018298568	0.013992154	-0.011009212	0.06770535	-0.0074790996	0.0022254693	0.08080691	-0.0017761815	0.0050347783	1.0820355319810915	1
1	23	train	0.10716987	0.04825172	0.03701212	0.06473566	-0.0048004542	0.046092946	0.03339522	0.011106477	0.07735064	0.007649279	0.004266891	0.0688455	0.0999721	-0.025305366	0.0019276123	0.047215767	0.20673293	0.0046600993	0.0024607412	-0.009741014	0.010655245	0.11209806	0.2905922	0.032674313	0.006675859	0.023077067	0.066494994	0.04064505	0.030353738	0.1739178	0.0066114664	0.007721035	1.6305155532900244	1
18	27	train	0.17156775	0.08769031	0.13008823	0.023085121	0.0049246703	0.026252827	0.045034893	-0.0026327695	0.010276583	0.034869276	0.017955896	0.06981099	0.021077225	0.22263132	0.3092811	0.028163955	0.010018113	-0.0044353893	0.005956132	0.007314217	0.0058030966	0.25011167	0.1970439	0.0138382185	0.010784847	-0.0013854643	0.017092584	0.012155366	0.00035712981	0.012913915	0.038802505	0.011860813	1.7883090274117421	1
