mS#id1	mS#id2	mD#data	C#preferential	C#jaccard	C#adamic_adar	D#louvain	D#infomap	cD#class
1	22	train	28	0.0	0	1	1	1
1	21	train	42	0.0	0	1	1	1
1	24	train	42	0.0	0	1	1	1
9	26	train	36	0.0	0	1	1	1
9	27	train	36	0.0	0	0	0	1
6	23	train	18	0.0	0	1	1	1
16	27	train	18	0.0	0	0	1	1
3	20	train	21	0.0	0	1	1	1
3	25	train	56	0.0	0	0	1	1
3	22	train	28	0.0	0	1	1	1
2	21	train	36	0.0	0	1	1	1
10	27	train	27	0.0	0	1	1	1
2	26	train	54	0.0	0	0	1	1
14	24	train	48	0.0	0	0	0	1
14	25	train	64	0.0	0	0	0	1
15	29	train	16	0.0	0	0	0	1
13	30	train	20	0.0	0	1	1	1
4	24	train	30	0.0	0	1	1	1
11	28	train	15	0.0	0	1	0	1
15	25	train	32	0.0	0	1	1	1
14	29	train	32	0.0	0	1	0	1
7	26	train	36	0.0	0	1	1	1
4	22	train	20	0.0	0	1	1	1
3	27	train	63	0.0	0	0	0	1
12	28	train	15	0.0	0	0	1	1
12	30	train	12	0.0	0	1	1	1
11	26	train	27	0.0	0	1	0	1
2	20	train	18	0.0	0	1	1	1
14	31	train	24	0.0	0	1	1	1
14	30	train	32	0.0	0	1	1	1
1	26	train	63	0.0	0	0	1	1
3	23	train	42	0.0	0	0	1	1
5	21	train	12	0.0	0	1	1	1
7	24	train	24	0.0	0	0	1	1
6	21	train	18	0.0	0	0	1	1
3	24	train	42	0.0	0	1	1	1
14	28	train	40	0.0	0	0	1	1
9	23	train	24	0.0	0	1	1	1
13	31	train	15	0.0	0	1	1	1
1	19	train	14	0.0	0	1	1	1
4	21	train	30	0.0	0	1	1	1
18	27	train	18	0.0	0	1	1	1
4	25	train	40	0.0	0	0	1	1
2	23	train	36	0.0	0	0	1	1
13	28	train	25	0.0	0	0	1	1
2	19	train	12	0.0	0	1	1	1
7	23	train	24	0.0	0	1	1	1
4	23	train	30	0.0	0	0	1	1
15	28	train	20	0.0	0	1	0	1
10	26	train	27	0.0	0	0	0	1
8	24	train	6	0.0	0	1	1	1
14	32	train	16	0.0	0	1	1	1
13	25	train	40	0.0	0	0	0	1
15	26	train	36	0.0	0	1	1	1
6	26	train	27	0.0	0	1	1	1
17	29	train	8	0.0	0	1	1	1
13	32	train	10	0.0	0	1	1	1
18	29	train	8	0.0	0	1	1	1
1	20	train	21	0.0	0	1	1	1
5	22	train	8	0.0	0	1	1	1
2	25	train	48	0.0	0	0	1	1
9	25	train	32	0.0	0	1	1	1
1	27	train	63	0.0	0	0	0	1
3	21	train	42	0.0	0	1	1	1
12	31	train	9	0.0	0	1	1	1
17	27	train	18	0.0	0	1	1	1
10	30	train	12	0.0	0	1	0	1
7	25	train	32	0.0	0	1	1	1
11	27	train	27	0.0	0	0	1	1
14	27	train	72	0.0	0	1	0	1
16	26	train	18	0.0	0	1	0	1
15	6	train	12	0.16666666666666666	0.45511961331341866	1	1	0
20	21	train	18	0.5	1.5859073112907487	1	1	0
11	24	train	18	0.0	0	0	0	0
13	16	train	10	0.0	0	0	0	0
16	30	train	8	0.0	0	0	0	0
18	7	train	8	0.0	0	0	0	0
29	31	train	12	0.16666666666666666	0.48089834696298783	1	0	0
22	30	train	16	0.0	0	0	0	0
6	8	train	3	0.0	0	0	1	0
20	27	train	27	0.2	1.0277966847395015	0	0	0
11	3	train	21	0.1111111111111111	0.45511961331341866	0	0	0
18	8	train	2	0.0	0	0	0	0
29	6	train	12	0.0	0	0	0	0
32	7	train	8	0.0	0	0	0	0
19	26	train	18	0.2222222222222222	1.072008968920998	0	1	0
20	26	train	27	0.2	1.072008968920998	0	1	0
1	31	train	21	0.0	0	0	0	0
20	5	train	6	0.0	0	1	1	0
15	27	train	36	0.0	0	0	0	0
1	6	train	21	0.25	1.013230239864666	0	1	0
15	32	train	8	0.0	0	0	0	0
27	30	train	36	0.18181818181818182	1.391137573589825	1	0	0
12	16	train	6	0.0	0	0	0	0
4	8	train	5	0.2	0.5581106265512472	1	1	0
14	5	train	16	0.0	0	0	0	0
10	28	train	15	0.0	0	0	0	0
17	4	train	10	0.0	0	0	0	0
2	9	train	24	0.42857142857142855	1.4941285868276535	0	1	0
19	23	train	12	0.14285714285714285	0.5581106265512472	0	1	0
18	24	train	12	0.0	0	0	0	0
10	4	train	15	0.0	0	0	0	0
10	16	train	6	0.6666666666666666	0.9102392266268373	0	1	0
14	26	train	72	0.0	0	0	0	0
10	15	train	12	0.16666666666666666	0.45511961331341866	0	0	0
30	5	train	8	0.0	0	0	0	0
2	4	train	30	0.375	1.5971196000654824	1	1	0
22	32	train	8	0.0	0	0	0	0
21	8	train	6	0.0	0	1	1	0
12	17	train	6	0.0	0	1	0	0
14	23	train	48	0.0	0	0	0	0
14	18	train	16	0.25	1.1764671337579005	1	0	0
26	29	train	36	0.08333333333333333	0.7213475204444817	0	0	0
13	19	train	10	0.0	0	0	0	0
20	28	train	15	0.0	0	0	0	0
10	7	train	12	0.16666666666666666	0.45511961331341866	0	0	0
23	27	train	54	0.15384615384615385	1.2352458628142324	0	0	0
2	3	train	42	0.4444444444444444	2.50735882669232	1	1	0
1	17	train	14	0.125	0.45511961331341866	0	0	0
12	8	train	3	0.0	0	0	0	0
16	20	train	6	0.0	0	0	0	0
17	18	train	4	1.0	1.1764671337579005	1	1	0
22	23	train	24	0.25	1.1352332769293625	0	1	0
11	6	train	9	0.2	0.45511961331341866	1	0	0
21	24	train	36	0.3333333333333333	1.6491316192991134	1	1	0
11	21	train	18	0.0	0	0	0	0
14	17	train	16	0.25	1.1764671337579005	1	0	0
10	17	train	6	0.25	0.45511961331341866	1	1	0
20	9	train	12	0.0	0	0	1	0
28	9	train	20	0.0	0	1	0	0
3	4	train	35	0.7142857142857143	2.8765777470612113	1	1	0
12	29	train	12	0.0	0	1	0	0
12	18	train	6	0.0	0	1	0	0
27	7	train	36	0.0	0	0	0	0
19	29	train	8	0.0	0	0	0	0
32	9	train	8	0.0	0	0	0	0
19	24	train	12	0.14285714285714285	0.5138983423697507	1	1	0
24	29	train	24	0.1111111111111111	0.48089834696298783	0	0	0
11	5	train	6	0.0	0	0	0	0
14	2	train	48	0.07692307692307693	0.48089834696298783	0	0	0
22	25	train	32	0.2	1.1352332769293625	0	1	0
20	25	train	24	0.2222222222222222	1.072008968920998	0	1	0
6	24	test	18	0.0	0	0	1	1
5	25	test	16	0.0	0	0	1	1
15	30	test	16	0.0	0	0	0	1
1	23	test	42	0.0	0	0	1	1
12	27	test	27	0.0	0	1	0	1
4	19	test	10	0.0	0	1	1	1
2	24	test	36	0.0	0	1	1	1
10	25	test	24	0.0	0	0	0	1
13	26	test	45	0.0	0	0	0	1
13	27	test	45	0.0	0	1	0	1
12	32	test	6	0.0	0	1	1	1
5	23	test	12	0.0	0	0	1	1
11	30	test	12	0.0	0	0	0	1
8	27	test	9	0.0	0	0	0	1
8	26	test	9	0.0	0	0	1	1
4	26	test	45	0.0	0	0	1	1
3	26	test	63	0.0	0	0	1	1
12	26	test	27	0.0	0	0	0	1
15	3	test	28	0.1	0.48089834696298783	0	1	0
10	6	test	9	0.2	0.45511961331341866	0	0	0
25	29	test	32	0.2	1.2022458674074694	0	0	0
3	8	test	7	0.14285714285714285	0.5581106265512472	1	1	0
24	32	test	12	0.14285714285714285	0.48089834696298783	0	0	0
29	5	test	8	0.0	0	0	0	0
29	3	test	28	0.0	0	0	0	0
12	2	test	18	0.0	0	0	0	0
16	18	test	4	0.3333333333333333	0.45511961331341866	0	1	0
23	32	test	12	0.0	0	0	0	0
10	5	test	6	0.0	0	0	0	0
13	18	test	10	0.0	0	1	0	0
17	25	test	16	0.0	0	0	0	0
25	32	test	16	0.25	1.1022332815225997	0	0	0
27	29	test	36	0.3	3.3662884287409147	1	1	0
11	19	test	6	0.0	0	0	0	0
4	5	test	10	0.4	1.279458146995729	1	1	0
31	5	test	6	0.0	0	0	0	0
