mS#id	mS#node	C#degree	C#pagerank	C#closeness	C#betweenness	C#clustering	D#louvain	D#infomap	cD#class
1	Evelyn	0.258065	0.042564	0.516667	0.092431	0.000000	1	1	1
2	Laura	0.225806	0.037359	0.469697	0.049149	0.000000	1	1	1
3	Theresa	0.258065	0.041804	0.516667	0.083827	0.000000	1	1	1
4	Brenda	0.225806	0.037105	0.469697	0.047358	0.000000	1	1	1
5	Charlotte	0.129032	0.023050	0.387500	0.010140	0.000000	1	1	1
6	Frances	0.129032	0.022622	0.430556	0.010254	0.000000	1	1	1
7	Eleanor	0.129032	0.022444	0.430556	0.009038	0.000000	2	1	1
8	Pearl	0.096774	0.018289	0.430556	0.006508	0.000000	2	0	1
9	Ruth	0.129032	0.022680	0.455882	0.016061	0.000000	2	1	1
10	Verne	0.129032	0.023004	0.455882	0.015061	0.000000	2	0	2
11	Myrna	0.129032	0.023503	0.442857	0.015641	0.000000	0	0	2
12	Katherine	0.193548	0.034251	0.469697	0.045326	0.000000	0	0	2
13	Sylvia	0.225806	0.038663	0.500000	0.068625	0.000000	0	0	2
14	Nora	0.258065	0.044538	0.516667	0.108581	0.000000	0	0	2
15	Helen	0.161290	0.028992	0.469697	0.040564	0.000000	0	0	2
16	Dorothy	0.064516	0.013807	0.418919	0.001870	0.000000	0	0	2
17	Olivia	0.064516	0.015200	0.378049	0.004837	0.000000	0	0	2
18	Flora	0.064516	0.015200	0.378049	0.004837	0.000000	0	0	2
19	Event 1	0.096774	0.018252	0.369048	0.002094	0.000000	1	1	3
20	Event 2	0.096774	0.018188	0.369048	0.002030	0.000000	1	1	3
21	Event 3	0.193548	0.032398	0.397436	0.017715	0.000000	1	1	3
22	Event 4	0.129032	0.023055	0.378049	0.007487	0.000000	1	1	3
23	Event 5	0.258065	0.041987	0.418919	0.036641	0.000000	1	1	3
24	Event 6	0.258065	0.042183	0.484375	0.063199	0.000000	1	1	3
25	Event 7	0.322581	0.051901	0.516667	0.125881	0.000000	2	1	3
26	Event 8	0.451613	0.072496	0.596154	0.237003	0.000000	2	0	3
27	Event 9	0.387097	0.066601	0.553571	0.219209	0.000000	0	0	3
28	Event 10	0.161290	0.028889	0.387500	0.011122	0.000000	0	0	3
29	Event 11	0.129032	0.027267	0.378049	0.019116	0.000000	0	0	3
30	Event 12	0.193548	0.033777	0.397436	0.017588	0.000000	0	0	3
31	Event 13	0.096774	0.018966	0.369048	0.002178	0.000000	0	0	3
32	Event 14	0.096774	0.018966	0.369048	0.002178	0.000000	0	0	3
