mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	C#orbit-15	C#orbit-16	C#orbit-17	C#orbit-18	C#orbit-19	C#orbit-20	C#orbit-21	C#orbit-22	C#orbit-23	C#orbit-24	C#orbit-25	C#orbit-26	C#orbit-27	C#orbit-28	C#orbit-29	C#orbit-30	C#orbit-31	C#orbit-32	C#orbit-33	C#orbit-34	C#orbit-35	C#orbit-36	C#orbit-37	C#orbit-38	C#orbit-39	C#orbit-40	C#orbit-41	C#orbit-42	C#orbit-43	C#orbit-44	C#orbit-45	C#orbit-46	C#orbit-47	C#orbit-48	C#orbit-49	C#orbit-50	C#orbit-51	C#orbit-52	C#orbit-53	C#orbit-54	C#orbit-55	C#orbit-56	C#orbit-57	C#orbit-58	C#orbit-59	C#orbit-60	C#orbit-61	C#orbit-62	C#orbit-63	C#orbit-64	C#orbit-65	C#orbit-66	C#orbit-67	C#orbit-68	C#orbit-69	C#orbit-70	C#orbit-71	C#orbit-72	cD#class
1	Evelyn	8	50	28	0	72	200	190	56	75	0	0	0	0	0	0	211	346	235	72	382	605	399	532	70	0	0	0	0	0	0	0	0	0	0	0	117	79	505	201	0	0	0	0	0	0	0	0	0	0	110	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	Laura	7	45	21	0	79	134	168	35	68	0	0	0	0	0	0	243	278	94	83	405	348	205	450	35	0	0	0	0	0	0	0	0	0	0	0	110	98	440	130	0	0	0	0	0	0	0	0	0	0	110	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	Theresa	8	57	28	0	69	217	225	56	91	0	0	0	0	0	0	74	303	307	68	458	602	390	616	70	0	0	0	0	0	0	0	0	0	0	0	70	90	667	261	0	0	0	0	0	0	0	0	0	0	153	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4	Brenda	7	46	21	0	76	134	170	35	71	0	0	0	0	0	0	232	266	110	83	407	336	199	451	35	0	0	0	0	0	0	0	0	0	0	0	102	95	454	136	0	0	0	0	0	0	0	0	0	0	115	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	Charlotte	4	24	6	0	87	30	70	4	21	0	0	0	0	0	0	364	111	27	135	222	52	18	130	1	0	0	0	0	0	0	0	0	0	0	0	143	75	98	12	0	0	0	0	0	0	0	0	0	0	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
6	Frances	4	32	6	0	98	36	130	4	30	0	0	0	0	0	0	233	110	30	134	466	84	27	366	1	0	0	0	0	0	0	0	0	0	0	0	165	92	182	9	0	0	0	0	0	0	0	0	0	0	62	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	Eleanor	4	36	6	0	108	42	156	4	33	0	0	0	0	0	0	206	124	53	151	606	80	21	440	1	0	0	0	0	0	0	0	0	0	0	0	161	100	234	21	0	0	0	0	0	0	0	0	0	0	77	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8	Pearl	3	31	3	0	106	28	154	1	17	0	0	0	0	0	0	176	82	54	178	684	68	3	486	0	0	0	0	0	0	0	0	0	0	0	0	171	65	148	11	0	0	0	0	0	0	0	0	0	0	46	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9	Ruth	4	40	6	0	115	56	190	4	32	0	0	0	0	0	0	139	143	122	162	740	134	22	570	1	0	0	0	0	0	0	0	0	0	0	0	167	101	274	34	0	0	0	0	0	0	0	0	0	0	81	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10	Verne	4	38	6	0	109	54	179	4	30	0	0	0	0	0	0	154	151	90	162	708	133	24	545	1	0	0	0	0	0	0	0	0	0	0	0	155	88	264	30	0	0	0	0	0	0	0	0	0	0	70	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
11	Myrna	4	33	6	0	94	47	149	4	26	0	0	0	0	0	0	187	144	49	147	570	143	28	465	1	0	0	0	0	0	0	0	0	0	0	0	145	69	200	19	0	0	0	0	0	0	0	0	0	0	52	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
12	Katherine	6	37	15	0	80	101	151	20	42	0	0	0	0	0	0	235	262	73	116	464	355	142	465	15	0	0	0	0	0	0	0	0	0	0	0	127	69	282	60	0	0	0	0	0	0	0	0	0	0	59	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13	Sylvia	7	46	21	0	80	156	187	35	60	0	0	0	0	0	0	163	334	162	114	505	496	252	549	35	0	0	0	0	0	0	0	0	0	0	0	115	73	446	138	0	0	0	0	0	0	0	0	0	0	90	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
14	Nora	8	43	28	0	85	205	133	56	48	0	0	0	0	0	0	366	449	302	110	252	511	438	299	70	0	0	0	0	0	0	0	0	0	0	0	169	73	336	177	0	0	0	0	0	0	0	0	0	0	42	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
15	Helen	5	34	10	0	101	84	133	10	26	0	0	0	0	0	0	253	250	126	147	477	256	81	385	5	0	0	0	0	0	0	0	0	0	0	0	178	77	196	45	0	0	0	0	0	0	0	0	0	0	40	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
16	Dorothy	2	24	1	0	87	8	133	0	8	0	0	0	0	0	0	138	31	15	161	662	13	0	451	0	0	0	0	0	0	0	0	0	0	0	0	154	28	64	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
