       Graph | 'karate_club'
       Nodes | 34 (0)
       Edges | 78 (0)
      Degree | 4.59 (17)
         LCC | 100.0% (1)
  Clustering | 0.5706

   Algorithm |   Count   Q      NMI    ARI    NVI 
     'Known' |     2.0  0.371  1.000  1.000  0.000
     'Graph' |     1.0  0.000  0.000  0.000  0.283
  'Isolates' |    34.0 -0.050  0.328  0.000  1.160
   'Infomap' |     3.0  0.402  0.699  0.702  0.207
   'Louvain' |     4.0  0.415  0.630  0.510  0.302
    'Leiden' |     4.0  0.420  0.687  0.541  0.257
       'LPA' |     3.0  0.325  0.445  0.473  0.368
      'FLPA' |     2.6  0.344  0.689  0.678  0.188
       'MCL' |     2.0  0.360  0.836  0.882  0.092
       'EM2' |     2.0  0.039  0.469  0.496  0.290
       'EM4' |     4.0  0.014  0.450  0.344  0.444
       'SBM' |     2.6 -0.137  0.202  0.191  0.391
     'DCSBM' |     1.0  0.000  0.000  0.000  0.283

       Graph | 'southern_women'
       Nodes | 32 (0)
       Edges | 89 (0)
      Degree | 5.56 (14)
         LCC | 100.0% (1)
  Clustering | 0.0000

   Algorithm |   Count   Q      NMI    ARI    NVI 
     'Known' |     4.0 -0.252  1.000  1.000  0.000
     'Graph' |     1.0  0.000  0.000  0.000  0.574
  'Isolates' |    32.0 -0.039  0.569  0.000  0.869
   'Infomap' |     2.0  0.315  0.581  0.431  0.361
   'Louvain' |     3.3  0.326  0.482  0.326  0.537
    'Leiden' |     4.0  0.335  0.372  0.215  0.711
       'LPA' |     2.0  0.041  0.086  0.000  0.643
      'FLPA' |     1.7  0.174  0.256  0.168  0.533
       'MCL' |     3.0 -0.274  0.538  0.305  0.449
       'EM2' |     2.0 -0.217  0.489  0.321  0.425
       'EM4' |     4.0 -0.221  0.813  0.727  0.206
       'SBM' |     3.0 -0.405  0.742  0.609  0.233
     'DCSBM' |     2.4 -0.454  0.703  0.540  0.263

       Graph | 'subelj_bajec'
       Nodes | 128 (0)
       Edges | 1,030 (0)
      Degree | 16.09 (27)
         LCC | 100.0% (1)
  Clustering | 0.2069

       Graph | 'cdn_java'
       Nodes | 1,516 (0)
       Edges | 10,151 (0)
      Degree | 13.39 (1,322)
         LCC | 100.0% (1)
  Clustering | 0.6851

             | # (nodes)
      0-core | 1 (1516)
      1-core | 1 (1516)
      2-core | 1 (1495)
      3-core | 1 (1472)
      4-core | 1 (1362)
      5-core | 1 (1214)
      6-core | 1 (995)
      7-core | 1 (844)
      8-core | 1 (490)
      9-core | 1 (325)
     10-core | 1 (198)
     11-core | 1 (129)
     12-core | 1 (90)
     13-core | 1 (88)
     14-core | 1 (86)
     15-core | 1 (83)
     16-core | 1 (83)
     17-core | 1 (82)
     18-core | 1 (82)
     19-core | 1 (82)
     20-core | 1 (70)
     21-core | 1 (49)
     22-core | 1 (49)
     23-core | 1 (49)
     24-core | 1 (44)
     25-core | 1 (43)

     25-core | java.applet.Applet; java.awt.AWTEvent; java.awt.Button; java.awt.Canvas; java.awt.Checkbox; java.awt.Choice; java.awt.Color; java.awt.Component; java.awt.Container; java.awt.Dialog; java.awt.Dimension; java.awt.Event; java.awt.FileDialog; java.awt.Font; java.awt.FontMetrics; java.awt.Frame; java.awt.Graphics; java.awt.GraphicsConfiguration; java.awt.Image; java.awt.ImageCapabilities; java.awt.Label; java.awt.List; java.awt.MenuComponent; java.awt.Panel; java.awt.Point; java.awt.PopupMenu; java.awt.Rectangle; java.awt.ScrollPane; java.awt.Scrollbar; java.awt.TextArea; java.awt.TextComponent; java.awt.TextField; java.awt.Toolkit; java.awt.Window; java.awt.im.InputContext; java.awt.image.ColorModel; java.awt.image.ImageObserver; java.awt.image.VolatileImage; java.awt.peer.ComponentPeer; java.lang.Class; java.lang.Object; java.lang.String; java.util.Locale

       Graph | 'cdn_jung'
       Nodes | 456 (63)
       Edges | 935 (0)
      Degree | 4.10 (84)
         LCC | 83.6% (68)
  Clustering | 0.3003

             | # (nodes)
      0-core | 68 (381, 5, 3, 2, 2, 1, 1, 1, 1, 1)
      1-core | 5 (381, 5, 3, 2, 2)
      2-core | 1 (309)
      3-core | 1 (211)
      4-core | 2 (110, 22)
      5-core | 2 (43, 20)
      6-core | 1 (11)

      6-core | jung.algorithms.layout.GraphElementAccessor; jung.algorithms.layout.Layout; jung.visualization.BasicVisualizationServer; jung.visualization.RenderContext; jung.visualization.VisualizationImageServer; jung.visualization.VisualizationModel; jung.visualization.VisualizationServer; jung.visualization.VisualizationViewer; jung.visualization.control.SatelliteVisualizationViewer; jung.visualization.picking.PickedState; jung.visualization.renderers.Renderer

       Graph | 'wikileaks'
       Nodes | 52,416 (0)
       Edges | 78,506 (0)
      Degree | 3.00 (384)
         LCC | 100.0% (1)
  Clustering | 0.1864

             | # (nodes)
      0-core | 1 (52416)
      1-core | 1 (52416)
      2-core | 1 (30239)
      3-core | 393 (4804, 295, 203, 178, 127, 115, 104, 100, 97, 94)
      4-core | 195 (701, 105, 98, 97, 84, 57, 55, 54, 46, 40)
      5-core | 83 (84, 72, 51, 34, 26, 25, 24, 23, 22, 22)
      6-core | 36 (75, 23, 23, 22, 20, 18, 18, 17, 15, 14)
      7-core | 21 (75, 23, 22, 22, 18, 17, 15, 13, 11, 11)
      8-core | 14 (71, 22, 20, 20, 18, 16, 13, 13, 10, 10)
      9-core | 9 (64, 17, 17, 15, 13, 13, 13, 10, 10)
     10-core | 2 (61, 13)
     11-core | 2 (14, 13)

     11-core | 08NEWDELHI1799; 08NEWDELHI2109; 08NEWDELHI2146; 08NEWDELHI2223; 08NEWDELHI2265; 08NEWDELHI2289; 08NEWDELHI2378; 08NEWDELHI2742; 08NEWDELHI2746; 08NEWDELHI2946; 08NEWDELHI2987; 08NEWDELHI3030; 08NEWDELHI3185; 09COLOMBO1139; 09COLOMBO1145; 09COLOMBO1152; 10COLOMBO11; 10COLOMBO21; 10COLOMBO27; 10COLOMBO40; 10COLOMBO57; 10COLOMBO59; 10COLOMBO61; 10COLOMBO62; 10COLOMBO65; 10COLOMBO7; 10COLOMBO78

       Graph | 'collaboration_imdb'
       Nodes | 17,577 (0)
       Edges | 287,074 (0)
      Degree | 32.66 (784)
         LCC | 99.3% (19)
  Clustering | 0.3391

             | # (nodes)
      0-core | 19 (17455, 33, 23, 22, 11, 4, 3, 3, 3, 2)
      1-core | 19 (17455, 33, 23, 22, 11, 4, 3, 3, 3, 2)
      2-core | 7 (17000, 27, 17, 12, 11, 4, 3)
      3-core | 5 (16364, 12, 11, 4, 4)
      4-core | 2 (15651, 7)
      5-core | 2 (14841, 7)
      6-core | 2 (13812, 197)
      7-core | 2 (12894, 179)
      8-core | 2 (12016, 166)
      9-core | 2 (11138, 146)
     10-core | 2 (10290, 127)
     11-core | 3 (9609, 122, 35)
     12-core | 5 (8718, 192, 109, 31, 27)
     13-core | 5 (8054, 189, 103, 26, 24)
     14-core | 4 (7449, 189, 93, 32)
     15-core | 4 (6894, 185, 32, 28)
     16-core | 3 (6390, 184, 17)
     17-core | 2 (5820, 183)
     18-core | 2 (5495, 183)
     19-core | 2 (5213, 182)
     20-core | 3 (4888, 182, 86)
     21-core | 3 (4570, 180, 83)
     22-core | 3 (4360, 180, 77)
     23-core | 3 (4126, 178, 73)
     24-core | 3 (3761, 174, 72)
     25-core | 3 (3455, 172, 69)
     26-core | 3 (3144, 166, 69)
     27-core | 3 (3045, 161, 67)
     28-core | 3 (2934, 155, 65)
     29-core | 2 (2807, 149)
     30-core | 2 (2583, 140)
     31-core | 2 (2493, 136)
     32-core | 2 (2351, 95)
     33-core | 2 (2287, 87)
     34-core | 1 (2218)
     35-core | 1 (2160)
     36-core | 1 (2091)
     37-core | 1 (2037)
     38-core | 1 (2006)
     39-core | 1 (1954)
     40-core | 1 (1913)
     41-core | 1 (1863)
     42-core | 1 (1823)
     43-core | 1 (1790)
     44-core | 1 (1721)
     45-core | 1 (1654)
     46-core | 1 (1532)
     47-core | 1 (1455)
     48-core | 1 (1430)
     49-core | 1 (1401)
     50-core | 1 (1282)
     51-core | 1 (1259)
     52-core | 1 (1173)
     53-core | 1 (1151)
     54-core | 1 (1126)
     55-core | 1 (1101)
     56-core | 1 (1088)
     57-core | 2 (778, 127)
     58-core | 2 (756, 86)
     59-core | 2 (754, 86)
     60-core | 2 (747, 85)
     61-core | 2 (708, 79)
     62-core | 2 (699, 79)
     63-core | 1 (687)
     64-core | 1 (680)
     65-core | 1 (673)
     66-core | 1 (668)
     67-core | 1 (652)
     68-core | 1 (648)
     69-core | 1 (635)
     70-core | 1 (620)
     71-core | 1 (591)
     72-core | 1 (571)
     73-core | 1 (555)
     74-core | 1 (541)
     75-core | 1 (521)
     76-core | 1 (519)
     77-core | 1 (463)
     78-core | 1 (221)
     79-core | 1 (221)
     80-core | 1 (221)
     81-core | 1 (219)
     82-core | 1 (219)
     83-core | 1 (216)
     84-core | 1 (207)
     85-core | 1 (204)
     86-core | 1 (204)
     87-core | 1 (204)
     88-core | 1 (204)
     89-core | 1 (204)
     90-core | 1 (204)
     91-core | 1 (204)
     92-core | 1 (203)
     93-core | 1 (203)
     94-core | 1 (203)
     95-core | 1 (203)
     96-core | 1 (202)
     97-core | 1 (199)
     98-core | 1 (199)
     99-core | 1 (196)
    100-core | 1 (195)
    101-core | 1 (192)
    102-core | 1 (192)
    103-core | 1 (190)
    104-core | 1 (190)
    105-core | 1 (187)
    106-core | 1 (187)
    107-core | 1 (187)
    108-core | 1 (187)
    109-core | 1 (185)
    110-core | 1 (185)
    111-core | 1 (185)
    112-core | 1 (184)
    113-core | 1 (184)
    114-core | 1 (184)
    115-core | 1 (184)
    116-core | 1 (184)
    117-core | 1 (184)
    118-core | 1 (183)
    119-core | 1 (182)
    120-core | 1 (178)
    121-core | 1 (178)
    122-core | 1 (177)
    123-core | 1 (177)
    124-core | 1 (177)
    125-core | 1 (174)
    126-core | 1 (174)
    127-core | 1 (174)
    128-core | 1 (174)
    129-core | 1 (171)
    130-core | 1 (171)
    131-core | 1 (168)
    132-core | 1 (168)
    133-core | 1 (168)
    134-core | 1 (168)
    135-core | 1 (167)
    136-core | 1 (167)
    137-core | 1 (167)
    138-core | 1 (167)
    139-core | 1 (167)
    140-core | 1 (162)
    141-core | 1 (162)
    142-core | 1 (162)
    143-core | 1 (162)
    144-core | 1 (162)

