mS#id1	mS#id2	mD#data	C#preferential	C#jaccard	C#adamic_adar	C#distance	D#flpa	D#louvain	D#markov	D#sbm	cD#class
17	87	train	100	0.42857142857142855	2.8410538762359825	2	1	1	1	1	1
56	96	train	54	0.07142857142857142	0.4170323914242463	2	1	1	1	1	1
59	60	train	63	0.0	0	3	0	0	0	0	1
17	96	train	90	0.26666666666666666	1.7873448336039046	2	1	1	1	1	1
3	11	train	80	0.058823529411764705	0.45511961331341866	2	0	1	0	1	1
30	82	train	72	0.0625	0.5138983423697507	2	1	1	0	0	1
2	6	train	108	0.23529411764705882	1.723478878065163	2	1	1	1	1	1
80	91	train	56	0.07142857142857142	0.43429448190325176	2	0	0	0	0	1
29	79	train	90	0.35714285714285715	2.34428400010223	2	1	1	1	1	1
15	114	train	88	0.0	0	3	0	0	0	0	1
48	53	train	72	0.058823529411764705	0.45511961331341866	2	0	0	0	0	1
55	89	train	70	0.0	0	3	0	0	0	0	1
5	10	train	63	0.3333333333333333	1.783781792672743	2	1	1	1	1	1
30	35	train	64	0.45454545454545453	2.2927265328030915	2	1	1	1	1	1
25	33	train	63	0.23076923076923078	1.4499163026461572	2	1	1	1	1	1
24	87	train	90	0.0	0	3	0	0	0	0	1
51	78	train	81	0.5	2.8532287402325784	2	1	1	1	1	1
19	94	train	70	0.21428571428571427	1.3703124421796582	2	1	1	1	1	1
52	53	train	84	0.0	0	4	0	0	0	0	1
28	50	train	25	0.25	1.013230239864666	2	1	1	1	1	1
25	103	train	49	0.16666666666666666	0.9690179556831694	2	1	1	1	1	1
16	93	train	110	0.4	2.6964515185983062	2	1	1	1	1	1
87	113	train	90	0.35714285714285715	2.306330402456065	2	1	1	1	1	1
16	23	train	88	0.26666666666666666	1.7346548246723306	2	1	1	1	1	1
23	41	train	64	0.3333333333333333	1.670788869133589	2	1	1	1	1	1
7	82	train	72	0.0	0	3	0	0	0	0	1
67	83	train	100	0.25	1.7088760910227614	2	1	1	1	1	1
110	114	train	88	0.26666666666666666	1.726138181501767	2	1	1	1	1	1
98	102	train	70	0.13333333333333333	1.072008968920998	2	1	1	1	1	1
2	100	train	132	0.2777777777777778	2.301243175973655	2	1	1	1	1	1
88	110	train	72	0.21428571428571427	1.2537564777093428	2	1	1	1	1	1
