mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	C#e2d	cD#class
55	56	train	0.0044261334	-0.0054522394	0.050754596	0.033563808	0.0008702211	0.0314534	0.16614945	0.15394004	-0.003988166	0.19687544	0.11951398	0.00431679	0.036418945	0.019885508	0.2697517	0.12031574	-0.0016517913	0.14131653	-0.021543479	0.07555513	0.030809226	0.269165	0.27229714	0.0035608397	0.27412397	-0.0073946053	0.23571415	0.2529801	0.24936058	-0.01980116	0.0041546845	0.18308552	3.1405271961702965	1
16	69	train	0.13327925	0.075855814	-0.03495944	0.02494148	-0.021650108	-0.0016100985	0.068464294	-0.05590697	0.23928392	-0.0033309818	0.058068644	0.0048825596	-0.0008398212	0.29473817	8.29544e-06	0.14958124	-0.17502703	-0.0076280087	0.024551813	0.03206959	-0.0050282767	0.068488024	0.7334362	-0.0017205072	-0.1070332	0.1035532	0.028499933	0.14098412	-0.0338081	-0.0025921075	0.123224266	0.066938765	1.9197149539004386	1
32	33	train	-0.016719706	0.03868798	0.06537126	-0.002911382	-0.095013514	0.0357121	-0.06987096	0.14141633	0.14231163	0.19645226	0.0013250032	0.069378555	0.13123749	0.10276859	0.05524006	0.0761585	0.0026311374	0.11565974	0.122264095	0.047804456	-0.0061934083	0.07977409	0.48190907	-0.0032746242	0.12133377	0.006639153	0.22200286	-0.028317073	0.045109857	-0.014266963	-0.03619221	0.06612573	2.0945538823725656	1
26	54	train	-0.12787324	-0.011869656	0.0028028172	0.011293566	-0.041101843	0.057680923	-0.14439686	0.0013219892	0.54248655	-0.008577175	0.2034146	0.104530714	0.15079626	-0.023563735	-0.05356482	0.096563056	0.12754978	-0.0037722497	0.035414446	0.0990745	0.007275778	0.020502757	0.5548062	-0.07717325	0.07923597	0.035676543	-0.015176765	0.06365544	-0.048632625	0.17628075	0.03032304	0.014870604	1.8598540535895154	1
48	65	train	-0.014532134	0.030057745	0.08897179	0.06893817	0.19001092	0.026722526	0.029089244	0.24456118	0.052729737	0.09439933	0.01642249	0.23582236	0.117205076	0.2165737	-0.045611512	0.4969385	-0.010932547	0.13054681	0.375516	-0.10441218	0.030745223	0.19661683	0.319275	-0.103573196	-0.012440818	0.041939367	0.02630345	0.0009280524	-0.013013935	-0.009721388	-0.0016581317	-0.007836405	2.7065812482615	1
74	89	train	0.0072472338	-0.02805267	0.22304013	0.15440112	0.005569509	0.08282269	0.577521	0.011155533	0.36927283	-0.0002656789	0.030688072	0.15402548	0.12388377	0.041702256	-0.00020276208	0.1970958	-0.03795563	0.004928419	0.026986742	0.5180255	0.13327879	-0.07921122	0.50722814	0.0028258213	0.0038974413	0.14981122	0.047988627	-0.0030036387	-0.001416338	0.028854605	0.29696134	0.052710142	3.601814307476161	1
35	100	train	0.0006401633	0.044611376	0.0019506292	-0.069480814	-0.012396757	0.034446195	0.29761377	0.34359613	0.058110137	0.5321623	-0.01593774	-0.015617082	0.047700513	0.18000071	0.26248997	0.0074074734	0.0628837	0.22009343	0.052581538	0.016564826	-0.04300532	0.46844316	0.08430882	0.04618834	0.14807975	0.025087457	0.23959032	0.16586512	0.05537306	0.005959838	-0.001105043	0.20433731	3.4485432867659256	1
57	88	train	0.016759517	0.22468954	-0.008556052	-0.0039084856	0.48025662	0.049894396	0.4005151	0.17450531	0.06747782	0.045689076	0.03820205	0.07663884	-0.0008226301	-0.03606637	0.119089566	0.16115972	0.42851657	0.012033865	-0.025689742	0.027659714	-0.0126356585	0.65588015	0.062108904	0.04658354	0.35360664	0.015260803	-0.07217114	-0.007545144	0.10999076	0.027888574	-0.00045865893	0.07650516	3.503058378904825	1
32	35	train	-0.0013954045	0.030404061	0.012257162	-0.010338705	-0.021693574	-0.03041489	0.3913092	0.24749179	0.0368765	0.7194112	0.0068132123	-0.011000993	0.036009703	0.075392775	0.31525233	-0.011399941	0.025835656	0.28076375	0.040114194	0.011639198	0.005616128	0.37894794	0.22705737	-0.02544116	0.167343	0.019596787	0.11617359	0.22794577	0.054651983	-0.0029602363	0.00088339596	0.33136773	3.6445095278904773	1
36	80	train	-0.016330011	0.0043808618	-0.007367921	-0.0018480557	0.0886363	0.06476033	0.41003957	0.02213086	0.045015614	-0.06608741	-0.001689954	-0.013409431	-0.03536862	0.00454833	0.3697639	-0.03034072	0.0025141581	-0.0014087822	0.15345655	0.05240961	0.12878527	0.13924673	0.6549886	0.033899862	0.07079572	0.0014780703	0.16927639	0.15687035	0.5054305	0.0028832988	0.021743095	0.37350917	3.3027122563216835	1
