mS#id	mS#node	C#degree	C#pagerank	C#closeness	C#betweenness	C#clustering	D#flpa	D#louvain	D#markov	D#sbm	cD#class
0	Brigham Young	0.105263	0.009563	0.423792	0.032490	0.348485	0	0	9	1	8
1	Florida State	0.105263	0.009606	0.413043	0.017621	0.439394	1	7	6	8	1
2	Iowa	0.105263	0.009452	0.407143	0.013122	0.378788	2	4	3	5	3
3	Kansas State	0.114035	0.010230	0.420664	0.023070	0.333333	3	3	1	3	4
4	New Mexico	0.096491	0.008865	0.402827	0.010664	0.418182	0	0	9	1	8
5	Texas Tech	0.105263	0.009617	0.383838	0.010661	0.363636	3	3	1	3	4
6	Penn State	0.105263	0.009514	0.425373	0.019681	0.318182	2	4	3	5	3
7	Southern California	0.105263	0.009472	0.401408	0.014563	0.393939	4	5	4	6	9
8	Arizona State	0.096491	0.008829	0.360759	0.005009	0.472727	4	5	4	6	9
9	San Diego State	0.096491	0.008818	0.397213	0.011831	0.472727	0	0	9	1	8
10	Baylor	0.087719	0.008165	0.381271	0.006908	0.444444	3	3	1	3	4
11	North Texas	0.087719	0.008309	0.402827	0.011400	0.311111	0	9	10	1	11
12	Northern Illinois	0.087719	0.008316	0.390411	0.010144	0.333333	5	2	0	0	7
13	Northwestern	0.096491	0.008797	0.420664	0.017291	0.381818	2	4	3	5	3
14	Western Michigan	0.096491	0.008954	0.385135	0.007074	0.377778	5	2	0	0	7
15	Wisconsin	0.105263	0.009468	0.423792	0.020895	0.348485	2	4	3	5	3
16	Wyoming	0.096491	0.008813	0.423792	0.022213	0.418182	0	0	9	1	8
17	Auburn	0.105263	0.009645	0.411552	0.016602	0.345455	6	1	2	4	10
18	Akron	0.096491	0.009073	0.380000	0.008493	0.400000	7	2	0	0	7
19	Virginia Tech	0.096491	0.008983	0.390411	0.009759	0.436364	8	6	5	7	2
20	Alabama	0.096491	0.008979	0.402827	0.023046	0.363636	6	1	2	4	10
21	UCLA	0.096491	0.008796	0.397213	0.022127	0.454545	4	5	4	6	9
22	Arizona	0.096491	0.008798	0.367742	0.006733	0.509091	4	5	4	6	9
23	Utah	0.096491	0.008843	0.385135	0.007589	0.454545	0	0	9	1	8
24	Arkansas State	0.087719	0.008277	0.423792	0.020700	0.222222	0	9	10	1	11
25	North Carolina State	0.096491	0.008885	0.413043	0.017783	0.509091	1	7	6	8	1
26	Ball State	0.087719	0.008317	0.398601	0.017003	0.333333	5	2	0	0	7
27	Florida	0.105263	0.009660	0.382550	0.010660	0.363636	6	1	2	4	10
28	Boise State	0.078947	0.007612	0.408602	0.018172	0.333333	0	9	10	1	12
29	Boston College	0.096491	0.008978	0.400000	0.009029	0.490909	8	6	5	7	2
30	West Virginia	0.096491	0.008940	0.410072	0.015087	0.472727	8	6	5	7	2
31	Bowling Green State	0.096491	0.008961	0.378738	0.008418	0.381818	7	2	0	0	7
32	Michigan	0.096491	0.008771	0.410072	0.014877	0.381818	2	4	3	5	3
33	Virginia	0.087719	0.008194	0.387755	0.007354	0.644444	1	7	6	8	1
34	Buffalo	0.096491	0.009043	0.376238	0.008026	0.381818	7	2	0	0	7
35	Syracuse	0.096491	0.008918	0.397213	0.015476	0.436364	8	6	5	7	2
36	Central Florida	0.070175	0.006946	0.401408	0.013206	0.142857	5	1	0	0	6
37	Georgia Tech	0.096491	0.008955	0.394464	0.009131	0.527273	1	7	6	8	1
38	Central Michigan	0.096491	0.009008	0.404255	0.025187	0.309091	5	2	0	0	7
39	Purdue	0.096491	0.008805	0.407143	0.010704	0.418182	2	4	3	5	3
40	Colorado	0.096491	0.008824	0.398601	0.013983	0.345455	3	3	1	3	4
41	Colorado State	0.087719	0.008109	0.395833	0.006439	0.533333	0	0	9	1	8
42	Connecticut	0.061404	0.006242	0.370130	0.007790	0.142857	5	2	0	0	6
43	Eastern Michigan	0.096491	0.009084	0.395833	0.013595	0.290909	5	2	0	0	7
44	East Carolina	0.096491	0.008951	0.400000	0.014372	0.363636	9	8	7	2	5
45	Duke	0.096491	0.008893	0.397213	0.011443	0.527273	1	7	6	8	1
46	Fresno State	0.096491	0.008719	0.393103	0.010353	0.527273	10	0	8	9	12
47	Ohio State	0.096491	0.008766	0.405694	0.015102	0.381818	2	4	3	5	3
48	Houston	0.096491	0.008906	0.410072	0.017789	0.363636	9	8	7	2	5
49	Rice	0.096491	0.008722	0.404255	0.009785	0.545455	10	0	8	9	12
50	Idaho	0.078947	0.007582	0.398601	0.014372	0.388889	0	9	10	1	11
51	Washington	0.096491	0.008857	0.394464	0.014905	0.472727	4	5	4	6	9
52	Kansas	0.087719	0.008130	0.397213	0.009851	0.422222	3	3	1	3	4
53	Southern Methodist	0.105263	0.009446	0.411552	0.016561	0.454545	10	0	8	9	12
