mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	cD#class
1	Brigham Young	12	71	43	23	433	575	116	66	11	105	158	113	13	6	35	8
2	Florida State	12	58	37	29	363	461	98	49	13	81	147	108	2	7	56	1
3	Iowa	12	72	41	25	446	474	145	47	26	52	178	117	44	35	21	3
4	Kansas State	12	73	44	22	424	527	145	73	32	68	152	91	30	39	17	4
5	New Mexico	11	62	32	23	394	389	111	34	21	70	167	90	11	6	35	8
6	Texas Tech	12	64	42	24	371	417	100	59	34	58	159	99	30	45	17	4
7	Penn State	12	77	45	21	472	588	162	80	28	79	141	90	31	30	20	3
8	Southern California	12	68	40	26	391	496	131	61	28	81	136	90	30	37	32	9
9	Arizona State	11	56	29	26	306	275	87	26	33	46	139	76	40	31	32	9
10	San Diego State	11	57	29	26	350	327	76	24	17	75	175	83	17	23	35	8
11	Baylor	10	58	25	20	343	265	109	23	29	47	131	49	34	33	15	4
12	North Texas	10	64	31	14	412	393	129	38	20	75	119	62	12	10	10	11
13	Northern Illinois	10	63	30	15	367	360	120	37	27	71	119	56	17	17	10	7
14	Northwestern	11	69	34	21	412	445	125	46	18	82	143	69	33	30	20	3
15	Western Michigan	10	61	28	17	358	308	118	24	32	61	123	68	27	16	12	7
16	Wisconsin	12	74	43	23	422	547	123	70	24	99	157	90	31	40	20	3
17	Wyoming	11	65	32	23	418	452	117	40	9	92	170	79	5	10	36	8
18	Auburn	11	67	36	19	403	434	135	52	27	60	124	70	29	28	15	10
19	Akron	11	55	33	22	335	296	84	34	32	43	156	85	17	25	21	7
20	Virginia Tech	11	56	31	24	341	347	72	31	16	73	161	88	10	10	36	2
21	Alabama	11	64	35	20	366	392	110	47	27	63	134	71	30	32	15	10
22	UCLA	11	60	30	25	350	368	96	34	17	76	140	69	29	30	32	9
23	Arizona	11	54	27	28	308	281	81	23	20	54	143	64	38	46	32	9
24	Utah	11	58	30	25	336	309	82	24	30	68	173	92	19	14	35	8
25	Arkansas State	10	73	35	10	437	533	144	60	16	124	86	50	3	0	10	11
26	North Carolina State	11	52	27	28	371	360	94	25	3	63	148	84	3	0	56	1
27	Ball State	10	63	30	15	375	366	124	38	26	74	121	54	14	18	10	7
28	Florida	11	65	35	20	358	397	120	47	32	66	131	71	29	32	15	10
29	Boise State	9	59	24	12	363	332	100	28	13	92	108	38	3	8	10	12
30	Boston College	11	50	28	27	394	286	88	23	10	26	176	79	9	25	38	2
31	West Virginia	11	54	29	26	360	345	76	31	7	66	167	71	7	26	37	2
32	Bowling Green State	11	63	34	21	332	365	98	37	35	77	153	87	21	21	20	7
33	Michigan	11	70	34	21	411	440	133	46	26	84	144	69	32	30	20	3
34	Virginia	10	42	16	29	291	197	63	7	7	47	163	50	2	7	56	1
35	Buffalo	11	58	34	21	332	329	85	37	32	58	141	87	23	21	20	7
36	Syracuse	11	61	31	24	365	405	108	37	17	84	155	76	8	16	36	2
37	Central Florida	8	67	24	4	365	381	141	34	13	113	46	20	8	2	0	6
38	Georgia Tech	11	46	26	29	362	291	79	23	6	34	153	79	2	7	56	1
39	Central Michigan	11	67	38	17	372	444	111	55	30	84	122	79	22	19	12	7
40	Purdue	11	65	32	23	429	370	132	33	23	45	166	77	34	35	20	3
41	Colorado	11	70	36	19	376	442	128	52	37	93	126	71	29	26	16	4
42	Colorado State	10	54	21	24	346	273	76	16	10	78	183	52	5	16	36	8
43	Connecticut	7	60	18	3	322	276	139	22	18	91	22	11	13	2	0	6
44	Eastern Michigan	11	66	39	16	383	436	115	62	35	77	124	72	15	21	10	7
45	East Carolina	11	67	35	20	390	424	121	37	19	70	138	93	35	18	17	5
46	Duke	11	50	26	29	349	329	85	23	7	61	153	79	2	7	56	1
47	Fresno State	11	55	26	29	377	319	86	16	12	64	185	93	11	0	56	12
48	Ohio State	11	71	34	21	408	444	135	46	26	86	150	69	32	30	20	3
49	Houston	11	68	35	20	394	452	118	47	20	90	146	76	21	22	20	5
50	Rice	11	53	25	30	371	314	82	21	9	63	188	74	5	14	56	12
51	Idaho	9	56	22	14	368	290	93	14	5	73	114	53	17	6	11	11
52	Washington	11	54	29	26	330	312	80	31	18	55	132	67	30	34	33	9
53	Kansas	10	63	26	19	365	318	127	26	25	62	137	52	31	26	16	4
54	Southern Methodist	12	61	36	30	408	455	95	40	7	78	182	116	10	8	56	12
55	Kent	10	53	23	22	303	239	74	16	24	64	166	55	12	26	23	7
56	Pittsburgh	11	62	32	23	371	411	107	35	16	82	143	88	17	7	35	2
57	Kentucky	10	59	26	19	350	296	106	26	24	57	127	51	30	28	15	10
58	Louisville	10	60	28	17	390	343	111	34	16	61	127	52	19	18	16	5
59	Louisiana Tech	10	81	40	5	491	646	183	84	12	135	43	33	8	2	1	12
