mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
1	Brigham Young	-0.64056283	-0.27793026	0.35671797	-0.37587234	-0.12329109	-0.7290467	0.19578703	-0.06847069	0.3109874	0.10221381	0.82223535	0.020551184	0.51349014	-0.2503237	-0.18619974	0.17058335	0.30158174	0.14632456	0.40433213	-0.06887042	-0.110913046	0.34697366	0.48481724	0.18981145	-0.036767557	0.3814428	-0.25995523	0.21032289	0.5339537	0.1325862	-0.06352479	0.43983862	8
2	Florida State	-0.6524634	-0.31471655	0.39916697	-0.016199932	-0.53947484	-0.0850422	0.3798038	0.28174078	0.08482262	-0.14453927	0.57279044	-0.07421774	-0.28587994	-0.13838515	-0.40001342	-0.07495267	0.52384526	0.27271456	-0.27875766	-0.4856646	0.5732845	0.02695028	0.31911346	0.80561835	-0.24822837	0.09461557	0.10378011	0.17244016	-0.018263428	-0.16316377	0.12433407	0.54302657	1
3	Iowa	-0.1697834	-0.38843846	0.14636348	-0.11611219	-0.38435015	0.07666623	0.37620935	0.50820833	-0.5976279	-0.4668881	-0.25351524	0.27537486	-0.02667948	-0.03331739	0.22098948	-0.090878375	0.12230629	0.5946528	-0.04516445	0.6764036	0.30278012	0.6800328	0.3344077	-0.19040638	0.1526818	-0.41469517	0.14117992	-0.008672214	0.22315405	-0.34885898	-0.24472609	0.40294537	3
4	Kansas State	0.08446532	-0.7228906	-0.105528735	0.12621312	-0.17287993	-0.23038088	0.7487937	0.257866	-0.24186257	0.29377937	0.2529083	0.24836308	0.046768013	0.34185305	0.26271072	-0.37741864	0.17577711	0.034043267	0.17728971	0.24687712	0.5936802	0.3331866	0.26017252	-0.20089655	0.46114856	-0.12088778	-0.2606357	-0.66638505	0.42619884	-0.3611286	-0.2591298	0.05922946	4
5	New Mexico	-0.39849806	-0.3335137	0.024242919	0.04548293	-0.1445818	-0.5409191	0.43724105	0.025796628	0.07353408	-0.04400609	0.8364083	-0.5659716	0.39955303	-0.33104149	0.23633902	0.13935564	0.05549762	0.36491948	0.6103928	0.0018383071	-0.085403435	0.57932	0.6465981	0.025183251	-0.12341504	0.438819	-0.22940637	0.08808151	0.37111038	0.18154363	-0.3078431	0.029354086	8
6	Texas Tech	0.015003156	-0.795252	-0.24682592	-0.45060205	-0.23117673	-0.22123085	0.56666076	0.29884627	0.13817787	0.32740763	0.22310011	-0.18245041	0.02775203	0.051165726	0.064870015	-0.15629801	-0.09192675	0.30301088	0.31402332	-0.13557112	0.36593208	0.4348028	0.54939604	-0.20413016	0.50986916	0.27738512	-0.4364609	-0.41217953	0.13031186	-0.30961418	-0.738753	0.3347499	4
7	Penn State	-0.28720504	-0.17765154	0.07352707	0.29003042	0.13523002	0.1712281	0.48905152	0.45828798	-0.46856597	-0.18459736	-0.24864127	-0.38853994	0.1778385	0.0612361	-0.1652455	-0.19878358	0.43615583	0.4220327	-0.4471508	0.71035975	0.05130606	0.46840945	0.42632487	-0.12692791	0.19717878	0.0012288949	0.23056726	0.056479707	0.18082924	-0.5736214	0.3168504	0.37143207	3
8	Southern California	-0.20936452	-0.412635	-0.0017375741	-0.008596769	0.029956082	-0.1242467	0.56266075	0.16112784	-0.42059729	-0.35369635	-0.039589867	-0.48233077	1.0791752	0.296432	0.1560502	0.19445245	0.029524695	-0.081379175	-0.3372724	0.22292684	0.13475208	0.4834823	0.34934	-0.017598843	-0.34966007	0.4546156	-0.041543536	-0.29135957	0.45757693	-0.2896467	-0.44388366	-0.15580744	9
9	Arizona State	-0.3202087	-0.51083213	-0.11004836	-0.06496663	0.24089362	-0.40431106	0.37100023	0.21905634	-0.1686434	-0.3555746	0.2133771	-0.52149564	1.2706873	-0.043063164	0.24885575	0.09734075	-0.14630522	0.37787846	-0.02679081	0.072610795	0.14461194	0.3925544	0.65768445	0.31078592	-0.043655813	0.26755184	-0.26373282	0.035730798	0.2443577	-0.22865105	-0.537016	0.21305981	9
10	San Diego State	-0.73410654	-0.49921924	0.012362769	-0.18884644	0.14049068	-0.32734507	0.28707552	-0.092240475	0.11873175	-0.2253082	0.5239981	-0.5093901	0.6731003	-0.04000696	0.24578907	0.33411273	-0.08270195	0.45747042	0.4337401	0.22726873	-0.18029368	0.59550035	0.49009928	0.06672612	0.07215629	0.5745714	-0.11848805	0.1422631	0.6131946	-0.22900414	0.05058983	0.20756774	8
