mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	C#e2d	cD#class
67	1096	train	0.024322767	-6.156828e-05	0.023013843	0.15478024	0.55645365	-0.023103243	0.16125508	0.5961348	0.20938699	-0.027535258	0.13111733	4.775739	0.0735557	0.48607138	0.064084835	0.0011355438	0.1588805	0.024986077	0.03631374	1.4583857	0.013516048	0.5887534	0.08778328	0.36315224	1.5132602	0.95202464	0.49344623	0.3802649	0.033808056	0.8925686	0.11421836	2.0670195	16.384732731094118	1
1330	1333	train	0.0018811862	1.5351597	0.75782967	0.0392502	0.014332702	1.3536056	2.6685522	0.08310497	0.21443483	0.090664536	0.4148047	0.017304212	0.16889459	1.1986004	0.008725041	1.5805819	0.05360034	1.1709707	0.023473194	0.06919082	2.8435357	0.00050621165	0.17178567	0.36627564	0.0008357415	1.1929893	0.62367135	0.24701464	0.36399162	0.6208067	-0.0035127178	0.021423077	17.914284410420805	1
301	304	train	0.15416625	3.5559375	0.92000437	0.49053758	0.68357307	-0.015542203	0.00537281	0.009651612	0.104528405	0.9746563	0.002249154	1.2942492	0.66318357	0.050054066	-0.013605926	0.0088499645	0.35099474	0.05146056	-0.0059749326	0.0090565365	1.5569866	1.2035704	0.09393569	0.38219702	4.5167465	1.399334	0.00065214845	0.12952219	0.036359135	0.14163427	0.36875367	1.4844853	20.607579420146067	1
148	153	train	0.32461947	0.1239857	-0.0073279864	-0.0009892047	0.31296128	0.091977514	-0.002040101	1.828517	-0.017832343	0.17843364	0.47527274	3.747989	0.26174656	1.0672016	0.042029876	0.094321355	-0.001059618	0.062662095	0.103228204	2.5691164	0.033714615	1.3511547	0.6312818	0.0072756456	0.65857476	0.644908	0.8103538	0.7550634	0.13690643	0.92764896	0.25966564	1.4108765	18.882237336714752	1
225	227	train	0.118452504	0.25929767	0.3414489	0.068559706	0.17829853	0.093348525	0.17542481	0.18415959	0.016929375	0.1844523	-0.03182567	0.49563876	-0.01697725	2.5284705	0.122376844	-0.02517987	0.21442737	0.6164211	1.4469883	1.835094	0.58022857	-0.0049996264	0.0019760772	0.02590857	2.5517862	0.27992293	-0.007785622	2.546901	-0.06196224	2.795419	9.385108e-05	0.5638487	18.07714336978097	1
909	910	train	0.21031308	1.3115869	-0.008269876	0.70783556	0.07119993	0.84583837	0.7512516	1.50745	0.18010208	0.9022318	0.16003571	0.8570775	0.26097125	0.44740522	0.052723523	0.5116744	-0.009235635	0.26504585	0.09364448	0.11386167	0.9360205	0.12128799	0.42093262	-0.041026164	0.02925734	1.2359955	0.7403965	0.138257	-0.01404892	1.5255469	0.23702253	0.2525673	14.814952445216477	1
402	403	train	0.61062646	0.12479816	1.3571296	0.025003875	0.5554262	0.29533532	0.8600767	0.5194326	0.5380888	0.111376524	0.053805273	0.28323352	0.3585342	0.9372309	0.44244513	0.24411377	0.487978	0.5419483	1.3932406	0.083375916	0.0043134056	0.057667244	0.3288115	0.75764704	0.7786503	0.22147888	0.16730648	1.1271819	0.3874979	0.087713	0.24080803	2.2934117	16.275687186047435	1
963	1026	train	0.44006148	2.0332615	1.7843016	0.7373626	0.24623951	1.1791143	0.044197455	0.40151572	0.5063973	0.0027863095	0.1511043	0.05216439	0.010453432	3.8366077	1.5061663	0.025340455	0.12557046	0.9381449	1.118488	0.6542783	0.039895874	0.36180025	0.40922675	0.116511725	-0.0008318955	0.19371663	0.26219225	0.04601857	0.020598937	0.9449453	0.09017308	1.4051479	19.682951510883868	1
1029	1030	train	0.13654965	3.2095425	0.024048606	0.2504708	1.1271303	1.2669903	2.9699788	2.5555553	0.17473002	0.017645776	0.15024172	2.7185094	0.0051779947	-8.9695415e-05	-0.00017878076	0.5742979	0.49736738	0.5495532	0.628636	1.3685341	1.7932211	0.8070587	0.6570776	0.18485044	2.2287035	0.70211935	0.13374336	0.9543532	1.3836677	1.8432771	0.031179301	0.29382798	29.23777071145014	1
90	93	train	0.41491985	0.9724013	0.6132353	0.08069368	0.7547752	0.07798431	1.546535	0.18316334	0.60789675	0.24783808	0.4737866	0.3223554	0.9000649	0.4432353	0.49131542	0.23888895	0.02694993	0.031294335	2.1598454	0.010983451	0.83056456	0.057649266	0.40279514	1.52764	0.9163719	0.50357556	0.07216781	0.46286884	1.0714741	0.43808755	0.76397836	2.237681	19.88301642332226	1
1148	1149	train	0.05565593	0.982648	0.6633295	0.26374707	0.46478236	0.00088547583	1.7411288	0.5220097	0.028671354	0.21203427	0.3922484	0.051352765	0.43142197	0.074226946	0.25493732	1.6160526	0.10526011	1.1757537	-0.009848374	2.9244056	0.18661311	0.2289349	0.91841465	0.019436443	0.71079105	0.038775586	0.09149711	0.07208926	0.013055667	1.1504562	0.00053911214	1.5082784	16.88958492007805	1
714	716	train	1.592397	1.8132685	1.4569765	0.11636339	0.9819992	0.009345141	1.0620759	1.2701879	0.38139904	1.0289016	0.8777285	0.024952868	0.0999061	1.5465446	0.5744262	1.02731	0.38762954	0.18354571	0.6314647	0.23186283	0.53551894	0.090081304	0.46360168	1.1760366	1.4132798	0.019857025	0.5964439	0.20498009	0.1294097	0.35425448	0.90909445	0.1818445	21.372687590308487	1
12	845	train	0.2094622	0.35334504	0.9024914	0.01578912	0.15433459	0.07246724	0.38159445	1.427314	-0.009211671	1.7206528	1.4196665	0.14157614	0.4223518	0.4098606	0.10146243	0.0027516566	4.79307	0.13665658	-0.004984543	1.1311392	-0.010992141	2.3032212	0.7625708	-0.012922814	0.031106472	0.18543346	0.70073533	0.70329416	0.8393476	1.2452496	0.14460307	0.52305734	21.19649356068112	1
165	168	train	0.74322104	0.40673563	4.4557133	1.320765	0.941839	1.3377067	0.40203914	0.9437895	1.2859534	-0.0050973557	-0.011764291	0.4314749	0.36462465	0.54563063	0.21027815	-0.010604719	0.15947592	0.051474977	1.1775062	0.091169976	0.95436645	0.0053718016	0.0060966224	0.012590163	1.7054415	0.058388375	0.07971701	0.048230626	0.19743764	0.38450205	0.72761565	1.8622718	20.88396135950461	1
919	920	train	1.0538846	2.2414367	3.3687427	0.10627126	0.18011758	0.28164017	0.05020534	0.02222362	2.1902523	1.399486	0.14903623	2.2064116	-5.5662975e-05	0.08163765	0.064183965	0.60295874	0.07908515	0.00033251435	0.51640105	5.266464	1.2264102	0.16267978	0.9248966	0.18925776	0.10202521	0.003587611	0.98462516	0.48232576	0.24023716	1.5327889	0.2696656	0.034558054	26.013773449602013	1
45	48	train	0.3782175	0.00020915088	1.8160337	0.28458935	0.6295391	0.01863595	0.099884726	2.6928606	0.014411819	2.1368096	0.0104990695	1.6153976	0.06360248	0.026720354	0.28098002	0.1967386	1.158046	0.035905596	0.054749086	0.5555437	1.4649211	0.740201	1.3317575	0.007966324	1.8023553	0.15054719	0.61787754	0.006263427	0.0011042804	0.16755956	0.72561276	0.12169557	19.207235581750865	1
652	655	train	-0.003020012	-0.011618243	0.08215416	0.31101248	0.33145946	2.2557774	0.12597296	1.3565276	0.17205347	1.7532012	0.2730647	0.66335005	0.1791484	0.09787872	0.00070906495	0.25361007	1.6564236	0.54805243	0.7747797	0.44056988	0.05448074	0.106630966	2.9049969	0.38912743	0.0065583824	2.0926638	-0.0037881855	1.2148447	0.20402223	0.022046607	1.9165479	1.5069228	21.676161258190405	1
210	211	train	-0.0047830474	1.1255786	1.5476073	0.060875818	0.007073042	0.2900424	1.5838157	0.7627777	0.33322805	0.0044291266	0.063213326	0.5430211	0.16105397	1.2515883	0.0051049828	1.3784089	0.11141467	-0.002300206	0.32501146	1.5918653	1.4864802	0.7311598	1.0743821	0.21585663	0.03098594	0.016245225	0.6259039	0.15369372	0.06527376	0.3658258	-0.014953006	0.13237235	16.022252993192524	1
246	252	train	1.063088	1.7877108	0.8583046	1.0160929	0.59610605	0.17288928	0.059248254	1.7255577	1.513154	0.1444731	0.25724313	0.18265402	1.5800135	1.5888869	0.94778216	0.15662411	0.45574135	0.2834285	0.000301966	0.52224463	0.7107048	0.016143912	0.3661704	0.91695595	2.0618813	0.12152692	0.762317	0.47347826	0.025963768	1.263107	0.26999274	0.09529342	21.995080407272326	1
170	171	train	0.083127014	0.15364459	3.471396	0.43498302	1.3897128	1.1780673	0.020473994	2.7309148	1.4985468	2.0263596	0.80747396	0.22402823	0.11595283	1.0733539	0.25270316	0.019884406	0.1294111	3.1459165	0.60394967	-0.0018164953	0.5624412	0.36348316	-0.00018577467	1.180758	1.6259621	0.489389	0.55945	0.0009939203	0.78393507	3.0254562	0.7706679	0.4118303	29.132264214305906	1
172	175	train	0.19305608	0.40879613	2.2841537	0.037607536	0.1577457	0.023478203	0.26236528	0.56067276	0.0976718	1.8844569	0.00730372	0.11714915	1.3776474	5.8150334	0.75812495	0.013763537	0.14623249	0.327746	0.44538486	0.0070701996	2.9467416	0.001497004	0.19980904	0.020817224	2.2945898	0.7992821	0.102945924	0.032843668	0.73023975	1.2611535	0.3517664	0.044212513	23.711358211236075	1
96	98	train	0.26616475	0.86525375	1.820181	0.30762196	0.5509864	0.8428594	0.15663725	0.42597154	0.5423407	0.048497114	0.50225174	0.13702147	0.1027597	2.2803435	0.25824788	0.05647929	1.689138	0.03566874	1.1984571	0.29725856	0.20304926	0.5393774	0.49275303	0.8197527	0.013914246	0.110631935	0.63052416	0.48349813	0.009682237	0.7455102	-0.012766283	2.2425308	18.662597778253257	1
113	115	train	0.64015514	0.22060797	1.5807302	0.16285917	0.042085547	0.0149144875	1.0188766	1.3123629	-0.0052530183	0.1706056	0.30811644	0.8931486	-0.03610349	0.62716985	0.2713917	0.07848686	0.20361038	1.697491	2.1438591	-0.023258658	0.028414488	0.25910544	-0.03776424	0.35956278	0.1332314	1.2334636	0.21193162	-0.017766813	0.5201784	0.07293557	0.2033749	1.2791742	15.567697796504945	1
77	79	train	0.81097764	2.5365322	2.6206415	0.07349027	0.553461	0.11949056	0.3380882	0.5254474	0.6123469	0.11532525	0.6803443	0.19542496	-3.9167033e-05	0.763486	0.755088	0.041631777	1.9473639	0.105890565	0.44756225	0.010300904	0.0002049322	0.3703965	0.00899397	0.3701976	0.008690264	0.09680353	1.3586903	1.7868081	0.047261912	0.56817245	0.0843257	2.8721004	20.82549991644919	1
245	246	train	0.9897364	1.8258024	0.8542516	1.0234962	0.5852498	0.15119848	0.07302521	1.7760383	1.5995933	0.16442299	0.24671465	0.16867231	1.570655	1.6393247	0.97636724	0.1369805	0.47885165	0.27918473	0.0002502307	0.5367375	0.7329378	0.009070181	0.3765593	0.96762156	2.0891156	0.13649154	0.6972057	0.48568463	0.026817493	1.339679	0.27389902	0.07228642	22.283921379741514	1
1153	1156	train	0.6980712	2.4762073	1.7734196	0.34942743	0.22203359	0.40289238	0.7665779	0.8122295	1.2240847	0.39557546	3.3577251	0.013159842	0.019671315	1.1027378	0.0009414062	0.48575538	0.075659074	1.0081633	1.1294792	0.06665573	0.36581597	0.51254284	0.29062662	1.0836096	1.0334303	0.9603539	0.12724866	0.6771078	2.1964965	0.27123016	1.137292	2.6917663	27.72798792104004	1
