mS#id1	mS#id2	mD#data	C#preferential	C#jaccard	C#adamic_adar	C#distance	D#flpa	D#louvain	D#markov	D#sbm	cD#class
367	368	train	40	0.4444444444444444	2.3350875634585924	2	1	1	1	1	1
710	713	train	64	0.3333333333333333	2.270466553858725	2	1	1	1	1	1
1252	1257	train	32	0.2	0.9947966893327386	2	1	1	1	1	1
1081	1083	train	25	0.6666666666666666	2.544928322411563	2	1	1	1	1	1
535	540	train	15	0.14285714285714285	0.36926937306885504	2	1	1	0	1	1
867	869	train	12	0.4	0.8979307383872341	2	1	1	0	1	1
638	642	train	33	0.16666666666666666	0.7630086476854399	2	1	1	1	1	1
111	112	train	52	0.21428571428571427	2.0340163514531637	2	0	1	1	1	1
1254	1255	train	42	0.625	2.5147040098099613	2	1	1	1	1	1
450	489	train	76	0.15	1.9565933832587141	2	0	1	1	1	1
970	974	train	20	0.125	0.5138983423697507	2	1	1	1	1	1
817	819	train	20	0.5	1.7375561876621064	2	1	1	1	1	1
655	657	train	4	0.3333333333333333	0.9102392266268373	2	1	1	1	1	1
780	901	train	32	0.3333333333333333	1.9492482001410725	2	1	1	1	1	1
33	39	train	54	0.5	2.353685890267188	2	1	1	1	1	1
61	768	train	68	0.16666666666666666	2.541825973698156	2	1	1	1	1	1
217	222	train	20	0.2857142857142857	1.179445561110859	2	1	1	1	1	1
336	343	train	28	0.375	1.4426950408889634	2	1	1	1	1	1
984	986	train	16	0.6	2.644940908296433	2	1	1	1	1	1
45	47	train	25	0.6666666666666666	2.403235271822055	2	1	1	1	1	1
240	242	train	56	0.07142857142857142	0.7213475204444817	2	0	0	0	0	1
99	963	train	55	0.06666666666666667	0.9102392266268373	2	0	1	0	1	1
903	965	train	18	0.125	0.33380820069533407	2	1	1	1	1	1
401	406	train	120	0.4666666666666667	3.212815674577482	2	1	1	1	1	1
766	767	train	12	0.4	1.0743036443092429	2	1	1	1	1	1
1299	1301	train	6	0.25	0.9102392266268373	2	1	1	1	1	1
223	227	train	24	0.42857142857142855	1.5107490297762822	2	1	1	1	1	1
370	372	train	8	0.2	0.48089834696298783	2	1	1	0	1	1
909	1220	train	24	0.2222222222222222	1.0609707923395904	2	1	1	1	1	1
609	615	train	110	0.75	3.8256926136446565	2	1	1	1	1	1
587	591	train	56	0.5	2.8095651565831044	2	1	1	1	1	1
281	285	train	84	0.25	1.8876182133924404	2	1	1	1	0	1
1141	1142	train	8	0.2	1.4426950408889634	2	1	1	1	1	1
195	197	train	12	0.4	1.1383799118687281	2	1	1	1	1	1
430	431	train	33	0.16666666666666666	1.3426824550040934	2	0	1	1	1	1
76	77	train	24	0.07692307692307693	0.9102392266268373	2	0	1	1	1	1
1380	1381	train	6	0.25	0.9102392266268373	2	1	1	1	1	1
51	53	train	77	0.125	1.2426698691192237	2	0	0	0	1	1
151	153	train	50	0.36363636363636365	2.064203124905022	2	1	1	1	1	1
369	375	train	20	0.5	1.4733034554174869	2	1	1	1	1	1
1091	1095	train	42	0.625	2.2668607680434953	2	1	1	1	1	1
824	826	train	9	0.2	0.9102392266268373	2	1	1	1	1	1
1018	1019	train	12	0.16666666666666666	0.6213349345596119	2	1	1	1	1	1
860	866	train	42	0.625	2.732352876994845	2	1	1	1	1	1
315	317	train	9	0.2	0.9102392266268373	2	1	1	1	1	1
351	352	train	12	0.4	1.4426950408889634	2	1	1	1	1	1
261	262	train	20	0.5	2.0640299754485754	2	1	1	1	1	1
734	738	train	96	0.17647058823529413	1.876989522792215	2	0	1	1	1	1
1228	1230	train	6	0.25	0.45511961331341866	2	1	1	1	1	1
892	893	train	15	0.3333333333333333	1.4426950408889634	2	1	1	1	1	1
1253	1256	train	42	0.3	1.4756950362957264	2	1	1	1	1	1
388	390	train	15	0.3333333333333333	0.9947966893327386	2	1	1	1	1	1
325	849	train	105	0.047619047619047616	0.9102392266268373	2	0	0	0	0	1
372	1289	train	16	0.14285714285714285	1.4426950408889634	2	1	1	1	1	1
704	707	train	30	0.5714285714285714	2.1299330607721063	2	1	1	1	1	1
926	928	train	12	0.4	1.631586747071319	2	1	1	1	1	1
817	821	train	25	0.6666666666666666	2.458903708106588	2	1	1	1	1	1
710	761	train	32	0.09090909090909091	0.3898712452512801	2	0	1	0	1	1
231	233	train	9	0.5	1.8204784532536746	2	1	1	1	1	1
817	822	train	25	0.42857142857142855	1.7375561876621064	2	1	1	1	1	1
273	621	train	90	0.26666666666666666	2.218454534625094	2	1	1	0	1	1
11	12	train	32	0.3333333333333333	2.0640299754485754	2	1	1	1	1	1
191	194	train	40	0.2727272727272727	1.8235808019670814	2	0	1	1	1	1
1061	1062	train	1	0.0	0	1421	1	1	1	1	1
379	839	train	81	0.125	1.3426824550040934	2	0	1	0	1	1
1165	1166	train	40	0.4444444444444444	1.9714106595181162	2	1	1	1	1	1
3	885	train	77	0.38461538461538464	2.6137039960302504	2	1	1	1	1	1
109	110	train	48	0.14285714285714285	1.1112187656957617	2	0	1	0	0	1
713	717	train	32	0.3333333333333333	1.6491316192991134	2	1	1	1	1	1
326	681	train	77	0.5	2.6636965698526143	2	1	1	1	1	1
245	250	train	42	0.3	1.4756950362957264	2	1	1	1	1	1
228	229	train	45	0.2727272727272727	1.7137526288989806	2	1	1	1	1	1
204	207	train	12	0.4	1.4426950408889634	2	1	1	1	1	1
442	444	train	12	0.4	1.1764671337579005	2	1	1	1	1	1
909	1218	train	24	0.2222222222222222	1.0609707923395904	2	1	1	1	1	1
698	700	train	12	0.14285714285714285	0.43429448190325176	2	1	1	1	1	1
242	604	train	49	0.4	1.7503707417549652	2	1	1	1	1	1
