mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	cD#class
622	624	train	-0.00012771004	0.027829368	0.13294892	0.08130894	0.6077163	0.28712535	0.012668555	0.26366624	-0.026502723	0.19492926	0.002109595	-0.01919036	0.5507216	3.80514	0.05759524	-0.0016801152	0.82151306	0.22292812	0.050707784	0.17534201	0.06525258	1.9299967	0.098418094	0.91083664	0.20173766	0.038109265	0.39270255	2.58137	0.03208074	1.8218288	0.0029701248	0.9836233	1
395	401	train	0.047619913	0.7706686	0.6811056	0.01767722	0.0069773966	1.8807896	0.44416794	0.7982603	1.0764215	1.041936	0.70835286	0.03945061	0.17739655	0.6052403	0.004147027	2.005049	0.93887794	4.019665	0.17959139	5.3424377	0.009375677	2.392157	4.685668e-05	0.2703117	0.39029104	0.055307206	0.0020957903	0.33476394	0.027854595	0.037506975	0.2777276	0.85419005	1
647	648	train	0.09233047	1.0779433	0.1171232	0.7458948	0.5142989	0.18964523	0.69194245	0.40022382	2.217821	2.0306878	0.72196907	0.20912266	1.0713415	2.1567929	0.017043544	0.0067179673	0.32513008	0.24734585	0.901117	2.4258926	0.0013154926	1.753964	1.2228066	0.013657986	0.29605037	0.3508982	1.8737679	0.25400916	2.019891	0.09520502	1.8870014	0.6457723	1
220	223	train	0.0071842433	0.13714257	0.0068450845	0.13261467	0.05693307	0.16336326	0.15525956	1.2375569	1.1213073	0.19455814	0.3082599	0.20792855	0.42013723	1.0501645	0.24277973	0.47893003	-6.755569e-06	0.5415637	5.011283	4.7904763	-0.014214625	0.14525764	0.015741918	0.032847688	0.0070105274	0.1738669	-0.0022088839	0.47867298	0.5160992	4.4589624	0.1311433	0.4058729	1
200	611	train	0.39714968	0.4981276	0.02344973	0.608673	0.051642068	0.012337405	0.6411366	0.917541	1.3451948	1.715751	0.06451593	0.11404136	0.021879064	0.039225463	0.009279144	0.28552705	0.5518606	-0.0022894305	0.03641601	2.62321	0.0269821	0.02914724	0.20788603	1.0341377	0.237219	1.8754395	0.016559592	0.034559727	0.23792939	2.1430922	0.4550998	-0.0003900399	1
358	359	train	0.1256004	0.2701413	0.04289205	0.24717268	0.37583312	0.10717269	0.13816096	1.174975	1.326454	0.9204711	0.2524993	2.3430662	0.29564497	0.2266966	0.54752	-0.00019348695	0.35152188	0.011104301	0.43412086	4.526335	0.47570524	0.23834895	0.034117244	0.061308794	-0.013988177	0.46902728	4.1356225	0.5172267	0.27297243	0.00037228514	0.849233	-0.0059901974	1
423	427	train	-0.0026025053	-0.0056565874	-0.0221256	-0.013945446	0.5790619	0.13142386	0.017455408	0.0034923074	-0.048440367	1.2172521	0.006654238	-0.009814388	0.8138351	0.107688725	-0.0021672575	0.40704215	0.028786689	0.06994724	0.4613773	3.8638945	0.046481032	0.113139674	0.11947172	0.8063886	2.120446	1.7021034	1.1721973	0.018842336	0.47834563	1.812198	2.2625504	-0.0024997618	1
1064	1066	train	0.27857965	0.00298204	0.014144261	0.3528652	0.101267494	1.4018008	0.038394168	0.0013722992	3.367928	2.454928	1.0452112	0.24135627	0.87290746	1.1448342	0.5499321	0.12603065	0.023187805	1.7918711	0.843473	3.7632117	1.4215165	0.5248078	0.18166992	0.023960277	0.40152702	2.8180797	0.0021657709	1.1627299	0.15522705	0.00044288186	0.02382154	3.130971	1
492	495	train	0.00045014583	0.012591916	0.35138023	0.32069963	0.34721255	0.04856816	5.2444663	0.14896445	1.2939968	0.84360987	0.0910956	0.35138625	0.07040545	5.713636	1.6986036	0.24488021	0.011232139	1.2286996	0.27011693	6.168302	0.06853637	1.2255197	0.008539777	0.07112566	0.68610173	2.2796073	0.004283819	0.28146306	0.0066168895	0.24541174	0.47658536	0.032332312	1
1316	1318	train	0.114360794	0.32492796	0.03410315	-0.0011780047	0.08584775	0.41827518	0.28795463	2.1316347	0.97051805	3.0741572	0.0065628034	0.0011812975	1.567464	0.09028922	2.3563242	0.08655546	0.024875108	2.0775585	0.15522793	3.201101	1.535227	0.0026181778	1.2515664	0.9745632	0.08077768	0.015170377	1.3918635	-0.003981362	1.0963404	0.557327	0.115193725	1.1814231	1
240	285	train	0.015462763	0.55404747	-0.033800248	0.10089514	0.17815621	0.009029384	-0.07208807	0.04655788	0.19811279	0.35204452	-0.021201517	0.25265175	-0.014270133	0.21991445	0.79042697	-0.014187478	0.41957998	-0.01611069	0.17588559	2.435752	-0.052619174	-0.19371985	0.40735745	1.0060567	0.30874372	0.3735069	0.037249334	0.27065963	0.044963095	1.5494229	0.5096173	0.34146294	1
796	797	train	0.11522132	0.28797805	0.3881624	0.014469327	-0.009309782	0.33221596	0.12321585	0.106261775	0.018937152	0.32803488	0.14074989	-0.098189	0.01240751	0.56940955	0.513115	0.116204925	-2.1228258e-05	0.24439587	0.07326321	1.425314	0.11833594	1.3412412	0.742793	1.1516672	0.8657525	0.005301517	0.05732917	0.97136605	0.2842463	1.2917266	0.1441383	0.9233294	1
874	875	train	0.054623123	0.18624741	0.48643577	3.3115985	0.554583	2.264682	0.14724067	0.74098307	0.008994261	1.9010283	0.879835	0.042793084	0.93047154	0.3496627	1.3097467	0.7456788	1.9010241	0.08399367	0.028321547	5.0377083	0.22656131	2.165874	0.15808143	0.7087693	0.009982039	0.011778848	1.5440259	0.03611338	0.007808383	0.06290646	0.054063186	0.47248313	1
67	68	train	0.0628821	0.057884205	0.0070067826	0.3882477	2.4597058	0.18893749	0.6095471	-0.00044645972	0.5315256	0.1065602	0.94956034	-0.030601805	-0.007414572	0.87195605	0.0095515605	0.031893987	0.060926985	0.46931723	-0.06452146	2.033523	0.97434914	0.66412526	0.0928492	1.6007847	0.13257676	0.14559762	0.0048559764	1.0852232	-0.002962642	0.9091615	0.007947768	0.0123542445	1
218	219	train	0.0030165662	0.150755	0.010766312	0.11136563	0.042739246	0.23714353	0.099283114	1.2933253	1.226854	0.11854975	0.30280545	0.15474275	0.52157384	1.039966	0.3579684	0.38052785	-6.1557264e-05	0.6252089	4.897283	5.016243	-0.0011706788	0.1441267	0.010696061	-0.008446044	0.00029368905	0.17433424	-0.0034478838	0.4639808	0.5073505	4.5610523	0.16456386	0.37342075	1
466	467	train	3.408756	0.9474317	0.26716927	0.09904402	-0.0010778066	0.03418553	1.320129	2.5628333	0.99607265	2.7602623	1.4812729	0.45557803	0.1345929	0.31213304	0.03379451	3.989734	-0.00016574543	0.7295883	0.48459616	1.955262	0.30098546	0.20450395	0.7048959	0.15372027	0.27190223	0.04376978	0.99057454	1.149542	0.09437931	0.3302421	0.28767145	0.061840516	1
681	683	train	0.20893987	1.4241247	-0.0020846862	0.4878362	0.34083974	0.009232861	0.36139414	0.2786726	0.42721707	0.008844903	2.4615853	1.0433614	0.028793845	0.42620492	0.85083306	-0.0007800867	0.036893606	0.031370655	-0.00038774326	2.3342059	1.5665735	0.06279279	0.14843343	0.0053054723	0.61880946	0.9817362	0.6323723	0.30977085	0.042567767	2.7255645	0.36735123	0.5349867	1
536	541	train	0.041545775	0.0020999757	-0.00060355954	0.24731363	3.1166217	0.17938493	0.12816282	0.2587261	0.29417142	0.056634393	0.50684553	0.5018154	0.0023107668	0.42398828	-0.0039026486	0.01958799	0.83558035	0.052139007	0.43100327	2.9716773	0.7399102	-0.005753846	0.0032978847	0.9863991	0.0014517242	-0.012658353	0.06454984	-0.013293271	0.2144625	0.2815683	0.59171486	0.17445256	1
678	973	train	0.010110432	0.1038463	0.024537152	0.17736046	0.0009988123	4.75477e-05	0.41584355	0.21246351	1.6006424	0.3067262	0.7687259	0.43556985	0.0036957494	0.16149843	0.028254563	0.0819756	0.3998015	-0.0005171968	-0.01673702	0.08330577	0.9564465	-0.0012191067	0.55363065	0.009419701	2.8718474	0.30236062	0.77082163	0.041129623	0.42469966	2.9642859	-0.0078628315	1.2252619	1
591	592	train	0.24808331	1.1216211	0.0016322721	0.4461506	0.09155776	0.14836052	0.27082017	0.6698076	2.9602098	0.42435855	3.4907942	0.14919046	0.13248865	1.4226775	0.6449102	1.1080663	0.78384626	0.17006613	0.18029948	3.1279814	0.134316	0.030345982	0.043972675	-0.0006961651	0.000822395	2.35521	0.29566672	-0.0011253066	0.3451826	-0.0007690932	0.38298836	0.69574976	1
725	1360	train	1.063036	-0.0037039376	0.2509861	0.018144682	0.78331524	1.5467982	0.13575111	0.026663166	1.4641768	0.010354035	1.0107356	0.3114881	1.0894067	0.025833754	0.08963819	0.6126877	-0.009102594	0.58936656	0.013205547	0.21834636	0.22042795	0.6807825	0.59001344	0.16350003	0.46638492	0.01891808	0.14121686	0.045437668	-0.07150231	1.0872617	-0.046116307	1.1116707	1
255	263	train	0.03256797	0.38546124	0.68219596	0.04340925	0.08878885	1.1118721	-0.0023184945	1.2367306	2.1497924	0.057282038	0.48649347	0.09021162	0.99364	0.71492445	0.1230827	1.1311285	0.6427883	0.91168106	0.41411868	1.6717181	1.1484971	0.6340512	0.0704631	0.36823896	0.57230383	0.9490609	1.0662532	0.001945345	0.5218129	0.8304979	1.7563131	0.15732779	1
