mS#id	mS#node	C#degree	C#pagerank	C#closeness	C#betweenness	C#clustering	D#flpa	D#louvain	D#markov	D#sbm	cD#class
0	Aage Rasmus Bjelland Figenschou	0.005634	0.000833	0.111634	0.015735	0.428571	0	4	81	15	1
1	Axel Camillo Eitzen	0.002817	0.000495	0.094749	0.000000	1.000000	0	4	81	15	1
2	Bjørn Johan Sjaastad	0.002817	0.000425	0.110837	0.000000	1.000000	1	4	0	15	1
3	Carl Erik Steen	0.008451	0.001032	0.116587	0.017884	0.515152	2	14	43	23	1
4	Heidi Marie Petersen	0.013380	0.001729	0.127084	0.046849	0.245614	3	4	14	21	2
5	Helene Jebsen Anker	0.019014	0.002571	0.116428	0.040074	0.185185	1	13	0	17	2
6	Ola Røthe	0.004930	0.000920	0.094801	0.002531	0.428571	4	4	81	15	1
7	Siv Jønland Staubo	0.005634	0.000899	0.094959	0.010017	0.428571	0	4	15	15	2
8	Toril Eidesvik	0.006338	0.000987	0.097452	0.002554	0.444444	5	9	82	15	2
9	Ada Merethe Stokstad Kjeseth	0.003521	0.000658	0.069029	0.000000	1.000000	6	5	4	3	2
10	Anita Marie Hjerkinn Aarnæs	0.003521	0.000658	0.069029	0.000000	1.000000	6	5	4	3	2
11	Bjørn Halvor Kise	0.005634	0.001082	0.069141	0.010017	0.464286	6	5	4	3	1
12	Daniel Andreas Skjeldam	0.003521	0.000658	0.069029	0.000000	1.000000	6	5	4	3	1
13	John Einar Høsteland	0.011268	0.001923	0.077790	0.021081	0.233333	6	5	4	3	1
14	Kristin Farstad	0.003521	0.000658	0.069029	0.000000	1.000000	6	5	4	3	2
15	Adine Charlotte Grate Axen	0.003521	0.000568	0.097842	0.000000	1.000000	7	14	44	8	2
16	Anders Brandt	0.003521	0.000568	0.097842	0.000000	1.000000	7	14	44	8	1
17	Anne-Lise Aukner	0.006338	0.000894	0.111634	0.002939	0.444444	7	14	44	8	2
18	Arve Johansen	0.006338	0.000931	0.106795	0.001946	0.444444	7	14	44	8	1
19	Dag Mejdell	0.003521	0.000568	0.097842	0.000000	1.000000	7	14	44	8	1
20	Hilde Lovise Ringereide	0.003521	0.000568	0.097842	0.000000	1.000000	7	14	44	8	2
21	Ådne Kverneland	0.003521	0.000704	0.003521	0.000000	1.000000	8	39	83	16	1
22	Jan Einar Greve	0.003521	0.000704	0.003521	0.000000	1.000000	8	39	83	16	1
