mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	cD#class
1	Aage Rasmus Bjelland Figenschou	8	58	16	12	113	232	263	0	0	142	174	48	0	0	8	1
2	Axel Camillo Eitzen	4	16	0	6	66	0	0	0	0	25	48	0	0	0	4	1
3	Bjørn Johan Sjaastad	4	50	0	6	105	0	263	0	0	129	150	0	0	0	4	1
4	Carl Erik Steen	12	52	32	34	112	376	263	0	0	122	196	160	0	0	60	1
5	Heidi Marie Petersen	19	96	129	42	144	1312	372	376	0	194	374	520	21	25	48	2
6	Helene Jebsen Anker	27	49	286	65	131	1073	85	1515	0	109	201	1301	0	3	106	2
7	Ola Røthe	7	13	12	9	66	39	0	0	0	22	39	30	0	0	5	1
8	Siv Jønland Staubo	8	26	16	12	52	104	15	0	0	38	60	48	9	0	8	2
9	Toril Eidesvik	9	17	20	16	73	79	0	0	0	30	57	70	0	0	14	2
10	Ada Merethe Stokstad Kjeseth	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	2
11	Anita Marie Hjerkinn Aarnæs	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	2
12	Bjørn Halvor Kise	8	13	15	13	18	43	37	0	0	19	48	45	0	0	11	1
13	Daniel Andreas Skjeldam	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	1
14	John Einar Høsteland	16	19	92	28	20	225	12	221	0	22	54	308	3	9	22	1
15	Kristin Farstad	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	2
16	Adine Charlotte Grate Axen	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	2
17	Anders Brandt	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	1
18	Anne-Lise Aukner	9	35	20	16	92	171	98	0	0	97	109	70	0	0	14	2
19	Arve Johansen	9	16	20	16	65	76	0	0	0	40	52	70	0	0	14	1
20	Dag Mejdell	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	1
21	Hilde Lovise Ringereide	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	2
22	Ådne Kverneland	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	1
23	Jan Einar Greve	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	1
24	Lars Gustaf Ander	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	1
25	Lena Kristina Samuelsson	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	2
26	Rolv Erik Ryssdal	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	1
27	Ruth Elisabeth Ropstad	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	2
28	Åge Jan Danielsen	3	4	0	3	28	0	0	0	0	6	8	0	0	0	1	1
29	Grethe Høiland	7	28	12	9	108	84	132	0	0	70	84	30	0	0	5	2
30	Ingebrigt Steen Jensen	3	4	0	3	28	0	0	0	0	6	8	0	0	0	1	1
31	Randi Helene Røed	3	4	0	3	28	0	0	0	0	6	8	0	0	0	1	2
32	Åge Thoresen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
33	Alvhild Hedstein	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	2
34	Bente Lie Nilsen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	2
35	Cato Andreas Holmsen	13	22	36	42	46	178	63	0	0	40	86	198	0	0	88	1
36	Hilde Vatne	13	8	36	42	18	52	0	0	0	12	44	198	0	0	88	2
37	Jan Magne Borgen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
38	Jon Reidar Gundersen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
39	Knut Hartvig Johannson	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
40	Sverre Leiro	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
41	Sverre Lorentzen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
42	Agnar Gravdal	7	9	6	15	12	12	0	0	0	16	42	9	0	12	14	1
43	Anette Sofie Olsen	12	4	41	25	12	32	0	30	0	6	12	154	0	12	24	2
44	Cecilie Blydt Heuch	5	11	0	10	12	0	10	0	0	13	32	0	6	0	10	2
45	Jan Peter Valheim	7	9	6	15	12	12	0	0	0	16	42	9	0	12	14	1
46	Øivin Fjeldstad	5	11	0	10	12	0	10	0	0	13	32	0	6	0	10	1
47	Per Oscar Lund	4	18	0	6	12	0	15	0	0	25	36	0	9	0	4	1
48	Stephen Knudtzon	5	11	0	10	12	0	10	0	0	13	32	0	6	0	10	1
49	Agnes Beathe Lindeman Steen Fosse	5	17	0	10	30	0	0	0	0	48	68	0	0	0	10	2
50	Bengt Olof Thuresson	5	17	0	10	30	0	0	0	0	48	68	0	0	0	10	1
51	Ingvild Huseby	5	17	0	10	30	0	0	0	0	48	68	0	0	0	10	2
52	Nils Kloumann Selte	9	25	20	16	53	112	57	0	0	51	88	70	0	0	14	1
53	Pål Hvammen	9	13	20	16	30	52	0	0	0	42	52	70	0	0	14	1
54	Peter Arne Ruzicka	14	26	45	46	73	162	65	0	0	44	176	270	0	0	94	1
55	Alexander Sunde	3	4	0	3	18	0	0	0	0	6	8	0	0	0	1	1
56	Bjørn Petter Paulsen	3	4	0	3	18	0	0	0	0	6	8	0	0	0	1	1
57	Morten Garmann	7	18	12	9	35	54	123	0	0	30	54	30	0	0	5	1
58	Olav Nils Sunde	3	4	0	3	18	0	0	0	0	6	8	0	0	0	1	1
59	Alexander Vicefield	6	28	0	15	133	0	112	0	0	45	130	0	5	0	20	1
60	Anil Gajanan Deshpande	6	28	0	15	133	0	112	0	0	45	130	0	5	0	20	1
61	Geir Tore Hjelle	6	28	0	15	133	0	112	0	0	45	130	0	5	0	20	1
62	Marianne Lie	19	57	129	42	113	727	146	376	0	87	245	520	27	25	48	2
63	Philippa Dale Wright	6	28	0	15	133	0	112	0	0	45	130	0	5	0	20	2
64	Riulf Karsten Rustad	8	26	12	16	133	52	112	0	0	44	120	36	5	0	20	1
65	Alexandra Bech Gjørv	5	37	0	10	53	0	131	0	0	105	148	0	0	0	10	2
66	Åse Aulie Michelet	23	52	191	62	87	913	78	685	0	118	231	978	0	0	108	2
67	Eivind Kristofer Reiten	13	35	40	38	51	262	131	0	0	92	158	220	0	0	66	1
68	Finn Johnsson	5	37	0	10	53	0	131	0	0	105	148	0	0	0	10	1
69	Helge Evju	5	37	0	10	53	0	131	0	0	105	148	0	0	0	10	1
70	Liv Gisele Marchand	16	40	85	35	51	434	101	150	0	108	166	370	0	0	40	2
71	Alf Boy Asheim	3	3	0	3	5	0	0	0	0	3	6	0	0	0	1	1
72	Anne-Marie Erdal	3	3	0	3	5	0	0	0	0	3	6	0	0	0	1	2
73	Erik Gjellestad	3	3	0	3	5	0	0	0	0	3	6	0	0	0	1	1
74	Eva Christina Eriksson	6	5	9	6	16	15	0	0	0	10	10	18	0	0	2	2
75	Alf Christian Thorkildsen	4	12	0	6	29	0	35	0	0	31	36	0	0	0	4	1
76	John-Steinar Kvitvang	4	12	0	6	29	0	35	0	0	31	36	0	0	0	4	1
77	Merete Alnes Mostue	4	12	0	6	29	0	35	0	0	31	36	0	0	0	4	2
78	Merete Haugli	16	29	83	37	102	270	68	140	0	47	147	366	9	10	44	2
79	Sturla Sand	4	12	0	6	29	0	35	0	0	31	36	0	0	0	4	1
80	Alf Georg Aarthun	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	1
81	Idar Jan Ekeland	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	1
82	Jiangang Xu	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	1
83	Siv Grete Lea	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	2
84	Zhong Bei	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	2
85	Alf Gerald Engstrøm	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	1
86	Antti Mikael Auno	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	1
87	Benedicte Tostrup	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	2
88	Dorthe Lie	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	2
89	Olav Madsen	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	1
90	Alfons Louis Jozef Brusselmans	4	25	0	6	30	0	71	0	0	85	57	0	9	0	4	1
91	Arne Møgster	4	25	0	6	30	0	71	0	0	85	57	0	9	0	4	1
92	Britt Kathrine Drivenes	13	11	27	51	34	12	8	0	0	19	120	135	0	27	124	2
93	Hege Charlotte Bakken	4	25	0	6	30	0	71	0	0	85	57	0	9	0	4	2
94	Helge Singelstad	20	26	126	64	21	378	0	293	0	60	102	675	7	39	133	1
95	Alfred Ydstebø	6	22	0	15	50	0	39	0	0	40	108	0	1	0	20	1
96	Ellen Susanne Math Henrichsen	6	22	0	15	50	0	39	0	0	40	108	0	1	0	20	2
