mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
1	Aage Rasmus Bjelland Figenschou	0.61386746	-0.17416331	0.24197404	0.25575468	-0.5121932	-0.86939186	0.82318646	-0.9808007	-0.3396344	-0.40627542	0.03504118	0.03147973	-1.1626691	-1.0852417	-0.47145346	0.07806313	-0.36967462	-0.54290235	-0.78797805	0.96186596	0.26048404	0.77837425	0.66930705	-1.2869245	0.16767822	-1.032571	-0.37128764	0.46910042	-0.07853933	-0.4801793	-0.7757648	0.21951517	1
2	Axel Camillo Eitzen	0.5044133	-0.1599482	0.10601267	0.46672198	-0.7591959	-0.94837976	0.8935574	-1.4331878	-0.30696866	-0.36107236	-0.11466618	0.37845576	-0.954853	-1.2245218	-0.44226527	-0.21650244	-0.8002186	-0.29564625	-0.9432023	0.96299314	0.72563857	0.8898102	0.32037666	-1.352877	-0.041170076	-1.164434	-0.31515083	0.49028546	-0.52307266	-0.36323315	-0.7065941	0.21451743	1
3	Bjørn Johan Sjaastad	0.5668331	-0.31994423	0.24249148	0.25334167	-0.5278273	-1.0243646	0.6737046	-0.53360575	-0.40378967	-0.27460295	0.21941335	-0.3295395	-1.1076692	-0.91852266	-0.32996348	0.26445177	0.06141141	-0.61039126	-0.82466775	0.819749	-0.031181661	0.80368614	0.60501814	-1.3248974	0.36773333	-1.0123826	-0.552936	0.3309665	-0.0032715662	-0.3605796	-0.8687189	0.4832856	1
4	Carl Erik Steen	0.38867646	-0.61030585	-0.083689824	0.1709194	-0.83046323	-0.89551955	0.52948976	-0.4721302	-0.16650009	-0.2939889	0.16705799	-0.7779996	-1.4729213	-0.64869297	-0.33806726	0.36841747	-0.108122304	-0.5410836	-0.6918548	0.9597159	-0.10732298	1.1918671	0.8365619	-1.3660985	0.2195627	-0.5830032	-0.5271504	0.45640346	0.093426675	-0.509915	-0.38816887	0.2053015	1
5	Heidi Marie Petersen	0.791718	-0.17884192	0.6391282	0.14733955	-0.30295724	-0.5962116	0.6587514	0.0079587735	-0.21771722	-0.14033286	0.4731906	-0.2775835	-0.99923617	-1.020179	0.0939769	0.43094057	0.13606822	-0.3713319	-0.71944547	0.77946126	0.41669625	0.7751632	0.7551807	-0.99695987	0.7653405	-1.0677549	-0.56696683	-0.3077763	0.2535176	-0.43684092	-0.73499614	0.8432274	2
6	Helene Jebsen Anker	0.3870517	-0.06821845	0.06717766	0.114884354	-0.058596715	-1.6166313	0.28328258	-0.2190253	-0.94935995	-0.15271325	-0.18774351	-0.15608624	-1.11741	-0.761581	-0.31513846	0.038891528	0.25239244	-0.22369514	-0.76545435	0.9532013	-0.36347747	0.6478051	0.77565175	-1.1996372	-0.10719313	-0.905675	-1.215078	0.57814896	0.2220624	-0.3485327	-1.3386583	0.37637314	2
7	Ola Røthe	0.51929295	-0.27797467	-0.015017574	0.5973679	-0.7894996	-1.1383702	1.0334139	-1.567142	-0.27360028	-0.22111745	-0.0980291	0.24223699	-1.1531535	-1.1783209	-0.55308497	-0.46920356	-0.36625552	-0.22787501	-1.047668	0.84725577	1.0603509	0.6261688	0.19984916	-1.0856487	-0.14247927	-1.3061464	-0.062270783	0.36904272	-0.67664707	-0.40220395	-0.53721637	0.28618297	1
8	Siv Jønland Staubo	0.71643764	-0.15697648	0.109936774	0.57220274	-0.52851963	-0.90423787	0.7596647	-1.7229143	-0.4135864	-0.14964113	-0.20078214	0.27908364	-0.792849	-1.41611	-0.863265	-0.043562055	-0.90772134	-0.4720305	-0.75098187	0.6461034	0.6274726	0.9595681	0.15759169	-1.1378906	-0.10143884	-0.9415698	0.003935596	0.4526934	-0.36973512	-0.7444196	-0.82299346	0.03764307	2
9	Toril Eidesvik	0.39215845	-0.069515325	0.26808843	0.78927195	-0.87181616	-0.6489649	1.0027612	-1.3200028	-0.359518	-0.29728186	-0.31093538	0.3136947	-0.67277247	-1.0228903	-0.29781908	-0.22573148	-1.2408676	-0.20766608	-0.77893215	0.87849617	1.1542076	0.631857	0.6464956	-1.4476433	0.030242562	-1.018444	-0.41144484	0.47714147	-0.49908766	-0.25747398	-0.79257566	-0.21329734	2
10	Ada Merethe Stokstad Kjeseth	0.37739345	-1.580781	0.64603275	1.3697766	-0.59328556	-0.3027025	1.1250663	-0.35341722	-0.015656	0.77862585	-0.57754445	-0.7242539	0.539559	0.92511904	-0.45909765	0.009073561	-0.28380284	0.8950051	-0.43663922	1.008725	1.5133768	0.62042975	-1.4699914	0.021322003	-0.60122275	-0.61056185	-0.35924774	-0.92038846	-0.39123803	-0.9373183	-0.40485194	0.8006627	2
11	Anita Marie Hjerkinn Aarnæs	0.31762126	-1.5360659	0.5782716	1.4330274	-0.61471266	-0.32882258	1.0838078	-0.4301667	-0.033187315	0.7199951	-0.63823414	-0.69683176	0.56524485	0.8824473	-0.4174075	0.03903666	-0.20720768	0.7992045	-0.38915682	1.0096936	1.5412357	0.66109073	-1.4499959	0.017239403	-0.6212823	-0.71659815	-0.41144407	-0.9321984	-0.3327357	-0.960225	-0.40944687	0.81201065	2
12	Bjørn Halvor Kise	0.15002246	-1.4949477	0.42074522	1.2486874	-0.5901632	-0.24117473	0.89267385	-0.15554893	-0.5501995	0.68692136	-0.7019691	-0.5869094	0.4418615	0.8913484	-0.47224694	-0.09110127	-0.098787434	0.60048	-0.19004938	1.1357316	1.3782905	0.4818009	-1.4893192	-0.12562954	-0.6113457	-0.5890164	-0.53690916	-0.97529536	-0.69798625	-0.8346718	-0.37264717	1.1700717	1
