mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	cD#class
0	Aage Rasmus Bjelland Figenschou	8	58	16	12	113	232	263	0	0	142	174	48	0	0	8	1
1	Axel Camillo Eitzen	4	16	0	6	66	0	0	0	0	25	48	0	0	0	4	1
2	Bjørn Johan Sjaastad	4	50	0	6	105	0	263	0	0	129	150	0	0	0	4	1
3	Carl Erik Steen	12	52	32	34	112	376	263	0	0	122	196	160	0	0	60	1
4	Heidi Marie Petersen	19	96	129	42	144	1312	372	376	0	194	374	520	21	25	48	2
5	Helene Jebsen Anker	27	49	286	65	131	1073	85	1515	0	109	201	1301	0	3	106	2
6	Ola Røthe	7	13	12	9	66	39	0	0	0	22	39	30	0	0	5	1
7	Siv Jønland Staubo	8	26	16	12	52	104	15	0	0	38	60	48	9	0	8	2
8	Toril Eidesvik	9	17	20	16	73	79	0	0	0	30	57	70	0	0	14	2
9	Ada Merethe Stokstad Kjeseth	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	2
10	Anita Marie Hjerkinn Aarnæs	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	2
11	Bjørn Halvor Kise	8	13	15	13	18	43	37	0	0	19	48	45	0	0	11	1
12	Daniel Andreas Skjeldam	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	1
13	John Einar Høsteland	16	19	92	28	20	225	12	221	0	22	54	308	3	9	22	1
14	Kristin Farstad	5	14	0	10	18	0	37	0	0	21	56	0	0	0	10	2
15	Adine Charlotte Grate Axen	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	2
16	Anders Brandt	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	1
17	Anne-Lise Aukner	9	35	20	16	92	171	98	0	0	97	109	70	0	0	14	2
18	Arve Johansen	9	16	20	16	65	76	0	0	0	40	52	70	0	0	14	1
19	Dag Mejdell	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	1
20	Hilde Lovise Ringereide	5	8	0	10	43	0	0	0	0	12	32	0	0	0	10	2
21	Ådne Kverneland	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	1
22	Jan Einar Greve	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	1
23	Lars Gustaf Ander	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	1
24	Lena Kristina Samuelsson	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	2
25	Rolv Erik Ryssdal	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	1
26	Ruth Elisabeth Ropstad	5	0	0	10	0	0	0	0	0	0	0	0	0	0	10	2
27	Åge Jan Danielsen	3	4	0	3	28	0	0	0	0	6	8	0	0	0	1	1
28	Grethe Høiland	7	28	12	9	108	84	132	0	0	70	84	30	0	0	5	2
29	Ingebrigt Steen Jensen	3	4	0	3	28	0	0	0	0	6	8	0	0	0	1	1
30	Randi Helene Røed	3	4	0	3	28	0	0	0	0	6	8	0	0	0	1	2
31	Åge Thoresen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
32	Alvhild Hedstein	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	2
33	Bente Lie Nilsen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	2
34	Cato Andreas Holmsen	13	22	36	42	46	178	63	0	0	40	86	198	0	0	88	1
35	Hilde Vatne	13	8	36	42	18	52	0	0	0	12	44	198	0	0	88	2
36	Jan Magne Borgen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
37	Jon Reidar Gundersen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
38	Knut Hartvig Johannson	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
39	Sverre Leiro	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
40	Sverre Lorentzen	9	8	0	36	22	0	0	0	0	12	64	0	0	0	84	1
41	Agnar Gravdal	7	9	6	15	12	12	0	0	0	16	42	9	0	12	14	1
42	Anette Sofie Olsen	12	4	41	25	12	32	0	30	0	6	12	154	0	12	24	2
43	Cecilie Blydt Heuch	5	11	0	10	12	0	10	0	0	13	32	0	6	0	10	2
44	Jan Peter Valheim	7	9	6	15	12	12	0	0	0	16	42	9	0	12	14	1
45	Øivin Fjeldstad	5	11	0	10	12	0	10	0	0	13	32	0	6	0	10	1
46	Per Oscar Lund	4	18	0	6	12	0	15	0	0	25	36	0	9	0	4	1
47	Stephen Knudtzon	5	11	0	10	12	0	10	0	0	13	32	0	6	0	10	1
48	Agnes Beathe Lindeman Steen Fosse	5	17	0	10	30	0	0	0	0	48	68	0	0	0	10	2
49	Bengt Olof Thuresson	5	17	0	10	30	0	0	0	0	48	68	0	0	0	10	1
50	Ingvild Huseby	5	17	0	10	30	0	0	0	0	48	68	0	0	0	10	2
51	Nils Kloumann Selte	9	25	20	16	53	112	57	0	0	51	88	70	0	0	14	1
52	Pål Hvammen	9	13	20	16	30	52	0	0	0	42	52	70	0	0	14	1
53	Peter Arne Ruzicka	14	26	45	46	73	162	65	0	0	44	176	270	0	0	94	1
54	Alexander Sunde	3	4	0	3	18	0	0	0	0	6	8	0	0	0	1	1
55	Bjørn Petter Paulsen	3	4	0	3	18	0	0	0	0	6	8	0	0	0	1	1
56	Morten Garmann	7	18	12	9	35	54	123	0	0	30	54	30	0	0	5	1
57	Olav Nils Sunde	3	4	0	3	18	0	0	0	0	6	8	0	0	0	1	1
58	Alexander Vicefield	6	28	0	15	133	0	112	0	0	45	130	0	5	0	20	1
59	Anil Gajanan Deshpande	6	28	0	15	133	0	112	0	0	45	130	0	5	0	20	1
