mS#id1	mS#id2	mD#data	C#preferential	C#jaccard	C#adamic_adar	C#distance	D#flpa	D#louvain	D#markov	D#sbm	cD#class
659	1063	train	5270	0.0037914691943127963	0.704781662583299	2	1	1	1	0	1
650	652	train	182	0.1	0.4732791515205099	2	1	1	1	0	1
316	639	train	6210	0.0019249278152069298	0.3841201564438805	2	1	0	1	0	1
128	812	train	1960	0.011111111111111112	0.267546386419054	2	0	0	1	0	1
402	609	train	224	0.05263157894736842	0.4329941595671745	2	1	1	1	0	1
606	706	train	70	0.1875	0.4329941595671745	2	1	1	0	0	1
4	593	train	4880	0.003067484662576687	0.787076740741437	2	1	1	1	0	1
68	593	train	21472	0.015259409969481181	3.871385659506636	2	0	0	1	0	1
639	1212	train	7245	0.0048216007714561235	1.0266923762732254	2	1	0	1	0	1
659	1448	train	8432	0.005681818181818182	2.1527211365012966	2	1	0	1	0	1
874	897	train	140	0.2857142857142857	1.4805901846042244	2	1	1	1	0	1
6	189	train	588	0.0425531914893617	0.7202941494059261	2	1	1	1	0	1
408	659	train	6324	0.002838221381267739	0.7236176585080397	2	1	0	0	0	1
79	181	train	24	0.1111111111111111	0.24842549839846914	2	1	0	1	1	1
20	128	train	2408	0.16470588235294117	3.666979817034176	2	1	1	1	0	1
1384	1410	train	35	0.2	0.4509751306137902	2	1	1	1	1	1
306	363	train	700	0.12244897959183673	1.5364937534074476	2	1	1	1	0	1
565	593	train	2928	0.0010224948875255625	0.14367098296238656	2	1	1	1	0	1
12	111	train	182	0.13793103448275862	1.1543416800116562	2	1	1	0	0	1
659	664	train	2108	0.0	0	3	1	0	1	0	1
530	659	train	5270	0.0037914691943127963	1.449501301415335	2	1	0	1	0	1
1187	1338	train	205	0.022222222222222223	0.35295612386476116	2	1	0	1	0	1
595	639	train	6210	0.004826254826254826	1.082100104814504	2	1	0	1	0	1
62	593	train	8784	0.004077471967380225	1.2604314642998138	2	0	0	1	0	1
110	331	train	544	0.0410958904109589	1.021959529127339	2	0	0	1	0	1
639	1185	train	5175	0.0019267822736030828	0.4322099911401792	2	1	0	1	0	1
659	1137	train	11594	0.0056657223796034	2.2150505997315237	2	1	0	1	0	1
101	163	train	424	0.05172413793103448	0.7686167841090297	2	0	1	1	0	1
203	648	train	65	0.0	0	3	1	0	1	0	1
352	659	train	18972	0.008466603951081843	2.326698785934088	2	0	0	1	0	1
54	347	train	1050	0.14516129032258066	2.279086627814583	2	1	1	1	0	1
156	192	train	363	0.047619047619047616	0.607029304930548	2	1	1	1	0	1
114	593	train	3904	0.002044989775051125	0.347842626144759	2	1	0	1	0	1
461	593	train	4880	0.003067484662576687	0.7452694578589116	2	1	0	1	0	1
322	331	train	112	0.4666666666666667	1.7688721901240783	2	1	1	1	1	1
1066	1305	train	235	0.0196078431372549	0.14404745418365533	2	1	1	1	0	1
494	659	train	6324	0.002838221381267739	0.6422793004695491	2	1	0	1	0	1
37	366	train	931	0.046153846153846156	0.7055245524655419	2	1	1	1	0	1
482	659	train	5270	0.0037914691943127963	0.884568667135228	2	1	0	1	0	1
966	968	train	96	0.15789473684210525	0.5176162087500848	2	1	1	1	0	1
561	980	train	536	0.0072992700729927005	0.14527572242113262	2	1	0	1	0	1
659	1112	train	3162	0.0018957345971563982	0.28932317660478796	2	1	1	1	0	1
58	128	train	2464	0.35135135135135137	7.767896111597276	2	1	1	1	0	1
