mS#id	mS#node	C#degree	C#pagerank	C#closeness	C#betweenness	C#clustering	D#louvain	D#infomap	cD#class
1	java.applet.Applet	0.036964	0.001939	0.493807	0.002198	0.207407	2	2	1
2	java.applet.AppletContext	0.007921	0.000588	0.476415	0.000199	0.400000	6	5	1
3	java.applet.AppletStub	0.003300	0.000300	0.472110	0.000000	0.900000	6	5	1
4	java.applet.AudioClip	0.001980	0.000212	0.331220	0.000000	1.000000	6	5	1
5	java.awt.AWTError	0.004620	0.000375	0.477316	0.000000	0.952381	1	1	2
6	java.awt.AWTEvent	0.045545	0.002501	0.494129	0.002075	0.158568	2	2	2
7	java.awt.AWTEventMulticaster	0.023102	0.001385	0.486513	0.001827	0.191597	2	2	2
8	java.awt.AWTException	0.004620	0.000372	0.477617	0.000000	0.952381	1	1	2
9	java.awt.AWTKeyStroke	0.003960	0.000348	0.477466	0.000001	0.800000	0	0	2
10	java.awt.AWTPermission	0.003960	0.000350	0.476865	0.000000	1.000000	0	11	2
11	java.awt.ActiveEvent	0.001980	0.000257	0.324550	0.000001	0.000000	0	42	2
12	java.awt.Adjustable	0.003960	0.000322	0.332529	0.000005	0.200000	2	39	2
13	java.awt.AlphaComposite	0.004620	0.000398	0.479734	0.000697	0.571429	5	3	2
14	java.awt.AttributeValue	0.001980	0.000221	0.476415	0.000000	1.000000	0	0	2
15	java.awt.BasicStroke	0.003300	0.000320	0.477165	0.000643	0.400000	5	3	2
16	java.awt.BorderLayout	0.005281	0.000386	0.481411	0.000001	0.857143	2	2	2
17	java.awt.BufferCapabilities	0.020462	0.001031	0.485266	0.000527	0.260215	2	2	2
18	java.awt.Button	0.029703	0.001477	0.491883	0.000837	0.230303	2	2	2
19	java.awt.Canvas	0.030363	0.001505	0.492043	0.000707	0.229952	2	2	2
20	java.awt.CardLayout	0.005281	0.000386	0.481411	0.000001	0.857143	2	2	2
21	java.awt.Checkbox	0.031683	0.001607	0.492523	0.001215	0.213691	2	2	2
22	java.awt.CheckboxGroup	0.004620	0.000345	0.479582	0.000002	0.600000	0	0	2
23	java.awt.CheckboxMenuItem	0.008581	0.000587	0.480800	0.000760	0.384615	2	2	2
24	java.awt.Choice	0.030363	0.001523	0.492363	0.001193	0.220290	2	2	2
25	java.awt.Color	0.036964	0.001837	0.492843	0.000927	0.246753	2	2	2
26	java.awt.ColorPaintContext	0.003960	0.000326	0.479279	0.000089	0.800000	5	3	2
27	java.awt.Component	0.079868	0.004116	0.506012	0.004789	0.230053	2	2	2
28	java.awt.ComponentOrientation	0.016502	0.000866	0.485888	0.000010	0.460000	2	2	2
29	java.awt.Composite	0.003300	0.000306	0.336218	0.000013	0.400000	5	3	2
30	java.awt.CompositeContext	0.002640	0.000273	0.327214	0.000001	0.333333	5	3	2
31	java.awt.Container	0.052805	0.002704	0.499176	0.002383	0.356118	2	2	2
32	java.awt.ContainerOrderFocusTraversalPolicy	0.005941	0.000421	0.482024	0.000001	0.833333	2	2	2
33	java.awt.Cursor	0.018482	0.000975	0.487138	0.000263	0.396825	2	2	2
34	java.awt.DefaultFocusTraversalPolicy	0.004620	0.000347	0.481564	0.000000	1.000000	2	2	2
35	java.awt.DefaultKeyboardFocusManager	0.009901	0.000685	0.483716	0.001054	0.514286	2	37	2
36	java.awt.Desktop	0.003300	0.000312	0.477316	0.000000	1.000000	4	24	2
37	java.awt.Dialog	0.040924	0.002025	0.495260	0.001550	0.268641	2	2	2
38	java.awt.Dimension	0.037624	0.001998	0.492363	0.002012	0.214912	2	2	2
39	java.awt.DisplayMode	0.002640	0.000262	0.476565	0.000000	1.000000	0	0	2
40	java.awt.Event	0.021122	0.001119	0.487452	0.000163	0.429435	2	2	2
41	java.awt.EventDispatchThread	0.005281	0.000426	0.477617	0.000002	0.750000	3	22	2
42	java.awt.EventFilter	0.001320	0.000186	0.330858	0.000000	1.000000	2	47	2
43	java.awt.EventQueue	0.003960	0.000328	0.479734	0.000106	0.600000	3	0	2
44	java.awt.EventQueueItem	0.001980	0.000221	0.476415	0.000000	1.000000	0	0	2
45	java.awt.FileDialog	0.038944	0.001959	0.494775	0.001467	0.250731	2	2	2
46	java.awt.FlowLayout	0.005281	0.000379	0.481411	0.000003	0.821429	2	2	2
47	java.awt.FocusManager	0.002640	0.000259	0.476715	0.000000	0.833333	0	0	2
48	java.awt.FocusTraversalPolicy	0.011221	0.000653	0.483716	0.000005	0.676190	2	2	2
49	java.awt.Font	0.049505	0.002791	0.496884	0.004897	0.185117	2	2	2
50	java.awt.FontFormatException	0.004620	0.000372	0.477617	0.000000	0.952381	1	1	2
51	java.awt.FontMetrics	0.033663	0.001652	0.492203	0.000600	0.275102	2	2	2
52	java.awt.Frame	0.040924	0.002039	0.494936	0.001611	0.249153	2	2	2
53	java.awt.GradientPaint	0.007921	0.000525	0.480952	0.000203	0.666667	5	3	2
54	java.awt.GradientPaintContext	0.005941	0.000424	0.480038	0.000091	0.694444	5	3	2
55	java.awt.Graphics	0.040264	0.002011	0.494129	0.001211	0.310929	2	2	2
56	java.awt.Graphics2D	0.023102	0.001394	0.486513	0.001439	0.276292	5	3	2
57	java.awt.GraphicsCallback	0.004620	0.000344	0.481564	0.000051	0.809524	2	2	2
58	java.awt.GraphicsConfigTemplate	0.003960	0.000328	0.478220	0.000001	0.800000	0	0	2
59	java.awt.GraphicsConfiguration	0.036964	0.001792	0.492683	0.000578	0.345428	2	2	2
60	java.awt.GraphicsDevice	0.007261	0.000538	0.481564	0.000006	0.577778	0	2	2
61	java.awt.GraphicsEnvironment	0.006601	0.000456	0.481870	0.000005	0.666667	2	2	2
62	java.awt.GridBagConstraints	0.004620	0.000368	0.478069	0.000016	0.666667	0	0	2
63	java.awt.GridBagLayout	0.006601	0.000460	0.482330	0.000004	0.755556	2	2	2
64	java.awt.GridBagLayoutInfo	0.002640	0.000259	0.476715	0.000000	0.833333	0	0	2
65	java.awt.GridLayout	0.005281	0.000379	0.481411	0.000003	0.821429	2	2	2
66	java.awt.HeadlessException	0.004620	0.000377	0.477316	0.000000	0.952381	1	1	2
67	java.awt.IllegalComponentStateException	0.004620	0.000374	0.477316	0.000000	0.952381	1	1	2
68	java.awt.Image	0.044884	0.002330	0.494936	0.002181	0.248485	2	2	2
69	java.awt.ImageCapabilities	0.018482	0.000940	0.487138	0.000049	0.500000	2	2	2
70	java.awt.ImageMediaEntry	0.004620	0.000371	0.479127	0.000038	0.571429	0	0	2
71	java.awt.Insets	0.015182	0.000865	0.485266	0.000903	0.324111	2	2	2
72	java.awt.ItemSelectable	0.003960	0.000304	0.332237	0.000001	0.333333	2	2	2
73	java.awt.JobAttributes	0.003300	0.000287	0.478976	0.000016	0.600000	5	0	2
74	java.awt.KeyEventDispatcher	0.001980	0.000218	0.327073	0.000000	1.000000	2	37	2
75	java.awt.KeyEventPostProcessor	0.001980	0.000218	0.327073	0.000000	1.000000	2	37	2
76	java.awt.KeyboardFocusManager	0.009901	0.000685	0.483716	0.001054	0.514286	2	37	2
77	java.awt.Label	0.029043	0.001441	0.491723	0.000695	0.239958	2	2	2
78	java.awt.LayoutManager	0.009901	0.000575	0.475817	0.000006	0.582418	2	2	2
79	java.awt.LayoutManager2	0.005941	0.000421	0.480495	0.000003	0.805556	2	2	2
80	java.awt.LightweightDispatcher	0.003960	0.000339	0.478673	0.000293	0.600000	0	0	2
81	java.awt.LinearGradientPaint	0.007261	0.000498	0.480800	0.000092	0.672727	5	3	2
82	java.awt.LinearGradientPaintContext	0.003960	0.000333	0.479279	0.000000	1.000000	5	3	2
83	java.awt.List	0.031023	0.001559	0.492523	0.001336	0.211841	2	2	2
84	java.awt.MediaEntry	0.002640	0.000266	0.476715	0.000000	1.000000	0	0	2
85	java.awt.MediaTracker	0.003960	0.000317	0.481105	0.000000	0.866667	0	0	2
86	java.awt.Menu	0.009901	0.000660	0.480800	0.000945	0.600000	2	2	2
87	java.awt.MenuBar	0.009901	0.000633	0.483254	0.000288	0.571429	2	2	2
88	java.awt.MenuComponent	0.021782	0.001140	0.487766	0.000321	0.479839	2	2	2
89	java.awt.MenuContainer	0.007261	0.000454	0.340220	0.000003	0.711111	2	2	2
90	java.awt.MenuItem	0.011221	0.000742	0.481411	0.000395	0.566176	2	2	2
91	java.awt.MenuShortcut	0.005941	0.000437	0.478371	0.000002	0.722222	2	2	2
92	java.awt.ModalEventFilter	0.003300	0.000330	0.478220	0.000592	0.700000	2	47	2
93	java.awt.MouseInfo	0.002640	0.000270	0.476565	0.000000	1.000000	0	0	2
94	java.awt.MultipleGradientPaint	0.007921	0.000539	0.480952	0.000203	0.696970	5	3	2
95	java.awt.MultipleGradientPaintContext	0.005281	0.000421	0.479582	0.000090	0.785714	5	3	2
96	java.awt.MutableBoolean	0.001980	0.000221	0.476415	0.000000	1.000000	0	0	2
97	java.awt.PageAttributes	0.003300	0.000287	0.478976	0.000016	0.600000	5	0	2
98	java.awt.Paint	0.007921	0.000527	0.339078	0.000019	0.515152	5	3	2
99	java.awt.PaintContext	0.009241	0.000630	0.334881	0.000010	0.285714	5	3	2
100	java.awt.Panel	0.032343	0.001602	0.492843	0.000824	0.246599	2	2	2
101	java.awt.PeerFixer	0.003960	0.000347	0.477466	0.000195	0.600000	2	39	2
102	java.awt.Point	0.042244	0.002238	0.494613	0.002410	0.177083	2	2	2
103	java.awt.PointerInfo	0.003960	0.000349	0.478522	0.000001	0.800000	0	0	2
104	java.awt.Polygon	0.008581	0.000562	0.481564	0.000114	0.641026	5	3	2
105	java.awt.PopupMenu	0.022442	0.001176	0.487923	0.000444	0.446970	2	2	2
106	java.awt.PrintGraphics	0.000660	0.000152	0.324272	0.000000	0.000000	2	2	2
107	java.awt.PrintJob	0.004620	0.000436	0.479734	0.001320	0.619048	2	2	2
108	java.awt.Queue	0.001980	0.000221	0.476415	0.000000	1.000000	0	0	2
109	java.awt.RadialGradientPaint	0.007261	0.000498	0.480800	0.000092	0.672727	5	3	2
110	java.awt.RadialGradientPaintContext	0.003960	0.000333	0.479279	0.000000	1.000000	5	3	2
111	java.awt.Rectangle	0.062706	0.003388	0.499341	0.003177	0.171524	2	2	2
112	java.awt.RenderingHints	0.021122	0.001372	0.484180	0.001190	0.203629	5	3	2
113	java.awt.Robot	0.004620	0.000354	0.479886	0.000001	0.809524	0	2	2
114	java.awt.ScrollPane	0.032343	0.001618	0.492843	0.001183	0.205782	2	2	2
115	java.awt.ScrollPaneAdjustable	0.003960	0.000349	0.477617	0.000474	0.400000	2	39	2
116	java.awt.Scrollbar	0.030363	0.001531	0.492363	0.001354	0.220290	2	2	2
117	java.awt.SentEvent	0.003300	0.000324	0.478371	0.000428	0.600000	0	42	2
118	java.awt.SequencedEvent	0.003300	0.000324	0.478371	0.000428	0.600000	0	42	2
119	java.awt.Shape	0.017822	0.001154	0.339458	0.000069	0.280000	5	3	2
120	java.awt.SplashScreen	0.004620	0.000354	0.479734	0.000002	0.809524	6	0	2
121	java.awt.Stroke	0.001980	0.000224	0.328420	0.000000	0.666667	5	3	2
122	java.awt.SystemColor	0.007921	0.000531	0.481105	0.000098	0.636364	5	3	2
123	java.awt.SystemTray	0.003960	0.000321	0.478976	0.000030	0.666667	2	2	2
124	java.awt.TextArea	0.030363	0.001509	0.492203	0.000937	0.262802	2	2	2
125	java.awt.TextComponent	0.031023	0.001537	0.492363	0.000937	0.293247	2	2	2
126	java.awt.TextField	0.031023	0.001545	0.492363	0.001080	0.252544	2	2	2
127	java.awt.TexturePaint	0.007261	0.000496	0.481258	0.000204	0.600000	5	3	2
128	java.awt.TexturePaintContext	0.007261	0.000498	0.481411	0.000093	0.654545	5	3	2
129	java.awt.Toolkit	0.046205	0.002367	0.496559	0.001947	0.294996	2	2	2
130	java.awt.Transparency	0.002640	0.000227	0.334363	0.000001	0.500000	5	3	2
131	java.awt.TrayIcon	0.006601	0.000450	0.480647	0.000187	0.377778	2	2	2
132	java.awt.VKCollection	0.002640	0.000271	0.476565	0.000000	1.000000	0	0	2
133	java.awt.Window	0.045545	0.002386	0.496559	0.002919	0.214835	2	2	2
134	java.awt.color.CMMException	0.004620	0.000373	0.477316	0.000000	0.952381	1	1	3
135	java.awt.color.ColorSpace	0.008581	0.000613	0.480342	0.000008	0.551282	5	3	3
136	java.awt.color.ICC_ColorSpace	0.003300	0.000307	0.476715	0.000000	0.900000	6	0	3
137	java.awt.color.ICC_Profile	0.005941	0.000491	0.477918	0.000003	0.666667	6	5	3
138	java.awt.color.ICC_ProfileGray	0.003960	0.000348	0.477316	0.000000	0.933333	6	5	3
139	java.awt.color.ICC_ProfileRGB	0.003960	0.000348	0.477316	0.000000	0.933333	6	5	3
140	java.awt.color.ProfileDataException	0.004620	0.000373	0.477316	0.000000	0.952381	1	1	3
141	java.awt.datatransfer.Clipboard	0.007261	0.000636	0.480495	0.001222	0.488889	7	19	4
142	java.awt.datatransfer.ClipboardOwner	0.002640	0.000294	0.325456	0.000000	1.000000	7	19	4
143	java.awt.datatransfer.DataFlavor	0.011881	0.000912	0.480190	0.000304	0.301471	7	19	4
144	java.awt.datatransfer.FlavorEvent	0.003960	0.000381	0.477316	0.000616	0.666667	7	19	4
145	java.awt.datatransfer.FlavorListener	0.001980	0.000239	0.329276	0.000005	0.333333	7	19	4
146	java.awt.datatransfer.FlavorMap	0.003300	0.000305	0.335548	0.000005	0.300000	3	19	4
147	java.awt.datatransfer.FlavorTable	0.003960	0.000359	0.471963	0.000112	0.466667	3	19	4
148	java.awt.datatransfer.MimeType	0.005281	0.000460	0.477767	0.000236	0.464286	7	10	4
149	java.awt.datatransfer.MimeTypeParameterList	0.003960	0.000348	0.477165	0.000017	0.533333	7	0	4
150	java.awt.datatransfer.MimeTypeParseException	0.004620	0.000372	0.477617	0.000000	0.952381	1	1	4
151	java.awt.datatransfer.StringSelection	0.004620	0.000421	0.477767	0.000553	0.714286	7	19	4
152	java.awt.datatransfer.SystemFlavorMap	0.005281	0.000443	0.477767	0.000308	0.500000	3	19	4
153	java.awt.datatransfer.Transferable	0.007921	0.000645	0.467881	0.000385	0.327273	7	19	4
154	java.awt.datatransfer.UnsupportedFlavorException	0.005281	0.000415	0.478069	0.000001	0.821429	1	1	4
155	java.awt.dnd.Autoscroll	0.001320	0.000161	0.331292	0.000000	0.000000	2	2	5
156	java.awt.dnd.DnDConstants	0.001980	0.000221	0.476415	0.000000	1.000000	0	0	5
157	java.awt.dnd.DnDEventMulticaster	0.026403	0.001597	0.487295	0.002330	0.167949	2	2	5
158	java.awt.dnd.DragGestureEvent	0.012541	0.000810	0.484645	0.000455	0.431373	2	25	5
159	java.awt.dnd.DragGestureListener	0.003960	0.000316	0.336218	0.000008	0.533333	2	25	5
160	java.awt.dnd.DragGestureRecognizer	0.007921	0.000551	0.482484	0.000238	0.727273	2	25	5
161	java.awt.dnd.DragSource	0.013201	0.000863	0.484490	0.001037	0.450980	2	25	5
162	java.awt.dnd.DragSourceAdapter	0.005281	0.000433	0.477617	0.000387	0.642857	2	25	5
163	java.awt.dnd.DragSourceContext	0.013861	0.000913	0.484180	0.000689	0.485294	2	25	5
164	java.awt.dnd.DragSourceDragEvent	0.007261	0.000534	0.482177	0.000393	0.666667	2	25	5
165	java.awt.dnd.DragSourceDropEvent	0.006601	0.000487	0.482024	0.000152	0.750000	2	25	5
166	java.awt.dnd.DragSourceEvent	0.007921	0.000573	0.482330	0.000155	0.690909	2	25	5
167	java.awt.dnd.DragSourceListener	0.005941	0.000449	0.332529	0.000012	0.416667	2	25	5
168	java.awt.dnd.DragSourceMotionListener	0.003960	0.000331	0.331873	0.000007	0.333333	2	25	5
169	java.awt.dnd.DropTarget	0.022442	0.001340	0.487609	0.002660	0.300403	2	2	5
170	java.awt.dnd.DropTargetAdapter	0.004620	0.000399	0.477316	0.000237	0.809524	7	19	5
171	java.awt.dnd.DropTargetContext	0.007261	0.000546	0.481870	0.000533	0.644444	7	19	5
172	java.awt.dnd.DropTargetDragEvent	0.007921	0.000596	0.480800	0.000265	0.469697	7	19	5
173	java.awt.dnd.DropTargetDropEvent	0.007921	0.000596	0.480800	0.000265	0.469697	7	19	5
174	java.awt.dnd.DropTargetEvent	0.006601	0.000522	0.478371	0.000241	0.711111	7	19	5
175	java.awt.dnd.DropTargetListener	0.003960	0.000347	0.332310	0.000012	0.533333	7	19	5
176	java.awt.dnd.InvalidDnDOperationException	0.004620	0.000374	0.477316	0.000000	0.952381	1	1	5
177	java.awt.dnd.MouseDragGestureRecognizer	0.007261	0.000507	0.482024	0.000313	0.563636	2	25	5
178	java.awt.dnd.SerializationTester	0.001980	0.000221	0.476415	0.000000	1.000000	0	0	5
179	java.awt.dnd.peer.DragSourceContextPeer	0.003960	0.000290	0.335846	0.000000	0.600000	2	2	6
180	java.awt.dnd.peer.DropTargetContextPeer	0.001980	0.000220	0.329062	0.000001	0.333333	7	19	6
181	java.awt.dnd.peer.DropTargetPeer	0.000660	0.000132	0.327851	0.000000	0.000000	2	2	6
182	java.awt.event.AWTEventListener	0.003300	0.000291	0.337492	0.000008	0.300000	2	2	7
183	java.awt.event.AWTEventListenerProxy	0.004620	0.000387	0.482945	0.000472	0.571429	2	2	7
184	java.awt.event.ActionEvent	0.004620	0.000355	0.481564	0.000102	0.714286	2	2	7
185	java.awt.event.ActionListener	0.007921	0.000512	0.337266	0.000023	0.196970	2	2	7
186	java.awt.event.AdjustmentEvent	0.005941	0.000458	0.482024	0.000467	0.555556	2	39	7
187	java.awt.event.AdjustmentListener	0.005281	0.000420	0.335177	0.000022	0.321429	2	39	7
188	java.awt.event.ComponentAdapter	0.003300	0.000287	0.477015	0.000044	0.700000	2	0	7
189	java.awt.event.ComponentEvent	0.009241	0.000615	0.483716	0.000055	0.549451	2	2	7
190	java.awt.event.ComponentListener	0.015842	0.000827	0.342450	0.000039	0.184783	2	2	7
191	java.awt.event.ContainerAdapter	0.003300	0.000294	0.477015	0.000086	0.700000	2	0	7
192	java.awt.event.ContainerEvent	0.006601	0.000467	0.482945	0.000090	0.666667	2	2	7
193	java.awt.event.ContainerListener	0.008581	0.000521	0.339230	0.000018	0.269231	2	2	7
194	java.awt.event.FocusAdapter	0.003300	0.000291	0.477015	0.000044	0.700000	2	0	7
195	java.awt.event.FocusEvent	0.005941	0.000433	0.482638	0.000046	0.722222	2	2	7
196	java.awt.event.FocusListener	0.015842	0.000831	0.342450	0.000039	0.184783	2	2	7
197	java.awt.event.HierarchyBoundsAdapter	0.003300	0.000287	0.477165	0.000044	0.700000	2	0	7
198	java.awt.event.HierarchyBoundsListener	0.015842	0.000827	0.342450	0.000037	0.188406	2	2	7
199	java.awt.event.HierarchyEvent	0.007261	0.000483	0.483408	0.000095	0.618182	2	2	7
200	java.awt.event.HierarchyListener	0.015182	0.000778	0.342373	0.000026	0.201581	2	2	7
201	java.awt.event.InputEvent	0.006601	0.000480	0.481717	0.000003	0.733333	2	25	7
202	java.awt.event.InputMethodEvent	0.006601	0.000460	0.483099	0.000057	0.533333	2	2	7
203	java.awt.event.InputMethodListener	0.015182	0.000780	0.342450	0.000028	0.197628	2	2	7
204	java.awt.event.InvocationEvent	0.005281	0.000449	0.479734	0.000571	0.464286	1	42	7
205	java.awt.event.ItemEvent	0.005281	0.000401	0.481870	0.000378	0.571429	2	2	7
206	java.awt.event.ItemListener	0.005941	0.000413	0.335400	0.000020	0.277778	2	2	7
207	java.awt.event.KeyAdapter	0.003300	0.000292	0.477316	0.000044	0.700000	2	37	7
208	java.awt.event.KeyEvent	0.009241	0.000688	0.483871	0.000916	0.439560	2	37	7
209	java.awt.event.KeyListener	0.015842	0.000832	0.342683	0.000041	0.184783	2	2	7
210	java.awt.event.MouseAdapter	0.005281	0.000385	0.477767	0.000124	0.464286	2	2	7
211	java.awt.event.MouseEvent	0.009241	0.000614	0.484026	0.000091	0.560440	2	2	7
212	java.awt.event.MouseListener	0.017162	0.000896	0.342838	0.000046	0.163077	2	2	7
