mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	cD#class
1	java.applet.Applet	55	5740	1177	308	12815	132402	2410975	15757	14146	10819	127290	5497	10988	4116	865	1
2	java.applet.AppletContext	11	1650	33	22	23173	5969	855548	45	174	7931	9717	59	233	44	17	1
3	java.applet.AppletStub	5	1404	1	9	11840	49	852158	0	2	7123	5395	0	84	3	7	1
4	java.applet.AudioClip	3	68	0	3	11430	0	1062	0	0	320	106	0	15	0	1	1
5	java.awt.AWTError	7	4613	1	20	7860	11	2518154	0	266	11069	14019	0	6558	5	30	2
6	java.awt.AWTEvent	69	4878	1974	372	27802	107291	2266754	35027	12473	11870	183227	10803	8120	5571	993	2
7	java.awt.AWTEventMulticaster	35	4078	481	114	13752	73006	2376923	3973	1837	12789	54342	1514	3815	926	132	2
8	java.awt.AWTException	7	4663	1	20	7952	11	2520110	0	266	10788	13753	0	6841	5	30	2
9	java.awt.AWTKeyStroke	6	3982	3	12	7049	1308	2429736	0	150	12332	10296	2	4003	8	10	2
10	java.awt.AWTPermission	6	3887	0	15	5937	0	2417970	0	0	12350	11591	0	3922	0	20	2
11	java.awt.ActiveEvent	3	15	3	0	11964	6	8	1	12	25	0	0	0	0	0	2
12	java.awt.Adjustable	6	127	12	3	20335	378	1736	11	95	561	61	6	3	3	0	2
13	java.awt.AlphaComposite	7	3933	9	12	7012	7821	2424244	1	26	12661	7879	15	3923	12	7	2
14	java.awt.AttributeValue	3	3827	0	3	5400	0	2428345	0	0	12532	280	0	3687	0	1	2
15	java.awt.BasicStroke	5	3851	6	4	5611	7588	2428516	0	69	12614	302	9	3688	0	1	2
16	java.awt.BorderLayout	8	4193	4	24	9859	2695	2430874	0	169	13858	17070	4	4624	16	36	2
17	java.awt.BufferCapabilities	31	4473	344	121	23712	67263	2393618	2189	4728	13581	46385	1302	5543	805	199	2
18	java.awt.Button	45	5735	762	228	13127	99295	2435018	8031	13962	11036	103049	3087	11036	2499	573	2
19	java.awt.Canvas	46	5743	797	238	12695	96979	2427695	8579	14393	10980	110474	3323	11098	2685	593	2
20	java.awt.CardLayout	8	4193	4	24	9859	2695	2430874	0	169	13858	17070	4	4624	16	36	2
21	java.awt.Checkbox	47	5736	850	231	13069	106939	2431280	9541	14071	11034	106705	3529	11035	2569	576	2
22	java.awt.CheckboxGroup	6	4036	6	9	9586	3981	2433294	2	219	12482	7603	5	4079	8	5	2
23	java.awt.CheckboxMenuItem	13	4010	48	30	9651	19968	2413577	79	237	12797	19458	119	4110	53	35	2
