mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
1	java.applet.Applet	0.024735436	-0.16127351	0.7907716	-0.041326854	0.10167336	0.056445513	0.4723155	0.09855283	0.3056596	0.19796729	0.39152735	-0.7356619	0.58712316	0.15654872	0.17607367	0.32152408	-0.2106277	0.3390887	-0.5267444	-0.32772282	0.3907309	0.7324289	0.6223775	0.7215319	-0.45457178	-0.08138692	-0.4599542	-0.06584318	0.096822366	-0.43088526	0.21433246	0.12785114	1
2	java.applet.AppletContext	0.36491024	-0.011252544	0.3646499	-0.05828049	0.5647383	-0.40485638	0.5194049	0.47737753	-0.21944255	-0.019384623	0.7047639	-1.016937	0.35634667	-0.17835358	0.5519687	0.79837924	-0.62785053	-0.0127351	0.20352145	-0.41516438	0.6222589	0.14054716	0.6471954	0.8100083	-0.6037392	-0.27006665	-0.41377723	-0.07001936	-0.299209	-0.42542753	0.2793289	-0.3209863	1
3	java.applet.AppletStub	0.4453847	-0.06675491	0.31744173	-0.09133788	0.22567739	-0.38207966	0.5682074	0.70523775	-0.16609026	0.3141374	0.667992	-0.4556825	0.80265236	0.033611976	0.10007665	0.8502462	-0.15594912	0.031641275	0.1645342	-0.39490414	0.5154108	0.26409712	0.65166736	0.8257145	-0.7447961	-0.23274995	-0.5488937	-0.08429783	-0.05935136	-0.46060222	0.2962246	-0.16872337	1
4	java.applet.AudioClip	0.33865684	0.23448199	0.72844714	-0.05658179	0.32245287	-0.40307948	0.38862145	0.43565756	0.05529187	-0.11665327	0.9540335	-1.1434493	0.64580446	-0.24440213	0.8563118	0.91450447	-0.52892923	0.38923523	0.05521386	-0.22736229	0.65302306	0.13971832	0.9160314	1.096006	-0.64426595	-0.2937293	-0.5061033	0.013763982	-0.15043092	-0.5279888	0.29169962	-0.18627526	1
5	java.awt.AWTError	0.020732943	0.08219959	-0.046000473	-0.07168457	0.017106604	-0.3114463	0.61993396	0.3032407	-0.18269725	0.15287484	-0.18587969	-0.20108734	-0.02328769	-0.22463156	-0.15939252	-0.12669525	-0.07819646	0.54069835	-0.028971087	0.1393985	0.39431375	-0.007084067	0.51572853	-0.6040739	-0.052573882	0.034242388	-0.520186	0.029421417	-0.05136462	-0.12571512	-0.37989414	0.5959926	2
6	java.awt.AWTEvent	-0.5383511	0.5848977	0.5681102	0.17404829	0.23155133	0.10312738	0.5845096	-0.023607269	-0.40983298	-0.07214106	-0.28669038	-0.80462515	0.041807443	0.091513425	-0.028037803	0.24601117	0.13176581	0.6845561	-0.8131989	-0.29030532	-0.43738985	0.80050856	0.041587725	0.5632516	-0.10510221	0.57148165	-0.18795644	0.2534749	-0.6971127	-0.79686326	0.13550605	0.23024964	2
7	java.awt.AWTEventMulticaster	-0.5454838	0.2217946	0.44290328	0.23193961	-0.5274618	0.02992092	0.061534762	0.17428097	0.021166725	0.25060952	0.6801933	-0.4919708	0.035869382	0.2488799	0.3049817	-0.473871	0.032882106	0.66369855	-0.4342295	0.42519215	0.0056866235	1.066869	0.013834653	0.39482847	-0.47528112	0.34398502	-0.6887631	0.9828739	-0.20100236	-0.56620276	-0.38604045	0.8918318	2
8	java.awt.AWTException	-0.35784084	0.07763636	0.31013525	0.15085265	0.039893787	-0.33800092	0.5845277	0.00029802078	-0.024178127	-0.15197444	-0.2391919	-0.23769955	0.23725678	-0.3914825	-0.022989672	-0.15609545	-0.26345515	0.5506698	-0.015693558	0.40883064	0.07240314	-0.14839835	0.43694812	-0.5113192	0.5170623	0.15742598	-0.39451605	-0.03644173	0.017878175	-0.23471163	0.058462128	0.60241264	2
9	java.awt.AWTKeyStroke	-0.33708844	0.045650877	-0.58411574	-0.21229884	-0.18736842	-0.3579969	-0.118290044	0.09011578	-0.096817054	0.061403766	0.48255932	-0.9656597	0.211156	0.18998563	-0.3099742	0.047301084	0.25758743	0.22392921	-0.27479118	0.4559547	0.10240038	0.63894737	0.17863387	-0.5265792	-0.05452737	0.74545205	-0.68050337	-0.036001313	0.12397493	0.028310489	-0.04853263	-0.24206537	2
10	java.awt.AWTPermission	0.18794602	-0.18800628	-0.101705045	0.74741197	0.034363825	-0.35446414	0.47729865	0.2714475	-0.22098668	0.4355536	0.37820628	-0.32042983	-0.19015022	0.26013556	0.38804096	0.03224161	0.030002914	-0.0731367	0.42956537	-0.21949862	-0.15485439	0.9217312	0.21682334	-1.0051985	0.43214467	-0.10733095	-0.3864346	0.28378555	-0.2929436	-0.34356728	0.376033	0.2499092	2
11	java.awt.ActiveEvent	-0.6554485	0.7996297	0.3648843	0.49494505	-0.081453755	-0.7742519	0.40094304	0.097692735	-1.0410247	0.055075698	-0.94466287	-0.6977378	0.109164454	-0.24173148	-0.9158121	-0.09902664	0.15078488	0.6095403	-0.72772473	-0.73804283	-0.72594374	0.13714336	0.309484	0.20310481	0.2305611	0.3544043	-0.462314	-0.27783957	-0.54112846	-0.8648333	0.3421221	0.40270874	2
12	java.awt.Adjustable	0.50188303	0.32746136	0.6957634	-0.31302598	0.055554826	0.09698806	0.22789444	0.36382085	0.3220348	-0.10892058	0.12294176	-0.44782445	0.12578183	0.5697195	1.5198789	-0.23851137	-0.13557824	1.1683059	-0.44626784	0.31703293	-0.35546985	1.2193142	0.30491814	-0.083628945	-0.8666743	0.50881547	-1.0378528	0.034771845	0.08966887	-1.4887422	-0.29760307	-0.18373306	2
13	java.awt.AlphaComposite	0.7002849	0.32897455	0.21529992	-0.045398127	-0.23225768	0.048479762	0.48749968	-0.47817427	-0.4218609	0.18570395	-0.11318977	0.16972375	-0.19705312	-0.7901352	-0.24540398	0.4760772	0.6212572	-0.1997707	-0.70327175	0.54698026	0.35099763	0.18494709	0.67041224	0.0012810559	-0.34021893	0.47783938	-0.5569715	-0.17742005	-0.1002553	-0.37172747	0.46028137	0.26501152	2
