mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	C#e2d	cD#class
9	33	train	0.12829508	-0.0015473504	0.011293468	0.03272867	0.015411668	-0.008826731	0.20735732	0.022540519	0.036670636	0.012862105	0.0083245905	0.026102243	0.02170911	0.044810425	0.0735191	0.101491824	-0.008794808	-0.00016857978	0.03427028	0.004152087	0.0051648747	0.13890377	0.21513936	0.121303864	-0.0062211896	-0.0004109443	0.007317882	5.4961176e-05	0.05052032	0.07618334	0.023057446	0.049482733	1.4426980689058837	1
2	31	train	0.041426685	0.0071089724	0.23812461	0.0061823255	0.04909667	-0.014739406	0.06543453	0.036507618	0.0423932	0.016306693	0.031208118	-0.0024785178	0.015199115	0.045011606	0.18354508	0.111903146	0.024458107	0.024113018	0.016190846	0.015093525	0.103963315	0.07551738	0.3695475	0.07069807	0.004269011	-0.00090708566	0.0029906859	-0.0033816902	0.018221771	0.039875552	-0.0079802945	0.020377005	1.6452771436306648	1
30	33	train	0.06681362	0.013701587	-0.0026959195	0.045701668	0.002368633	0.035883807	0.28386748	0.0018810773	0.05266631	0.04843638	0.011733205	0.090414606	-0.0057334215	0.07126178	0.12180202	0.08229869	0.012492799	-0.0019483339	0.037455913	0.128076	0.007588615	0.114203416	0.25193277	0.09645994	0.0022533317	0.0019569243	0.006056048	0.000100766396	0.108607635	0.13339366	-0.019335805	0.14788248	1.9475776717008557	1
9	31	train	0.08029471	-0.0016027018	0.10458288	0.028639473	0.015677104	-0.0033578083	0.14379029	0.01904462	0.040817045	0.012481177	0.013230542	0.009075181	0.032453753	0.036714964	0.10022391	0.11619417	0.017695043	-0.0016792895	0.030689862	-0.0012257546	0.017041517	0.10885941	0.28196162	0.08653862	0.0029624954	-5.328408e-05	0.0013922245	-0.00032243624	0.034435146	0.049682435	0.005127714	0.027937986	1.4093026254558936	1
24	26	train	0.16038674	0.03181502	-0.0012406069	0.012574264	0.04438659	0.06988926	0.26771897	-0.007643266	0.0007023142	0.07989482	-0.0004723131	0.027913077	0.01798087	0.15859208	-0.003442761	0.026083557	-0.00129653	0.016913727	0.07286176	0.28785908	0.03880395	0.23875572	0.03582683	0.20098571	0.014632674	0.03611849	0.06800125	0.023536192	0.09038917	0.2219223	0.043570295	0.10304361	2.3770628327329177	1
4	14	train	0.06635058	0.022900274	0.3101975	0.027795319	0.03004021	0.019681139	0.044825234	0.08480607	0.008224052	-0.00017558242	0.069143325	-0.00047490938	-0.0025193635	0.013755143	0.034392886	0.045016762	0.013205881	-0.00089830474	0.010032919	-0.0025539633	0.12647225	0.074793674	0.35788387	0.017747624	0.029925302	0.026325272	0.07420461	0.0018468802	-0.0037907157	0.1191261	0.015780153	-0.009680592	1.6243795935297385	1
16	34	train	0.03563357	0.02769693	0.006536991	0.053531483	0.0046214485	0.003996484	0.19079758	-0.0020582003	0.02696385	0.011418727	0.0022714036	0.051136907	0.0006373176	0.071452126	0.15817119	0.06779623	0.028167421	-0.006085022	0.003875284	0.1569628	0.002997431	0.12863004	0.29633045	0.05200103	-0.0013418959	0.0009104925	0.014119063	0.008515937	0.095973656	0.08800164	0.011324114	0.11611449	1.7071009724750184	1
29	34	train	0.066541865	0.04684677	0.0031173576	0.013074277	0.007563782	0.013438644	0.1684919	0.02225764	0.009243613	0.03552669	0.001730779	0.030017415	-0.0013700115	0.08292888	0.042367835	0.045635283	-0.008170804	-0.00030981866	0.002807707	0.11259565	0.013897878	0.17473763	0.16091734	0.15533863	-0.0024348595	0.003866659	0.01830887	0.007408363	0.06401946	0.09150802	-0.023424326	0.062082727	1.420561845996417	1
5	11	train	0.15539074	0.0039348314	0.6046426	0.09266431	0.014483669	0.4722964	0.29879436	0.06666277	0.021876296	0.16241719	0.10243241	0.03188467	0.03089321	0.0062198057	0.017956674	-0.0021171877	0.13462219	0.0753409	0.20820789	0.0013448148	0.026423462	0.1354882	0.28011745	0.0013840336	0.13743779	0.0059771165	0.1359345	0.1679536	0.010460187	0.06951889	0.0021555165	0.00697052	3.4797698095208034	1
10	34	train	0.041573633	0.03795408	0.009646971	0.043310765	0.0036225826	0.0036949478	0.15131795	0.013850147	0.039501604	0.010539639	0.0029644785	0.054918233	0.0053545865	0.051294643	0.16155933	0.060756017	0.005265263	0.0029478788	0.0029808562	0.09925665	0.0095848655	0.110430986	0.3220922	0.08977877	-0.0007469293	-0.0036488906	0.009652846	-0.0016256049	0.06803208	0.085263856	0.004719402	0.07472408	1.570567922666669	1
2	20	train	0.038938034	0.008094009	0.30936483	0.004241293	0.024495134	0.026761463	0.05807149	0.036995947	0.018984718	-0.0038085103	0.08351381	-0.0016256478	-0.002488442	0.030083435	0.11546566	0.080958	0.016047198	0.0017852598	0.02923619	-0.00483575	0.06383292	0.04711568	0.39702547	0.011487275	0.018093897	0.022244178	0.040684815	0.008187937	0.017274626	0.06719506	0.027331864	0.012991695	1.6037435304606333	1
24	30	train	0.04769501	0.02235891	-0.00062011165	0.031734534	0.002030669	0.033005398	0.33665618	-0.00043808104	0.0066176816	0.05057935	-0.0041439254	0.06491109	0.004179659	0.07426705	0.058088068	0.046437643	0.013147871	0.011666353	0.06447863	0.298548	0.01347617	0.12615478	0.15121429	0.08462516	0.005719428	0.008142536	0.017017523	0.0020936169	0.11034051	0.2170678	-0.007809227	0.13078569	2.0200282651931047	1
31	33	train	0.08457437	0.012352577	0.013896878	0.036697153	0.05012056	0.025114017	0.16358157	0.019839229	0.043228853	0.04301455	0.0060371654	0.017081797	0.028365154	0.08442574	0.14067662	0.13612433	-0.0060165804	0.0019290019	0.022240702	-0.021504646	0.0257281	0.1432011	0.23729648	0.120297946	-0.0020626998	0.00022109709	0.0011865189	-0.0003088679	0.052996024	0.06030741	0.011461151	0.06886953	1.6209728166577406	1
28	34	train	0.06542235	0.056240458	-0.0052573727	0.032965474	0.0046979995	0.024171576	0.20790349	0.016706865	0.01599052	0.040597707	0.0026902466	0.059066635	-0.008049846	0.08399329	0.03730985	0.025619686	0.003706779	-0.022181323	0.0038331177	0.17367248	0.011071535	0.18680361	0.18559885	0.15030685	-0.0037089426	0.0025348575	0.021020222	0.007885357	0.081057996	0.101913795	-0.024126584	0.099420294	1.6388778276741505	1
20	34	train	0.028183902	0.031852853	0.022774968	0.03380195	0.0045570433	-0.017850913	0.12822478	0.0128130065	0.014064455	-0.0075062253	0.0045977994	0.012507668	-0.0032749576	0.043117605	0.13556643	0.05866495	-0.011527852	0.001346772	0.0040345113	0.010771825	0.013409772	0.08814701	0.37464288	0.015620861	0.0071972553	-0.0051633115	0.018491577	0.00984723	0.054057483	0.086358115	0.01781112	0.040307555	1.2274481084896252	1
3	28	train	0.15573357	0.045213286	-0.033445947	0.033342715	0.020300709	0.009455651	0.19546752	0.040415943	0.015230526	0.010211583	0.022275493	0.005428667	0.0007778154	0.050079796	0.011275872	0.027041577	-0.0023768807	-0.015524056	0.01949705	0.09878931	0.037339717	0.19601904	0.12707648	0.10705156	-0.009977463	0.0020529346	0.0060851187	-0.007490842	0.03884878	0.10294518	-0.010273669	0.024928791	1.3237958200625144	1
26	32	train	0.34361783	0.04118178	0.01544327	0.0008983423	0.05805974	0.102851465	0.25257155	0.04208277	-0.00094344816	0.1861199	0.0013300761	0.009084094	0.021819517	0.20562696	-3.4447425e-05	0.019276218	0.0007545547	0.009412847	0.043219898	0.23050936	0.09345403	0.2884325	0.013970566	0.33447033	0.008245802	0.06707496	0.08596398	0.01228379	0.09144634	0.19385253	0.19207367	0.072900645	3.037051439852803	1
1	12	train	0.07655447	0.0038006932	0.4632557	0.09336802	4.915757e-05	0.1493786	0.08789854	0.13719082	0.0023721226	0.04476786	0.09069417	0.009570157	0.004174479	-9.664177e-06	0.003906794	0.023294525	0.06865477	0.0013724274	0.019071355	-0.0011891591	0.08875935	0.1291665	0.3700602	0.0041709524	0.085232556	0.0026444213	0.07313798	0.04061118	0.00021047388	0.08765597	0.012307042	-8.32797e-05	2.17204918623338	1
