mS#id1	mS#id2	mD#data	C#preferential	C#jaccard	C#adamic_adar	C#distance	D#flpa	D#louvain	D#markov	D#sbm	cD#class
2	13	train	35	0.2	0.870769592214268	2	0	0	0	0	1
27	33	train	52	0.0625	0.6213349345596119	2	1	0	1	0	1
0	11	train	13	0.0	0	34	1	1	1	0	1
19	33	train	26	0.0	0	3	0	1	0	0	1
2	9	train	14	0.0	0	3	1	1	1	0	1
0	21	train	26	0.07142857142857142	0.48089834696298783	2	1	1	1	0	1
0	17	train	26	0.07142857142857142	0.48089834696298783	2	1	1	1	0	1
3	13	train	25	0.25	0.870769592214268	2	1	1	1	1	1
4	6	train	6	0.25	0.3898712452512801	2	1	1	1	1	1
6	16	train	6	0.0	0	3	1	1	1	1	1
14	32	train	20	0.09090909090909091	0.3898712452512801	2	1	1	1	0	1
23	32	train	50	0.15384615384615385	1.1112187656957617	2	1	0	1	0	1
0	1	train	104	0.4	5.552197519893738	2	1	1	1	1	1
24	31	train	8	0.0	0	4	0	1	1	1	1
2	27	train	28	0.0	0	3	1	1	1	0	1
0	2	train	91	0.1111111111111111	1.1022332815225997	2	0	0	0	0	1
2	28	train	14	0.0	0	4	0	1	0	0	1
25	31	train	8	0.0	0	3	1	1	1	1	1
23	33	train	65	0.2	1.876989522792215	2	1	0	1	0	1
30	33	train	52	0.13333333333333333	1.1556420023477334	2	1	1	1	0	1
3	7	train	15	0.3333333333333333	0.870769592214268	2	1	1	1	1	1
32	33	train	130	0.5333333333333333	8.55615765944891	2	1	1	1	1	1
0	6	train	39	0.06666666666666667	1.4426950408889634	2	1	1	1	0	1
0	12	train	26	0.07142857142857142	0.6213349345596119	2	1	1	1	0	1
14	33	train	26	0.07142857142857142	0.43429448190325176	2	1	1	1	0	1
9	33	train	26	0.0	0	3	1	0	1	0	1
28	31	train	8	0.0	0	4	1	1	1	1	1
0	13	train	65	0.2	1.6161316238923504	2	1	1	1	0	1
23	27	train	20	0.125	0.3898712452512801	2	1	1	1	1	1
1	30	train	32	0.0	0	3	0	0	0	0	1
24	27	train	8	0.0	0	4	1	1	0	1	1
3	12	train	10	0.16666666666666666	0.3898712452512801	2	1	1	1	1	1
2	8	train	28	0.0	0	3	1	0	1	0	1
5	16	train	4	0.0	0	3	1	1	1	1	1
15	33	train	26	0.07142857142857142	0.43429448190325176	2	1	1	1	0	1
30	32	train	40	0.16666666666666666	1.1112187656957617	2	1	1	1	0	1
1	2	train	56	0.15384615384615385	1.011206179810892	2	0	0	0	0	1
0	4	train	26	0.07142857142857142	0.9102392266268373	2	1	1	1	0	1
18	33	train	26	0.07142857142857142	0.43429448190325176	2	1	1	1	0	1
20	33	train	26	0.07142857142857142	0.43429448190325176	2	1	1	1	0	1
13	33	train	65	0.0	0	3	0	0	0	0	1
0	7	train	39	0.14285714285714285	1.1022332815225997	2	1	1	1	0	1
8	30	train	16	0.3333333333333333	0.8241657271545318	2	1	1	1	1	1
1	17	train	16	0.1111111111111111	0.3898712452512801	2	1	1	1	0	1
1	3	train	40	0.3	1.9214454064377293	2	1	1	1	0	1
15	32	train	20	0.09090909090909091	0.3898712452512801	2	1	1	1	0	1
31	32	train	40	0.0	0	3	0	0	0	0	1
8	33	train	52	0.13333333333333333	1.1556420023477334	2	1	1	1	0	1
0	5	train	26	0.0	0	3	1	1	1	0	1
18	32	train	20	0.09090909090909091	0.3898712452512801	2	1	1	1	0	1
1	7	train	24	0.2222222222222222	1.011206179810892	2	1	1	1	0	1
1	13	train	40	0.3	1.5251045221806427	2	1	1	1	0	1
1	21	train	16	0.1111111111111111	0.3898712452512801	2	1	1	1	0	1
26	29	train	4	0.0	0	34	1	1	1	1	1
23	25	train	10	0.0	0	3	0	1	0	1	1
20	32	train	20	0.09090909090909091	0.3898712452512801	2	1	1	1	0	1
0	3	train	65	0.2857142857142857	3.4551675490384004	2	1	1	1	0	1
23	29	train	20	0.2857142857142857	0.8241657271545318	2	1	0	1	1	1
0	19	train	26	0.0	0	3	1	0	1	0	1
8	32	train	40	0.16666666666666666	1.1112187656957617	2	1	1	1	0	1
29	32	train	40	0.16666666666666666	1.011206179810892	2	1	1	1	0	1
29	33	train	52	0.13333333333333333	1.0556294164628637	2	1	1	1	0	1
9	20	train	4	0.3333333333333333	0.3898712452512801	2	1	0	1	1	0
3	29	train	20	0.0	0	3	0	0	0	0	0
9	24	train	4	0.0	0	3	1	1	0	1	0
10	21	train	0	0.0	0	34	0	0	0	1	0
1	26	train	8	0.0	0	4	0	0	0	0	0
11	14	train	2	0.0	0	4	0	0	0	0	0
0	32	train	130	0.0	0	3	0	0	0	0	0
10	15	train	0	0.0	0	34	0	0	0	0	0
9	25	train	4	0.0	0	3	0	1	0	1	0
3	25	train	10	0.0	0	4	0	0	0	0	0
8	16	train	8	0.0	0	4	0	0	0	0	0
1	22	train	0	0.0	0	34	0	0	0	0	0
18	22	train	0	0.0	0	34	0	0	0	0	0
16	24	train	4	0.0	0	5	0	0	0	0	0
2	15	train	14	0.0	0	3	1	0	1	0	0
6	13	train	15	0.14285714285714285	0.3898712452512801	2	1	1	1	1	0
8	9	train	8	0.5	0.9037695876210308	2	1	0	1	1	0
19	29	train	8	0.2	0.3898712452512801	2	0	1	0	0	0
20	26	train	2	0.0	0	3	1	1	1	1	0
20	22	train	0	0.0	0	34	0	0	0	0	0
26	31	train	4	0.0	0	3	0	0	0	1	0
16	33	train	26	0.0	0	4	0	0	0	0	0
1	23	train	40	0.0	0	3	0	0	0	0	0
4	31	train	8	0.0	0	4	0	0	0	0	0
15	18	train	4	1.0	0.8241657271545318	2	1	1	1	1	0
12	18	train	4	0.0	0	4	0	0	0	0	0
5	25	train	4	0.0	0	5	0	0	0	0	0
21	27	train	8	0.0	0	3	0	0	0	0	0
2	16	train	14	0.0	0	3	0	0	0	0	0
5	29	train	8	0.0	0	4	0	0	0	0	0
20	24	train	4	0.0	0	3	1	0	0	1	0
2	12	train	14	0.125	0.3898712452512801	2	0	0	0	0	0
21	30	train	8	0.2	0.48089834696298783	2	0	0	0	0	0
4	13	train	10	0.16666666666666666	0.3898712452512801	2	1	1	1	1	0
12	19	train	4	0.3333333333333333	0.3898712452512801	2	1	0	1	1	0
1	9	train	16	0.1111111111111111	0.5138983423697507	2	0	0	0	0	0
8	28	train	8	0.2	0.5138983423697507	2	0	0	0	1	0
28	32	train	20	0.09090909090909091	0.7213475204444817	2	0	0	0	0	0
4	16	train	4	0.3333333333333333	0.9102392266268373	2	1	1	1	1	0
25	32	train	20	0.2	1.3426824550040934	2	0	0	0	0	0
6	19	train	6	0.25	0.3898712452512801	2	1	0	1	1	0
4	25	train	4	0.0	0	5	0	0	0	0	0
8	26	train	4	0.0	0	3	1	1	1	1	0
6	23	train	15	0.0	0	4	0	0	0	0	0
4	9	train	4	0.0	0	3	0	0	0	0	0
11	32	train	10	0.0	0	4	0	0	0	0	0
15	31	train	8	0.2	0.43429448190325176	2	0	0	0	1	0
7	22	train	0	0.0	0	34	0	0	0	1	0
4	23	train	10	0.0	0	4	0	0	0	0	0
12	16	train	4	0.0	0	3	1	1	1	1	0
13	25	train	10	0.0	0	3	0	0	0	0	0
7	28	train	6	0.0	0	3	0	0	0	0	0
22	29	train	0	0.0	0	34	0	0	0	0	0
5	21	train	4	0.3333333333333333	0.3898712452512801	2	1	1	1	1	0
3	14	train	10	0.0	0	3	0	0	0	0	0
14	15	train	4	1.0	0.8241657271545318	2	1	1	1	1	0
6	30	train	12	0.0	0	3	0	0	0	0	0
16	31	train	8	0.0	0	5	0	0	0	0	0
14	31	train	8	0.2	0.43429448190325176	2	0	0	0	1	0
12	25	train	4	0.0	0	5	0	0	0	0	0
10	23	train	0	0.0	0	34	0	0	0	0	0
22	25	train	0	0.0	0	34	0	0	0	0	0
31	33	test	52	0.0625	0.43429448190325176	2	0	0	0	0	1
24	25	test	4	0.3333333333333333	0.7213475204444817	2	0	1	1	1	1
4	10	test	0	0.0	0	34	0	0	0	1	1
5	10	test	0	0.0	0	34	0	0	0	1	1
0	31	test	52	0.0	0	3	0	0	0	0	1
2	7	test	21	0.25	0.870769592214268	2	0	0	0	0	1
0	10	test	0	0.0	0	34	0	0	0	0	1
22	32	test	0	0.0	0	34	0	0	0	0	1
28	33	test	26	0.0	0	3	0	0	0	0	1
1	19	test	16	0.1111111111111111	0.3898712452512801	2	1	0	1	0	1
5	6	test	6	0.6666666666666666	1.8325662861402434	2	1	1	1	1	1
