mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	cD#class
3	33	train	-0.016287947	0.018333608	0.07673665	0.07053272	0.0044160397	-0.0013390902	0.033416193	0.18247576	0.030753963	0.09375915	0.001075007	-0.004617402	-0.030850654	0.009828057	0.09245753	0.051430844	0.020679306	-0.012905912	0.065276794	0.20464474	0.02445706	-0.03210391	0.23494983	0.017037613	0.051131465	0.012565865	0.002354017	0.0066854367	0.031912085	0.021488272	0.041962087	0.07269641	1
3	28	train	0.029233374	0.013858974	0.1470414	0.10442011	0.02533818	-0.0003418758	-0.009512078	0.066755526	0.06813264	0.14168848	-0.0021476995	-0.0036984698	0.032876424	0.06104978	0.04118437	0.113850325	0.1071603	-0.0017409736	0.088418655	0.28598037	0.029501239	0.19089934	0.14743008	0.004018342	0.06642408	0.011386886	0.0035959727	-0.0075324145	0.043576773	-0.001070401	0.030702636	0.052165713	1
26	32	train	-0.00085563934	0.009904649	0.26488394	0.12485954	0.115053594	0.0029920323	0.05376855	0.009735094	0.037765898	0.13813634	0.044975556	0.014876972	0.050349966	0.09213631	0.08913487	0.09224967	0.2046345	0.0032635632	0.20921628	0.24245031	0.10569677	0.11755647	0.2509335	-0.0021696207	0.093648575	0.058405593	0.13331896	-0.0010178871	0.00836734	-0.00067320856	0.10037163	0.005630794	1
3	4	train	0.13168353	0.007563013	0.083183184	0.07848919	-0.0056067114	0.00039404054	0.08674094	0.11435555	0.083704956	0.03144428	0.0034342383	-0.0031046164	0.027123073	0.010213229	0.044680253	0.0966901	0.045096412	0.0020017382	-0.003769895	0.13579789	0.015336942	0.18339112	0.13243613	0.07386858	-0.009266726	0.008962595	0.0014322165	0.011941085	-0.0042018616	0.023080895	-0.021496708	0.040412586	1
30	34	train	0.027567387	0.19407852	0.0100172	0.0029860034	0.062358234	4.0237785e-05	0.019742776	0.35230932	-0.0032624274	0.023065794	0.014142793	0.00061547593	0.2106033	0.023120983	0.20630822	0.048657265	0.0080070775	0.05034301	0.048371445	0.22492996	0.0051339804	-0.0026480777	0.5264895	-0.01572926	0.16850112	0.021906573	-0.0002799974	0.004621003	0.14433795	0.18422559	0.05255118	0.123273894	1
1	20	train	0.08755066	0.0012037811	0.23943436	0.06677411	0.029269246	0.061610922	0.07928794	0.10823293	0.04512997	-0.0012745339	0.08007956	0.002760565	0.07127933	0.002851894	0.057890315	0.08590162	0.020116154	0.07015103	0.0062601264	0.012389868	0.070589215	0.15701881	0.2104533	0.075245485	-9.444131e-05	0.025333116	0.06299623	0.0017959411	0.0009053802	0.122424446	0.07600069	-0.004685423	1
1	32	train	-0.0088299485	0.003744067	0.22843137	0.12799095	-0.05714502	0.010940158	-0.061676927	0.07676587	0.0353393	-0.0058750664	-0.05780526	-0.004781111	0.049384527	0.0073597664	0.06706913	0.06336579	0.060895484	-0.0099547105	-0.02678602	0.027508948	0.15387481	0.13160375	0.25534976	0.0050880117	0.00020709955	0.024581244	0.091731235	-0.0019579416	-0.005196639	0.016240796	-0.08244352	-0.0033390352	1
25	32	train	0.00029528045	0.024578992	0.25112635	0.16864033	0.13597722	0.0031869877	0.025499	0.009508024	0.033857584	0.15853144	0.042383924	0.032289166	0.06802511	0.091405675	0.06947418	0.089832224	0.212067	0.0024146822	0.22148807	0.29661372	0.099242605	0.15852624	0.23303114	-0.0018297242	0.079735234	0.055289757	0.08209369	-0.0015589247	0.005254435	-0.0021236439	0.11147031	8.182407e-05	1
2	3	train	0.10243292	-0.007219389	0.12560174	0.042950816	-0.0085764155	0.004056531	0.06316884	0.1846882	0.07934428	0.009519258	0.004945561	0.0015097841	0.020250756	0.016699716	0.08017482	0.07200098	0.027341379	0.0068436693	-0.007954576	0.06972861	0.03009366	0.117891535	0.15266277	0.07888828	-0.0055965856	0.013006816	0.0020585016	-0.0040589343	0.025259554	0.017457861	-0.014596218	0.060291175	1
1	22	train	0.09671953	-0.00017943815	0.21794887	0.06188287	0.026489174	0.06128835	0.09971749	0.12408959	0.04140458	0.0007423388	0.095344864	0.0046592127	0.06784793	0.002393473	0.056901574	0.07155122	0.01752366	0.06430837	0.008752686	0.012075288	0.08482629	0.13537818	0.22727758	0.09218099	-9.651697e-05	0.021447677	0.06213448	-0.0039300285	-0.003440524	0.13214688	0.069054596	-0.005288572	1
