mS#id	mS#node	C#degree	C#pagerank	C#closeness	C#betweenness	C#clustering	D#flpa	D#louvain	D#markov	D#sbm	cD#class
0	1	0.484848	0.097002	0.568966	0.437635	0.150000	0	1	1	1	1
1	2	0.272727	0.052878	0.485294	0.053937	0.333333	0	1	1	1	1
2	3	0.303030	0.057078	0.559322	0.143657	0.244444	1	1	0	1	1
3	4	0.181818	0.035861	0.464789	0.011909	0.666667	0	1	1	0	1
4	5	0.090909	0.021979	0.379310	0.000631	0.666667	2	2	1	0	1
5	6	0.121212	0.029113	0.383721	0.029987	0.500000	2	2	1	0	1
6	7	0.121212	0.029113	0.383721	0.029987	0.500000	2	2	1	0	1
7	8	0.121212	0.024491	0.440000	0.000000	1.000000	0	1	1	0	1
8	9	0.151515	0.029765	0.515625	0.055927	0.500000	1	0	0	0	2
9	10	0.060606	0.014309	0.434211	0.000848	0.000000	1	1	0	0	2
10	11	0.090909	0.021979	0.379310	0.000631	0.666667	2	2	1	0	1
11	12	0.030303	0.009565	0.366667	0.000000	0.000000	0	1	1	0	1
12	13	0.060606	0.014645	0.370787	0.000000	1.000000	0	1	1	0	1
13	14	0.151515	0.029536	0.515625	0.045863	0.600000	0	1	1	0	1
14	15	0.060606	0.014535	0.370787	0.000000	1.000000	1	0	0	0	2
15	16	0.060606	0.014535	0.370787	0.000000	1.000000	1	0	0	0	2
16	17	0.060606	0.016785	0.284483	0.000000	1.000000	2	2	1	0	1
17	18	0.060606	0.014559	0.375000	0.000000	1.000000	0	1	1	0	1
18	19	0.060606	0.014535	0.370787	0.000000	1.000000	1	0	0	0	2
19	20	0.090909	0.019604	0.500000	0.032475	0.333333	0	1	1	0	1
20	21	0.060606	0.014535	0.370787	0.000000	1.000000	1	0	0	0	2
21	22	0.060606	0.014559	0.375000	0.000000	1.000000	0	1	1	0	1
22	23	0.060606	0.014535	0.370787	0.000000	1.000000	1	0	0	0	2
23	24	0.151515	0.031521	0.392857	0.017614	0.400000	1	0	0	0	2
24	25	0.090909	0.021075	0.375000	0.002210	0.333333	1	3	0	0	2
25	26	0.090909	0.021006	0.375000	0.003840	0.333333	1	3	0	0	2
26	27	0.060606	0.015043	0.362637	0.000000	1.000000	1	0	0	0	2
27	28	0.121212	0.025639	0.458333	0.022333	0.166667	1	0	0	0	2
28	29	0.090909	0.019573	0.452055	0.001795	0.333333	1	3	0	0	2
29	30	0.121212	0.026287	0.383721	0.002922	0.666667	1	0	0	0	2
30	31	0.121212	0.024589	0.458333	0.014412	0.500000	1	0	0	0	2
31	32	0.181818	0.037157	0.540984	0.138276	0.200000	1	3	0	0	2
32	33	0.363636	0.071692	0.515625	0.145247	0.196970	1	0	0	1	2
33	34	0.515152	0.100918	0.550000	0.304075	0.110294	1	0	0	1	2
