mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	cD#class
1	1	16	17	102	18	81	197	13	352	10	6	34	171	2	30	7	1
2	2	9	19	24	12	73	56	33	32	6	8	80	27	2	18	7	1
3	3	10	34	34	11	72	179	84	54	20	17	75	51	6	8	7	1
4	4	6	20	5	10	49	11	56	1	0	5	81	5	4	7	7	1
5	5	3	16	1	2	17	1	64	0	1	15	25	0	2	1	0	1
6	6	4	15	3	3	15	14	64	0	1	14	25	2	2	2	0	1
7	7	4	15	3	3	15	14	64	0	1	14	25	2	2	2	0	1
8	8	4	25	0	6	37	0	87	0	0	5	53	0	11	0	4	1
9	9	5	44	5	5	31	74	208	0	10	23	58	6	12	3	1	2
10	10	2	25	1	0	40	15	130	0	5	26	0	0	0	0	0	2
11	11	3	16	1	2	17	1	64	0	1	15	25	0	2	1	0	1
12	12	1	15	0	0	17	0	87	0	0	18	0	0	0	0	0	1
13	13	2	18	0	1	27	0	79	0	0	18	10	0	4	0	0	1
14	14	5	41	4	6	27	69	192	0	10	20	53	6	11	0	4	1
15	15	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	2
16	16	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	2
17	17	2	4	0	1	28	0	0	0	0	2	2	0	1	0	0	1
18	18	2	21	0	1	27	0	96	0	0	16	9	0	6	0	0	1
19	19	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	2
20	20	3	37	2	1	31	43	201	0	5	31	9	1	6	0	0	1
21	21	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	2
22	22	2	21	0	1	27	0	96	0	0	16	9	0	6	0	0	1
23	23	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	2
24	24	5	27	6	4	36	39	111	2	4	5	43	5	9	2	1	2
25	25	3	8	2	1	67	7	6	0	2	3	5	1	0	0	0	2
26	26	3	9	2	1	62	7	6	0	3	6	5	1	0	0	0	2
27	27	2	17	0	1	29	0	93	0	0	13	13	0	2	0	0	2
28	28	4	29	5	1	47	53	120	2	8	25	14	2	2	0	0	2
29	29	3	28	2	1	59	23	122	0	7	25	17	1	1	0	0	2
30	30	4	24	2	4	34	11	111	0	0	4	43	1	9	2	1	2
31	31	4	33	3	3	56	39	138	0	5	18	32	3	9	0	1	2
32	32	6	42	12	3	34	149	216	9	10	25	23	10	9	1	0	2
33	33	12	23	53	13	56	150	40	139	10	10	75	34	4	45	2	2
34	34	17	18	121	15	81	210	3	507	25	9	26	123	1	48	2	2
