mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	C#orbit-15	C#orbit-16	C#orbit-17	C#orbit-18	C#orbit-19	C#orbit-20	C#orbit-21	C#orbit-22	C#orbit-23	C#orbit-24	C#orbit-25	C#orbit-26	C#orbit-27	C#orbit-28	C#orbit-29	C#orbit-30	C#orbit-31	C#orbit-32	C#orbit-33	C#orbit-34	C#orbit-35	C#orbit-36	C#orbit-37	C#orbit-38	C#orbit-39	C#orbit-40	C#orbit-41	C#orbit-42	C#orbit-43	C#orbit-44	C#orbit-45	C#orbit-46	C#orbit-47	C#orbit-48	C#orbit-49	C#orbit-50	C#orbit-51	C#orbit-52	C#orbit-53	C#orbit-54	C#orbit-55	C#orbit-56	C#orbit-57	C#orbit-58	C#orbit-59	C#orbit-60	C#orbit-61	C#orbit-62	C#orbit-63	C#orbit-64	C#orbit-65	C#orbit-66	C#orbit-67	C#orbit-68	C#orbit-69	C#orbit-70	C#orbit-71	C#orbit-72	cD#class
1	1	16	17	102	18	81	197	13	352	10	6	34	171	2	30	7	64	864	39	314	74	146	921	6	754	38	6	282	41	70	118	165	7	27	640	9	10	82	17	97	1	3	32	262	1	56	15	7	21	36	1	4	15	10	26	0	18	1	28	52	2	6	7	1	1	3	0	0	25	0	1	0	3	2	1
2	2	9	19	24	12	73	56	33	32	6	8	80	27	2	18	7	100	281	16	281	87	47	73	43	23	34	44	121	46	22	158	21	19	187	30	10	13	46	13	17	4	17	128	24	31	0	10	1	1	22	0	1	8	11	19	0	16	1	61	13	1	6	0	1	1	1	0	6	15	0	0	0	3	2	1
3	3	10	34	34	11	72	179	84	54	20	17	75	51	6	8	7	52	240	198	240	92	431	318	173	43	56	40	294	13	66	71	132	32	217	88	17	5	113	61	61	39	41	51	29	22	5	3	3	25	25	0	17	51	6	35	3	1	1	54	30	8	6	4	2	5	3	1	12	5	0	0	0	3	2	1
4	4	6	20	5	10	49	11	56	1	0	5	81	5	4	7	7	143	54	0	149	135	15	1	103	0	10	67	29	37	1	154	0	27	223	0	0	16	0	0	0	4	36	55	2	23	0	3	3	0	9	0	0	0	15	0	3	1	0	74	2	1	4	0	0	0	0	0	12	5	0	0	0	3	2	1
5	5	3	16	1	2	17	1	64	0	1	15	25	0	2	1	0	81	0	0	13	138	0	0	172	0	32	12	0	6	0	30	0	81	104	0	0	10	0	0	0	26	24	12	0	28	0	1	1	0	1	0	0	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
6	6	4	15	3	3	15	14	64	0	1	14	25	2	2	2	0	81	15	0	13	126	64	0	172	0	32	0	12	6	14	30	0	81	104	0	0	10	0	0	0	26	24	12	0	28	0	1	0	1	12	0	0	0	0	1	0	0	7	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1
7	7	4	15	3	3	15	14	64	0	1	14	25	2	2	2	0	81	15	0	13	126	64	0	172	0	32	0	12	6	14	30	0	81	104	0	0	10	0	0	0	26	24	12	0	28	0	1	0	1	12	0	0	0	0	1	0	0	7	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1
8	8	4	25	0	6	37	0	87	0	0	5	53	0	11	0	4	193	0	0	44	180	0	0	210	0	10	72	0	22	0	82	0	36	142	0	0	26	0	0	0	4	103	0	0	14	0	3	9	0	0	0	0	0	5	0	8	0	0	43	0	1	0	0	0	0	0	0	10	0	0	0	4	0	1	1
9	9	5	44	5	5	31	74	208	0	10	23	58	6	12	3	1	23	24	241	22	208	309	0	617	0	22	103	53	6	41	40	43	173	216	0	1	4	9	140	0	25	93	11	0	15	1	1	3	13	27	9	0	17	5	18	28	0	4	7	1	7	12	2	0	3	6	6	8	1	0	0	0	0	0	2
10	10	2	25	1	0	40	15	130	0	5	26	0	0	0	0	0	71	14	40	85	275	53	0	431	0	85	0	0	10	8	0	0	148	0	0	4	17	1	59	0	56	0	0	0	0	0	5	0	0	0	9	0	16	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
11	11	3	16	1	2	17	1	64	0	1	15	25	0	2	1	0	81	0	0	13	138	0	0	172	0	32	12	0	6	0	30	0	81	104	0	0	10	0	0	0	26	24	12	0	28	0	1	1	0	1	0	0	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
12	12	1	15	0	0	17	0	87	0	0	18	0	0	0	0	0	81	0	0	13	180	0	0	265	0	34	0	0	6	0	0	0	153	0	0	0	10	0	0	0	30	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13	13	2	18	0	1	27	0	79	0	0	18	10	0	4	0	0	119	0	0	28	170	0	0	233	0	57	0	0	7	0	11	0	108	41	0	0	10	0	0	0	23	36	0	0	4	0	2	6	0	0	0	0	0	0	0	1	0	4	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	1
14	14	5	41	4	6	27	69	192	0	10	20	53	6	11	0	4	37	15	202	41	189	339	0	612	0	18	72	27	5	45	56	68	144	142	0	0	5	3	142	0	52	103	0	0	14	0	2	1	9	0	13	0	18	5	26	8	0	2	43	4	1	0	0	1	2	0	0	10	0	0	0	4	0	1	1
15	15	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	127	0	0	28	312	0	0	489	0	23	2	0	19	0	10	0	83	15	0	0	27	0	0	0	3	59	0	0	0	0	1	6	0	0	0	0	0	4	0	34	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2
16	16	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	127	0	0	28	312	0	0	489	0	23	2	0	19	0	10	0	83	15	0	0	27	0	0	0	3	59	0	0	0	0	1	6	0	0	0	0	0	4	0	34	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2
17	17	2	4	0	1	28	0	0	0	0	2	2	0	1	0	0	30	0	0	128	0	0	0	0	0	24	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
18	18	2	21	0	1	27	0	96	0	0	16	9	0	6	0	0	143	0	0	22	201	0	0	264	0	41	7	0	10	0	11	0	117	24	0	0	14	0	0	0	14	52	0	0	4	0	2	6	0	0	0	0	0	1	0	10	0	4	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	1
19	19	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	127	0	0	28	312	0	0	489	0	23	2	0	19	0	10	0	83	15	0	0	27	0	0	0	3	59	0	0	0	0	1	6	0	0	0	0	0	4	0	34	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2
20	20	3	37	2	1	31	43	201	0	5	31	9	1	6	0	0	61	9	204	21	265	199	0	666	0	56	7	6	6	35	8	12	225	24	0	9	21	2	99	0	62	52	0	0	4	0	3	4	5	0	4	0	11	1	3	10	0	6	0	0	2	0	0	0	1	0	5	0	0	0	0	0	0	0	1
21	21	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	127	0	0	28	312	0	0	489	0	23	2	0	19	0	10	0	83	15	0	0	27	0	0	0	3	59	0	0	0	0	1	6	0	0	0	0	0	4	0	34	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2
22	22	2	21	0	1	27	0	96	0	0	16	9	0	6	0	0	143	0	0	22	201	0	0	264	0	41	7	0	10	0	11	0	117	24	0	0	14	0	0	0	14	52	0	0	4	0	2	6	0	0	0	0	0	1	0	10	0	4	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	1
23	23	2	25	0	1	34	0	142	0	0	8	7	0	9	0	0	127	0	0	28	312	0	0	489	0	23	2	0	19	0	10	0	83	15	0	0	27	0	0	0	3	59	0	0	0	0	1	6	0	0	0	0	0	4	0	34	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2
