mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
1	1	-0.17521554	-0.71027744	0.34433213	0.1950904	0.2018274	0.057309754	0.049705196	-0.20016989	-0.054412514	0.22137176	-0.09742238	-0.24948034	0.122505374	-0.40168092	-0.2621466	0.06356343	-0.041047256	0.22037809	0.029253643	0.30786768	0.028819991	0.3364641	0.58537525	-0.1525465	0.18505082	0.14782263	-0.17364877	0.28649074	0.02884492	-0.06305625	-0.11948808	-0.03870048	1
2	2	-0.14181077	-0.4057227	0.47348908	0.25534612	0.21119738	-0.10924637	-0.0054047178	0.009333222	0.098524764	0.11728488	-0.00043510445	-0.14783496	0.27559605	-0.27136895	-0.39176825	0.011726519	-0.20185366	0.24239413	0.09121859	0.31243327	0.1710495	0.3344664	0.55817753	-0.16907375	0.09448197	0.29740235	-0.22700067	0.32336223	-0.05138044	-0.017862206	-0.059027515	-0.006278719	1
3	3	-0.17907842	-0.31025466	0.41207024	0.25565913	0.0030810717	-0.042504843	0.053382583	0.17199163	0.20880772	-0.09218105	0.0099669555	-0.24529931	0.12312565	-0.20594959	-0.31337887	-0.21841021	-0.22300479	0.16972744	-0.026885532	0.32486784	0.13908851	0.36263722	0.40425554	-0.10249474	0.07013945	0.16943154	-0.18418317	0.13149408	-0.12974192	-0.16973776	-0.09678138	0.002017828	1
4	4	-0.0874331	-0.5443838	0.44767687	0.2297741	0.2000002	-0.0732271	-0.14879091	0.026950002	0.15262417	0.05580366	-0.11171045	-0.2978383	0.26960617	-0.25704116	-0.39097896	-0.10763186	-0.2449887	0.29371035	0.07047044	0.33146966	0.16540913	0.3387939	0.49261406	-0.10429681	0.04215218	0.3658457	-0.2123443	0.2234177	-0.13501906	-0.116126485	-0.08855979	-0.10024247	1
5	5	-0.40748987	-0.9025759	0.32155928	0.29068846	-0.1739761	0.13096032	0.13946751	-0.4507992	-0.010883655	0.3531724	-0.10234478	-0.19208646	0.10787401	-0.61162543	-0.2560578	-0.009465119	0.24518277	-0.08111983	0.304664	0.13998905	0.07741882	0.42099002	0.44335005	0.10814685	0.061134264	0.22761863	-0.11224512	0.2326686	0.023928666	0.00556542	-0.24663866	0.14990668	1
6	6	-0.46031457	-1.079627	0.34115937	0.1434382	-0.23203003	0.26591292	0.12804997	-0.50794023	-0.08878031	0.30098507	-0.06430371	-0.2549881	-0.063017935	-0.6428078	-0.13754617	0.010476192	0.29217002	-0.14261319	0.25617483	0.14269342	-0.039731156	0.4472799	0.37779564	0.11352518	0.09707692	0.3000864	-0.098851025	0.18495892	-0.0023156079	-0.05645317	-0.22724453	0.1434385	1
7	7	-0.3860277	-1.0866774	0.38003674	0.22628585	-0.24457824	0.18189728	0.11025917	-0.47411302	-0.07799913	0.31674612	-0.08044666	-0.2383854	-0.04995884	-0.6262853	-0.20694701	0.062045895	0.33188963	-0.0591807	0.22859418	0.20768775	0.009869715	0.40385404	0.46064594	0.13612278	0.16069345	0.3322466	-0.062343344	0.20480798	0.01055156	-0.0365945	-0.25465313	0.10458015	1
8	8	-0.17151032	-0.49678954	0.49292466	0.23883471	0.21689005	-0.08443578	-0.063753396	0.017926158	0.10406277	-0.0447766	-0.02939014	-0.27338907	0.23157841	-0.23361337	-0.29436594	-0.11316634	-0.24179277	0.20660676	0.1480383	0.33933836	0.118314736	0.38300785	0.407779	-0.015173754	0.04094934	0.3811792	-0.15830958	0.2174023	-0.12006339	-0.08877921	-0.0120578185	-0.1015278	1
9	9	-0.1797592	-0.15086403	0.3757099	0.3812251	-0.16705751	-0.034605455	0.24628371	0.072576255	0.039215315	-0.023526516	0.09163549	-0.22050364	0.090012714	-0.20100318	-0.21258275	-0.08322932	-0.09308604	-0.095958106	-0.049775217	0.31907064	0.14781314	0.29083288	0.42092648	-0.10008959	0.037917856	0.1285748	-0.19965489	0.1103997	-0.24811286	-0.21868657	-0.13804354	0.03162993	2
10	10	-0.2295958	0.024347505	0.38900983	0.3623943	-0.1697043	-0.055275798	0.21928014	0.25447294	0.13070153	-0.087554015	0.11128481	-0.32111794	0.056982625	-0.16431725	-0.20222664	-0.21379395	-0.2100648	-0.08638444	-0.11562995	0.26897854	0.14902173	0.28672674	0.4226198	-0.14888953	0.056793913	0.094627246	-0.25471178	0.08878491	-0.2505437	-0.3332504	-0.039931156	0.040750258	2
11	11	-0.41603678	-1.010159	0.35020185	0.23264433	-0.14764394	0.116441414	0.09145115	-0.42466018	-0.09725055	0.27644914	-0.052528903	-0.18271676	0.01219797	-0.5741284	-0.19934389	0.0039533307	0.19749491	0.011420549	0.27411085	0.202737	0.03939237	0.36720094	0.4620108	0.1302072	0.15075245	0.31908023	-0.054816052	0.18307087	0.026688978	-0.060048543	-0.24693553	0.06013616	1
12	12	-0.30399853	-0.6852375	0.47207472	0.15978554	0.009922054	0.023865595	-0.020374186	-0.1912983	0.0416995	0.15952456	-0.14051048	-0.24462804	0.15740296	-0.3748681	-0.26686785	-0.044952266	-0.052597944	0.1500885	0.1881505	0.26389247	0.101047575	0.30779082	0.41817555	0.067371026	0.09904469	0.36949062	-0.13889621	0.2515506	-0.11131484	-0.06514801	-0.16978621	0.051890347	1
13	13	-0.16607411	-0.57225454	0.50042826	0.14401919	0.17795934	-0.08617403	-0.15305752	0.005333457	0.20056789	-0.01467918	-0.10717927	-0.261586	0.2359892	-0.2651138	-0.400611	-0.18266606	-0.22428694	0.29231018	0.1554773	0.30848676	0.08860469	0.36746883	0.39087865	0.003152546	-0.00500629	0.41760013	-0.1916367	0.25047532	-0.103189975	-0.11032271	-0.079394735	-0.049353383	1
