mS#id	mS#node	C#degree	C#pagerank	C#closeness	C#betweenness	C#clustering	D#flpa	D#louvain	D#markov	D#sbm	cD#class
0	Peter Kolbezen	0.027982	0.001086	0.160549	0.000017	0.600000	0	2	12	13	0
1	Jernej Virant	0.113402	0.002264	0.138333	0.004336	0.600000	1	14	10	18	1
2	Vojko Strle	0.000000	0.000267	0.000000	0.000000	0.000000	2	36	69	0	0
3	Aleksandra Kornhauser	0.019146	0.002718	0.151646	0.000825	0.600000	3	10	18	1	0
4	Tomaž Banovec	0.000000	0.000267	0.000000	0.000000	0.000000	4	37	70	0	0
5	Igor Grabec	0.083947	0.006847	0.011782	0.000117	0.035714	5	15	49	22	7
6	Tatjana Kapus	0.132548	0.003836	0.144368	0.000405	0.428571	6	11	19	45	1
7	Pero Šobot	0.008837	0.000594	0.160862	0.000000	1.000000	7	7	3	3	5
8	Vladislav Rajkovič	0.225331	0.007504	0.250108	0.086414	0.123153	8	0	34	57	7
9	Rudi Murn	0.017673	0.001193	0.162123	0.001080	0.600000	9	2	12	13	1
10	Marjan Pivka	0.002946	0.001777	0.001473	0.000000	0.000000	10	23	50	0	5
11	Jože Zupančič	0.053019	0.002224	0.185582	0.005082	0.333333	11	0	71	23	5
12	Zvonimir Jamšek	0.000000	0.000267	0.000000	0.000000	0.000000	12	38	72	0	3
13	Marjan Krisper	0.334315	0.007591	0.257905	0.086598	0.170115	13	8	6	46	5
14	Boris Sobočan	0.000000	0.000267	0.000000	0.000000	0.000000	14	39	73	0	1
15	Boris Glavič	0.008837	0.001049	0.138507	0.000000	1.000000	15	4	35	7	5
16	Zmago Brezočnik	0.170839	0.004913	0.164459	0.009373	0.227273	6	11	19	45	1
17	Zoran Radalj	0.000000	0.000267	0.000000	0.000000	0.000000	16	40	74	0	7
18	John Shawe-Taylor	0.000000	0.000267	0.000000	0.000000	0.000000	17	41	75	0	5
19	Rafael Črv	0.000000	0.000267	0.000000	0.000000	0.000000	18	42	76	0	5
20	Mirko Vintar	0.106038	0.002302	0.179248	0.000687	0.700000	19	0	36	35	5
21	Saša Divjak	0.039764	0.003480	0.191267	0.026673	0.142857	20	10	15	7	3
22	Andrej Dobnikar	0.120766	0.005275	0.194757	0.032350	0.175824	21	12	17	25	7
23	Ivan Bratko	0.427099	0.011046	0.235009	0.025348	0.173016	22	5	13	58	7
