mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	cD#class
1	Peter Kolbezen	5	30	4	6	218	22	118	0	4	34	68	4	11	4	2	0
2	Jernej Virant	6	25	6	9	48	49	26	1	3	25	34	9	18	3	7	1
3	Vojko Strle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Aleksandra Kornhauser	5	6	4	6	55	8	4	0	0	3	16	3	0	6	1	0
5	Tomaž Banovec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Igor Grabec	8	0	27	1	0	0	0	50	0	0	0	6	0	0	0	7
7	Tatjana Kapus	7	7	12	9	90	6	6	10	0	5	34	8	1	14	3	1
8	Pero Šobot	2	39	0	1	102	0	357	0	0	46	27	0	6	0	0	5
9	Vladislav Rajkovič	29	224	356	50	1253	4961	1613	2501	36	313	1041	998	99	113	42	7
10	Rudi Murn	5	31	4	6	236	44	136	1	1	39	62	2	8	5	2	1
11	Marjan Pivka	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
12	Jože Zupančič	7	36	14	7	232	106	272	11	2	44	94	17	6	3	4	5
13	Zvonimir Jamšek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
14	Marjan Krisper	30	281	361	74	1357	6412	1997	2319	31	395	1305	1495	185	161	85	5
15	Boris Sobočan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
16	Boris Glavič	2	7	0	1	20	0	20	0	0	1	7	0	0	0	0	5
17	Zmago Brezočnik	12	76	51	15	503	621	524	99	9	161	125	97	36	19	5	1
18	Zoran Radalj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
19	John Shawe-Taylor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
20	Rafael Črv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
21	Mirko Vintar	5	40	3	7	357	64	289	1	8	91	80	0	0	6	3	5
22	Saša Divjak	8	47	24	4	234	319	370	36	0	59	10	17	0	2	1	3
23	Andrej Dobnikar	14	69	75	16	481	766	299	214	2	95	103	112	12	34	4	7
24	Ivan Bratko	36	232	521	109	815	6031	1428	4133	69	164	1707	2431	122	453	123	7
25	Veselko Guštin	7	28	16	5	148	125	56	14	2	26	29	17	5	4	0	1
26	Vid Mikulič	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
27	Mitja Lasič	3	20	0	3	180	0	64	0	0	18	36	0	2	0	1	1
28	Dušan Peček	5	31	4	6	236	44	136	1	1	39	62	2	8	5	2	0
29	Viktor Vaupot	5	53	4	6	409	56	353	0	0	136	78	6	39	0	4	7
30	Marko Bohanec	23	219	198	55	1013	3143	1787	917	61	244	1301	617	126	173	64	0
31	Marjan Špegel	9	56	28	8	348	333	317	38	3	66	85	38	12	6	2	1
32	Peter Tancig	2	39	1	0	285	37	491	0	1	110	0	0	0	0	0	5
33	Bruno Stiglic	21	196	140	70	688	2137	1346	417	26	258	1279	597	226	215	101	5
34	Viljem Žumer	30	157	345	90	619	3198	776	2110	21	264	1085	1487	114	356	107	1
35	Ivan Vezočnik	12	146	35	31	688	623	1169	34	3	213	687	105	145	38	43	0
36	Viljan Mahnič	12	148	55	11	890	1213	1497	127	13	298	309	79	40	11	3	3
37	Igor Mozetič	18	152	115	38	1057	1668	971	384	46	201	644	281	90	126	25	0
38	Saša Prešern	2	6	0	1	62	0	2	0	0	4	0	0	3	0	0	1
39	Franc Jager	9	20	34	2	171	152	43	70	0	16	8	14	0	0	0	3
40	Peter Reinhardt	5	42	4	6	274	74	217	0	1	36	74	4	9	4	2	1
41	Tone Vidmar	6	11	4	11	75	10	5	1	0	12	41	2	2	9	8	1
42	Senta Šetinc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
43	Peter Kokol	32	187	375	121	601	3943	997	2239	32	214	1394	1983	198	567	171	0
44	Nikola Guid	15	69	88	17	311	697	473	271	1	146	223	149	22	33	2	3
45	Igor Škraba	1	4	0	0	47	0	5	0	0	1	0	0	0	0	0	1
46	Tomaž Mohorič	3	59	2	1	426	79	489	0	0	134	29	1	5	0	0	5
47	Eva Klemenčič	1	22	0	0	166	0	189	0	0	42	0	0	0	0	0	5
48	Jure Dimec	8	146	20	8	825	581	1639	20	17	242	333	28	37	4	4	5
49	Bojan Novak	5	125	0	10	533	0	1255	0	0	330	364	0	68	0	10	5
50	Alojz Urbajs	2	3	0	1	0	0	2	0	0	1	3	0	0	0	0	5
51	Branko Zebec	1	4	0	0	0	0	4	0	0	2	0	0	0	0	0	0
52	Igor Kononenko	25	194	251	49	1029	3632	1615	1348	37	247	736	800	107	129	23	7
53	Slavko Mavrič	4	34	2	4	209	30	168	0	1	45	58	1	6	2	1	7
54	Jana Bradač	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5
55	Tatjana Zrimec	6	71	9	6	602	216	523	5	4	137	109	8	11	5	2	0
56	Tanja Urbančič	15	169	74	31	1053	1290	1197	177	58	201	752	183	104	65	30	7
57	Davor Bonačić	6	80	6	9	604	91	658	1	3	207	195	7	54	7	5	5
58	Elizabeta Kmecl	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5
59	Borut Robič	13	58	60	18	406	468	224	132	6	35	148	116	34	32	6	3
60	Petar Brajak	3	37	0	3	226	0	114	0	0	106	52	0	11	0	1	0
61	Janez Benkovič	5	53	7	3	422	155	478	2	1	85	29	7	13	1	0	7
62	Bano Diallo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	Tomaž Erjavec	18	156	113	40	871	1936	1141	313	36	202	472	422	86	25	56	5
64	Bogdan Filipič	23	196	217	36	1282	3257	1468	1140	79	295	727	526	85	85	20	7
65	Ankica Babić	3	27	3	0	108	52	118	1	1	63	0	0	0	0	0	5
66	Stanko Blatnik	2	12	1	0	107	12	20	0	0	14	0	0	0	0	0	7
67	Andrej Križnik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
68	Ljubo Pipan	7	57	13	8	374	181	435	4	0	129	131	26	15	1	4	1
69	Franc Novak	21	121	180	30	719	1994	556	856	10	164	336	387	35	78	9	1
70	Konrad Steblovnik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
71	Marko Ahčan	3	11	1	2	56	7	14	0	1	5	7	0	3	1	0	5
72	Bojan Boštjančič	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	Bojan Cestnik	18	249	97	56	829	2330	2017	227	61	215	1501	355	140	161	73	7
74	Jože Rugelj	8	22	23	5	290	134	68	32	1	32	18	20	0	2	2	1
75	Aleš Leonardis	18	43	133	20	284	562	104	549	2	35	155	224	5	33	10	7
76	Nikolaj Zimic	11	3	27	28	23	14	0	22	0	1	16	64	0	49	30	1
77	József Györkös	23	196	167	86	739	2426	1216	588	36	263	1492	705	161	333	145	5
78	Zoran Stančič	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
79	Vojko Artač	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
80	Jasna Maver	5	42	5	5	203	72	259	0	0	25	74	6	11	3	1	7
81	Marko Bonač	1	14	0	0	118	0	74	0	0	17	0	0	0	0	0	1
82	Borut Žalik	28	60	335	43	406	1400	215	2311	2	75	200	834	8	109	22	1
83	Boris Hreščak	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
84	Mira Trebar	7	26	14	7	127	86	42	16	1	25	56	4	6	14	1	1
85	Milan Ojsteršek	26	171	252	73	647	2829	928	1249	44	280	1036	1028	161	245	78	1
86	Roman Trobec	16	76	104	16	430	954	317	366	9	74	136	169	16	20	5	1
87	Niko Schlamberger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
88	Robert Leskovar	11	29	39	16	226	136	196	56	1	37	148	82	2	19	8	5
89	Alen Varšek	3	65	0	3	493	0	643	0	0	141	104	0	13	0	1	7
90	Miroslav Kolarič	5	97	1	9	594	35	982	0	2	244	223	0	63	3	7	5
91	Branko Namestnik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
92	Primož Bradač	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5
93	Tine Petkovšek	2	6	0	1	6	0	0	0	0	6	0	0	3	0	0	1
94	Ivan Rozman	39	193	589	152	646	5531	923	4831	38	267	1463	3218	132	864	226	5
95	Maksimiljan Gerkeš	11	145	26	29	705	485	1045	23	13	312	735	55	102	55	32	5
96	Marijan Miletić	2	7	0	1	56	0	14	0	0	7	7	0	0	0	0	5
97	Matjaž Debevc	7	73	17	4	398	288	489	17	10	184	76	17	27	0	1	0
98	Kornelija Zgonc	1	7	0	0	0	0	20	0	0	1	0	0	0	0	0	7
99	Branko Korošec	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
100	Matjaž Cigrovski	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
101	Matjaž Gams	42	244	773	88	1214	8191	1379	8398	106	287	1343	2707	129	312	63	7
102	Kordija Stiglic	1	20	0	0	196	0	120	0	0	70	0	0	0	0	0	5
103	Krista Rizman Žalik	7	120	11	10	583	346	1110	5	8	284	262	16	48	8	6	3
104	Bogdan Dugonik	6	26	9	6	235	78	50	5	4	29	34	8	5	5	2	0
105	Jure Ferbežar	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
106	Vido Vouk	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
107	Nada Lavrač	31	221	367	98	827	4654	1503	2319	55	228	1700	1622	83	442	112	7
108	Damjan Bojadžiev	4	92	3	3	601	144	1067	0	15	173	76	3	13	0	1	7
109	Tomaž Dogša	8	78	18	10	619	237	551	17	9	206	209	23	41	11	5	3
110	Miroslav Petrič	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
111	Iztok Tvrdy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
112	Tatjana Ogrinc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
113	Janez Renko	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
114	Dušan Kodek	5	47	9	1	360	183	421	7	1	91	3	3	0	0	0	1
115	France Mihelič	19	55	119	52	384	760	237	394	6	52	198	339	10	163	73	7
116	Franc Solina	22	141	206	25	638	2644	678	1098	18	251	209	390	36	46	6	7
117	Marko Ambrož	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
118	Matjaž Colnarič	13	155	43	35	719	732	1224	52	22	243	750	126	167	65	43	1
119	Igor Ozimek	15	118	88	17	748	1280	1222	259	4	177	320	180	22	7	9	1
120	Jurij Šilc	20	129	150	40	741	1889	751	571	25	146	434	436	39	115	18	1
121	Julija Lapuh Bele	2	13	1	0	93	13	27	0	0	9	0	0	0	0	0	5
122	Igor Korelič	2	28	1	0	223	28	328	0	0	50	0	0	0	0	0	5
123	Slavko Kastelic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
124	Iztok Koren	2	15	0	1	50	0	38	0	0	11	15	0	0	0	0	7
125	Matjaž Likar	2	39	0	1	102	0	357	0	0	46	27	0	6	0	0	7
126	Nenad Međeral	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
127	Aram Karalič	8	147	12	16	855	321	1518	5	25	228	520	18	69	21	12	7
128	Vojko Ambrožič	2	3	0	1	0	0	2	0	0	1	3	0	0	0	0	5
129	Matevž Kovačič	7	96	13	8	658	292	769	7	5	153	214	17	30	10	1	7
130	Slavko Može	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	Aleš Jelovšek	1	14	0	0	118	0	74	0	0	17	0	0	0	0	0	0
132	Bojana Lunar-Peček	1	7	0	0	0	0	20	0	0	1	0	0	0	0	0	7
133	Ivo Ipšić	5	45	1	9	158	7	189	0	0	59	79	0	47	3	7	7
134	Polonca Blaznik	5	47	4	6	309	63	228	1	2	51	85	2	18	5	2	1
135	Gabrijela Dreo	2	32	0	1	207	0	296	0	0	88	24	0	4	0	0	1
136	Andreja Zaveršek	4	57	2	4	400	49	552	0	0	184	78	1	22	2	1	0
137	Aleksandra Krumpak	4	9	2	4	55	9	10	0	1	3	12	1	2	2	1	7
138	Anto Jurković	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
