mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	C#orbit-15	C#orbit-16	C#orbit-17	C#orbit-18	C#orbit-19	C#orbit-20	C#orbit-21	C#orbit-22	C#orbit-23	C#orbit-24	C#orbit-25	C#orbit-26	C#orbit-27	C#orbit-28	C#orbit-29	C#orbit-30	C#orbit-31	C#orbit-32	C#orbit-33	C#orbit-34	C#orbit-35	C#orbit-36	C#orbit-37	C#orbit-38	C#orbit-39	C#orbit-40	C#orbit-41	C#orbit-42	C#orbit-43	C#orbit-44	C#orbit-45	C#orbit-46	C#orbit-47	C#orbit-48	C#orbit-49	C#orbit-50	C#orbit-51	C#orbit-52	C#orbit-53	C#orbit-54	C#orbit-55	C#orbit-56	C#orbit-57	C#orbit-58	C#orbit-59	C#orbit-60	C#orbit-61	C#orbit-62	C#orbit-63	C#orbit-64	C#orbit-65	C#orbit-66	C#orbit-67	C#orbit-68	C#orbit-69	C#orbit-70	C#orbit-71	C#orbit-72	cD#class
1	Peter Kolbezen	5	30	4	6	218	22	118	0	4	34	68	4	11	4	2	1468	94	2	1132	1567	53	0	266	0	407	65	16	221	12	508	8	243	274	0	1	27	45	23	0	52	104	46	0	70	1	52	65	3	12	0	0	4	1	6	9	0	14	26	0	42	10	0	1	1	0	3	8	4	4	0	1	0	0	0
2	Jernej Virant	6	25	6	9	48	49	26	1	3	25	34	9	18	3	7	184	120	96	96	126	57	6	6	0	39	18	28	37	44	47	48	31	18	0	0	0	16	15	3	12	34	6	3	22	0	10	6	18	8	0	0	3	0	6	3	0	11	22	7	26	4	0	1	0	0	14	17	0	3	0	9	3	2	1
3	Vojko Strle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Aleksandra Kornhauser	5	6	4	6	55	8	4	0	0	3	16	3	0	6	1	447	101	7	495	21	4	0	1	0	28	0	6	87	4	117	2	2	12	0	1	0	0	0	0	1	0	10	0	8	0	10	0	0	14	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0
5	Tomaž Banovec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Igor Grabec	8	0	27	1	0	0	0	50	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
7	Tatjana Kapus	7	7	12	9	90	6	6	10	0	5	34	8	1	14	3	660	45	0	555	105	3	6	1	3	116	3	10	185	0	483	0	5	28	7	0	11	0	0	0	2	5	59	4	30	0	36	5	0	5	0	0	0	1	0	0	10	2	15	0	0	3	1	0	0	0	0	2	8	0	0	0	2	0	1
8	Pero Šobot	2	39	0	1	102	0	357	0	0	46	27	0	6	0	0	628	0	0	512	1628	0	0	2049	0	241	139	0	186	0	89	0	722	176	0	0	1	0	0	0	93	153	0	0	35	0	21	1	0	0	0	0	0	1	0	14	0	22	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	5
9	Vladislav Rajkovič	29	224	356	50	1253	4961	1613	2501	36	313	1041	998	99	113	42	4925	27420	12881	6868	14868	33369	48040	9016	11453	3109	5535	19351	1449	6826	4345	5503	4043	8090	8597	76	162	439	903	663	509	2462	1646	1900	1315	552	535	809	1861	1985	13	7	109	95	136	157	120	241	1280	771	372	341	129	7	47	24	64	197	175	34	3	53	29	22	7
10	Rudi Murn	5	31	4	6	236	44	136	1	1	39	62	2	8	5	2	1446	319	34	1441	1873	169	13	322	0	424	81	31	310	48	428	0	286	256	0	2	35	13	10	1	68	91	9	1	63	0	51	65	8	51	0	0	3	0	0	9	1	14	31	0	34	6	0	0	0	1	4	8	2	1	0	0	1	0	1
11	Marjan Pivka	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
12	Jože Zupančič	7	36	14	7	232	106	272	11	2	44	94	17	6	3	4	1337	691	83	1623	3932	802	104	1557	3	1001	98	234	332	128	665	11	626	717	13	4	36	1	6	3	101	107	12	6	128	0	98	12	13	23	0	0	0	0	6	0	0	36	79	9	2	5	0	0	0	0	3	10	3	1	0	0	0	1	5
13	Zvonimir Jamšek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
14	Marjan Krisper	30	281	361	74	1357	6412	1997	2319	31	395	1305	1495	185	161	85	6050	30867	26018	7434	16570	43778	57637	11389	9034	3954	4935	26232	1860	8754	5112	13225	5138	9599	11844	139	211	473	660	634	778	3152	1608	2686	1649	1339	550	718	3810	2162	12	2	161	52	145	350	103	253	1654	1659	449	385	366	17	21	17	204	529	240	24	8	129	54	72	5
15	Boris Sobočan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
16	Boris Glavič	2	7	0	1	20	0	20	0	0	1	7	0	0	0	0	171	0	0	43	112	0	0	30	0	8	0	0	16	0	20	0	5	20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
17	Zmago Brezočnik	12	76	51	15	503	621	524	99	9	161	125	97	36	19	5	2433	3951	318	2893	5203	4161	1513	2350	104	2071	484	971	928	1270	474	736	1699	671	181	17	49	122	112	53	385	672	29	102	149	50	323	289	280	38	0	1	70	17	16	74	11	136	47	29	148	21	5	3	8	0	64	26	10	2	0	7	3	0	1
18	Zoran Radalj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
