mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
1	Peter Kolbezen	0.853643	-0.23404351	-0.49940506	-0.16682088	0.22696674	-0.45201004	-0.92549676	-0.96988547	-0.13779186	0.4426821	-0.098392926	-0.7856268	0.14640419	-0.22797045	-0.4824375	0.5551533	0.8560282	0.17807712	-0.15227205	1.3564544	1.0731554	0.6482503	0.2583209	-1.0778322	-0.28104925	0.72890216	-0.6184324	-0.35291782	0.72961926	-0.47732702	-0.17641166	0.5579885	0
2	Jernej Virant	0.61948854	1.1464702	-0.514341	0.43438432	-0.041179888	-1.0905135	-0.30571142	-1.1886218	-0.47548452	-0.3202752	0.38818657	-0.6519674	-0.25639915	-0.34602773	0.29813337	-0.4914843	0.59892505	-0.076452106	-0.13371265	-1.0827531	0.68002546	2.0217454	0.7032726	-1.1542714	0.34819993	0.6096491	-1.2472295	-0.09388812	0.06726635	-0.4675568	0.9452849	0.2287793	1
3	Vojko Strle	0.019212686	-0.029594652	0.019763865	-0.026369534	0.020727903	-0.024518862	-0.0012814701	0.001158826	0.023937494	0.005095616	-0.017249107	0.019077837	0.019269004	0.019138686	-0.025239997	-0.028674364	0.0020379573	-0.010986909	0.018515125	-0.009161703	0.006491244	-0.020506054	0.03113199	0.017264992	1.3262033e-06	-0.0030190796	-0.02953548	-0.025927335	0.02347397	0.014555797	0.0013207421	0.0127834305	0
4	Aleksandra Kornhauser	0.18196875	-0.13627468	-0.9645835	0.3098617	0.92250985	-1.7541171	-0.17421585	0.25233623	-0.9607953	-0.70722485	-0.0039681005	-0.921909	0.82197875	0.42395538	-0.9865143	1.4342449	1.0015162	0.40439847	0.3587296	-0.38828838	-0.018435001	1.2543353	0.27985784	-0.90337676	0.1423856	0.09487456	-0.3161493	0.5282295	-0.50774693	0.41168368	0.55275273	-0.08416484	0
5	Tomaž Banovec	-0.023711815	-0.00041339546	-0.027694762	-0.016638488	0.023617826	-0.015452959	-0.010965861	-0.0016673654	-0.007990874	0.014581002	-0.0085098	0.029898368	-0.029279247	-7.9110265e-05	0.015864767	-0.0035454184	-0.022605792	-0.0075530633	0.013079405	0.02009628	0.014362566	0.004759297	-0.0049997345	0.025988095	0.018889688	0.003013298	-0.028857261	-0.018817551	-0.0014737919	-0.024680294	0.026376657	0.0023775995	0
6	Igor Grabec	-0.96002245	-0.7668473	-0.70650595	0.16018043	0.16725734	-0.32146263	-0.017093813	-0.609106	-0.2823903	0.33810937	0.54534733	-0.93866307	-0.6536397	-1.1316222	-0.48017696	1.4955072	1.0965886	-0.94111603	0.54478055	0.19728388	1.2616162	1.220001	-0.4644436	-0.8110097	-0.95040345	1.5081705	-1.8289782	1.4862051	0.41346374	0.85356843	1.2152004	0.4175491	7
7	Tatjana Kapus	-0.14381725	0.5584344	0.07571894	0.952773	0.24440488	-1.6124724	0.18304989	0.03847723	-0.799987	0.4269379	-1.1824384	-0.96868694	-1.1294094	-0.5650789	-0.54624	0.39275023	0.24455452	-0.15096354	-0.04626	-0.18736446	0.05814569	0.38128608	0.9246475	-1.1442752	0.29619792	0.3849026	-0.4487416	1.9028374	-0.23211482	-0.89955014	0.61558926	-0.7267103	1
8	Pero Šobot	0.8035689	-0.15371263	0.5549495	-0.41665438	-0.38571307	-0.60590255	0.63353354	-0.36149314	-0.6901895	-0.3881245	-0.3826553	-0.49343622	-0.6981026	0.17217234	-0.34897113	0.24332981	0.24003501	0.068933114	0.40302664	1.0295963	0.030590711	0.9252096	0.3983574	-1.1398245	-0.45381266	0.8586283	-0.57496756	0.13151868	0.44948298	-0.97958916	0.8675562	-0.4056616	5
9	Vladislav Rajkovič	0.17098895	0.105916284	-0.6185516	0.5517051	0.22353819	-0.9354972	-0.053270265	0.59041834	-0.08957982	-0.26187912	0.5277344	-0.5932816	-0.41371784	0.11177755	-0.21353823	0.79588217	0.32236725	0.2024789	-0.01722525	0.530861	0.16406141	0.582477	0.2501281	-0.61847734	0.20185737	-0.3609462	0.41257396	0.03723868	-0.070242	0.74355376	-0.0052058115	-0.31662458	7
10	Rudi Murn	1.0285774	-0.6847929	-0.65990007	-0.046674814	-0.029468285	-1.1189415	-0.6877835	-0.9806707	0.255545	-0.30494	-0.40738449	-0.76848936	-0.39089513	-0.4746196	-0.4129136	0.13311939	0.68828565	0.2351205	0.3742631	1.2187777	0.6582445	0.5565674	-0.06256867	-0.5646156	0.6547376	0.58299387	-0.92991006	-0.5478163	0.3891636	-0.33373728	-0.03347416	0.28887427	1
