mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	C#e2d	cD#class
2	24	train	0.029640414	0.043375164	0.13402236	0.04375772	-0.004855842	0.0019756146	0.04007745	0.010190034	0.0055809626	0.024358565	0.015264152	0.16590294	0.12890007	-0.0005119389	0.03306405	0.075929895	0.035726357	0.0054345005	0.09622744	-0.0031856394	0.03164234	0.13333263	0.32022375	0.06882191	0.014283234	0.041788604	0.12041995	0.0081517715	0.11274563	0.16055307	0.079717346	0.07026499	2.042819470691029	1
3	20	train	-6.724525e-06	0.073274314	0.17033216	0.025024548	0.0009676793	-0.020552477	-0.00075673073	0.012956068	0.00024070081	-0.0018810545	-0.0013461269	0.14838153	0.038915094	-0.00045777566	0.037330516	0.033064075	0.054698538	-0.00044209443	0.020881323	0.043389272	0.038073204	0.05204007	0.33352268	0.12527315	-0.003070003	0.07789011	0.09331397	0.0055829203	0.08260692	0.11859092	0.037708055	0.025841117	1.6213859572621914	1
10	30	train	0.072773494	0.06597768	0.10900061	0.029391207	0.07636856	0.007367524	0.05256381	0.014730616	0.004802505	0.07250591	-0.0057424987	0.015611111	0.022517217	0.011522713	0.0045094006	0.107480004	0.091397025	0.041853122	0.10623767	0.14155748	0.008264021	0.028424226	0.20658466	-0.008549521	0.0069931094	-0.0016692054	0.096621655	0.0128857205	0.042007994	0.13632672	0.033854496	0.06925349	1.6734225306427106	1
3	23	train	0.009805876	0.05434836	0.12972237	0.092024215	-0.0024006017	-0.0057745706	0.019200709	0.0015300473	-0.0013967807	0.004519889	0.008299964	0.1455812	0.049029212	0.0016015023	0.02296503	0.034780424	0.001734634	-0.008024358	0.011064197	0.06319376	0.028444776	0.081056625	0.28969783	0.09924406	-0.001088773	0.049790133	0.02944651	0.008588447	0.0574646	0.12664384	0.015878716	0.0114636645	1.4284355019917712	1
6	24	train	0.044800103	0.038300626	0.12418677	0.04673326	0.007154567	-0.0015154703	0.059746373	0.0033148727	-0.0013274298	0.020060534	0.04752877	0.11911399	0.08296394	0.0006347248	0.029822024	0.07660095	0.022374028	0.0085448995	0.06826146	0.005327936	0.040358357	0.13035525	0.26397306	0.044532515	0.01345119	0.043699548	0.10780571	0.006947577	0.08857355	0.20129131	0.066933654	0.09818302	1.9087316652876325	1
9	25	train	0.044075683	0.052854963	0.06547804	0.10462601	0.008738033	-0.0042308257	0.12380249	0.0012819243	0.0045537623	0.010839592	0.0001595911	0.117516294	0.049907	0.00045564206	0.024741838	0.07028174	-0.007566545	0.0045468556	0.006263703	0.036161583	0.016378382	0.1150804	0.236592	0.032952044	-0.0021750473	0.008978029	0.021490294	0.0057916082	0.022457223	0.1476383	0.04253646	0.004311352	1.3665184151177527	1
7	23	train	0.04536888	0.038081124	0.09007308	0.18129209	0.030175855	-0.008490398	0.13598642	-0.0032307724	0.008684604	-0.00085134874	-0.0056178346	0.13916354	0.07133874	0.00144353	0.023183716	0.0599478	-6.558858e-05	0.0041921986	0.014244765	0.0031147667	0.027370565	0.14720435	0.26152495	0.0582183	-0.00073990383	0.0077403397	0.017632077	0.011257323	0.042625517	0.13664138	0.016758822	0.007950097	1.5622189837595215	1
2	25	train	0.034628365	0.042538628	0.09901461	0.05323479	-0.0034733806	0.0031022215	0.053950544	-0.0009510744	0.007611458	-0.023758	0.00038177942	0.14852373	0.07036646	-0.0013943785	0.016809143	0.070617385	0.013674635	-0.0045479885	0.017593091	0.033934757	0.01817271	0.10201872	0.30059698	0.091827296	0.0054880828	0.025104843	0.06314808	0.010900265	0.039166115	0.14239252	0.042422745	0.007956129	1.4810512626136187	1
7	24	train	0.046533793	0.045476213	0.08806105	0.10539324	0.009961906	-0.002042044	0.08829954	-0.008038702	0.0044463	0.0006749006	0.012721126	0.12585221	0.09896985	0.00081488834	0.039288472	0.08704322	-0.0012061696	-0.0022043304	0.026665375	-0.00029614376	0.041692503	0.14460854	0.27458692	0.03392876	-0.0017953949	0.008535497	0.053519152	0.003721959	0.054237176	0.16228926	0.055403236	0.036408003	1.6335503031732515	1
16	27	train	0.009905517	0.086791284	0.126429	0.038165912	-0.007153873	0.051412754	0.0032126312	0.004777448	0.021577062	0.05771576	0.00046628248	0.045366235	0.02811859	0.062395442	0.045899738	0.030017681	0.045038477	0.0027160367	0.09703127	0.11452815	0.045415442	0.0071900147	0.2896604	0.004390266	0.013084508	0.013246455	0.058232002	0.011604792	0.0018996189	0.10471042	4.8454873e-05	-0.000999576	1.4128941996241338	1
