mS#id1	mS#id2	mD#data	C#preferential	C#jaccard	C#adamic_adar	C#distance	D#flpa	D#louvain	D#markov	D#sbm	cD#class
6	24	train	27	0.0	0	3	1	1	1	0	1
2	24	train	63	0.0	0	3	1	0	0	0	1
13	24	train	54	0.0	0	3	0	0	0	0	1
0	26	train	70	0.0	0	3	0	0	0	0	1
4	20	train	24	0.0	0	3	1	1	0	0	1
10	27	train	12	0.0	0	3	1	1	0	0	1
14	27	train	12	0.0	0	3	1	1	0	0	1
0	18	train	14	0.0	0	3	1	1	1	0	1
6	25	train	30	0.0	0	3	1	1	1	0	1
8	25	train	30	0.0	0	3	1	1	0	0	1
12	27	train	18	0.0	0	3	1	1	0	0	1
6	23	train	15	0.0	0	3	1	1	1	0	1
4	24	train	36	0.0	0	3	1	0	0	0	1
3	21	train	28	0.0	0	3	1	1	0	0	1
0	22	train	42	0.0	0	3	1	1	0	0	1
10	26	train	40	0.0	0	3	1	0	0	0	1
3	22	train	42	0.0	0	3	1	1	0	0	1
1	25	train	50	0.0	0	3	1	0	0	0	1
9	26	train	20	0.0	0	3	1	0	1	0	1
13	28	train	18	0.0	0	3	1	1	0	0	1
12	29	train	30	0.0	0	3	1	1	0	0	1
4	21	train	16	0.0	0	3	1	1	0	0	1
1	20	train	30	0.0	0	3	1	1	0	0	1
12	24	train	54	0.0	0	3	0	0	0	0	1
2	19	train	21	0.0	0	3	1	1	0	0	1
3	24	train	63	0.0	0	3	1	0	0	0	1
12	25	train	60	0.0	0	3	0	0	0	0	1
5	23	train	20	0.0	0	3	1	1	0	0	1
3	25	train	70	0.0	0	3	1	0	0	0	1
0	19	train	21	0.0	0	3	1	1	0	0	1
14	25	train	40	0.0	0	3	0	0	0	0	1
8	26	train	30	0.0	0	3	0	0	1	0	1
1	24	train	45	0.0	0	3	1	0	0	0	1
14	24	train	36	0.0	0	3	0	0	0	0	1
2	26	train	70	0.0	0	3	0	0	0	0	1
2	22	train	42	0.0	0	3	1	1	0	0	1
10	29	train	20	0.0	0	3	1	1	0	0	1
0	20	train	42	0.0	0	3	1	1	0	0	1
13	26	train	60	0.0	0	3	1	1	0	0	1
13	31	train	18	0.0	0	3	1	1	0	0	1
16	26	train	20	0.0	0	3	1	1	1	0	1
1	22	train	30	0.0	0	3	1	1	0	0	1
5	25	train	40	0.0	0	3	1	1	0	0	1
15	26	train	10	0.0	0	32	1	1	1	0	1
11	26	train	40	0.0	0	3	1	1	0	0	1
5	20	train	24	0.0	0	3	1	0	0	0	1
9	29	train	10	0.0	0	3	1	1	1	0	1
16	28	train	6	0.0	0	3	1	1	1	0	1
2	25	train	70	0.0	0	3	1	0	0	0	1
3	20	train	42	0.0	0	3	1	1	0	0	1
12	31	train	18	0.0	0	3	1	0	1	0	1
11	25	train	40	0.0	0	3	0	0	0	0	1
3	23	train	35	0.0	0	3	1	0	0	0	1
3	18	train	14	0.0	0	3	1	1	1	0	1
0	21	train	28	0.0	0	3	1	1	0	0	1
5	22	train	24	0.0	0	3	1	0	0	0	1
2	21	train	28	0.0	0	3	1	1	0	0	1
