mS#id1	mS#id2	mD#data	C#e2v-0	C#e2v-1	C#e2v-2	C#e2v-3	C#e2v-4	C#e2v-5	C#e2v-6	C#e2v-7	C#e2v-8	C#e2v-9	C#e2v-10	C#e2v-11	C#e2v-12	C#e2v-13	C#e2v-14	C#e2v-15	C#e2v-16	C#e2v-17	C#e2v-18	C#e2v-19	C#e2v-20	C#e2v-21	C#e2v-22	C#e2v-23	C#e2v-24	C#e2v-25	C#e2v-26	C#e2v-27	C#e2v-28	C#e2v-29	C#e2v-30	C#e2v-31	cD#class
18	29	train	0.08334509	0.012032958	0.9041657	0.0038239586	-0.0005036325	0.033637512	-0.00013862758	0.045471616	0.018214557	-0.011772234	0.09534828	0.0020244895	0.021334417	0.042732425	0.07766092	0.08707672	0.020560922	0.012250438	0.0025655585	0.07927369	0.11286337	0.009958884	0.54980123	0.12908947	0.04427848	0.005561677	0.09867357	0.010693747	0.0061435304	0.44160807	0.081500135	0.012230313	1
14	32	train	-0.003336354	-0.011590855	0.28627512	0.03394524	0.06597922	-0.0034203078	0.21564189	0.019753475	0.0024906164	0.0147842495	0.18911564	0.016992845	0.010071321	0.019756842	-0.0017023484	0.13466062	0.02568473	0.026078638	-0.0019578123	0.03731182	0.02346717	0.02576356	0.30203864	-0.0073798895	-0.0013967645	-0.00075233995	0.022055916	0.008384012	0.018713523	0.27636325	0.06001369	0.001913235	1
14	28	train	0.049814276	0.058315735	0.3079634	-0.01595906	0.032589078	-0.0018986822	0.18693605	0.1246464	0.02070086	0.004234094	0.16243175	0.039407514	0.06487369	0.02799095	0.0005178792	0.14195164	0.009457844	-0.024251014	0.018991651	-0.01760228	0.060856678	0.028166667	0.27948046	0.0026422648	0.011936084	-0.0008353135	-0.015052888	0.0022087486	-0.0066121644	0.32269788	0.05027895	0.001449655	1
3	24	train	0.04770149	0.09767526	0.058896083	0.12934089	0.0060331225	0.02301266	0.03118912	-0.0018580583	-0.00065718923	0.00544717	0.0018486843	0.006511026	0.10948005	0.05116647	0.109564036	0.05876604	0.040514454	0.0038118772	0.0013753045	0.014512408	0.011453623	0.23262314	0.1617095	0.051981516	0.011125416	0.036206853	0.027938938	0.04920269	0.00507328	0.0023526805	0.0068321843	-0.0034606114	1
3	20	train	0.08026368	0.16699086	0.021668904	0.16465913	0.0015319072	0.03030108	0.04634704	0.0035292958	-0.00080145267	0.022156982	-0.0010179043	0.023331147	0.16049558	0.03744131	0.1105277	0.04151226	0.03060603	-0.0004093152	0.0038227343	0.059524093	0.005142468	0.2982571	0.14234653	0.045407794	0.024001068	0.0534034	0.027474016	0.03912169	0.0048841015	-0.004040973	0.00515417	-0.0005601128	1
13	25	train	0.18495573	0.08986384	0.028871683	-0.03154881	9.798761e-05	0.022191938	0.33944547	0.014364568	0.0014386689	0.0015422405	0.040427186	0.042102713	-0.06043008	0.00977166	0.0063176025	0.05806908	0.0008847532	0.011310356	0.04714934	0.091264054	0.011179117	0.13370869	0.1365656	0.0027025088	0.052038036	-0.0068623335	0.044767767	0.0021983543	0.022261055	0.11571515	0.0089470465	0.010964742	1
12	27	train	0.052884594	0.0071255956	0.2598162	0.019169418	-0.029899724	0.06049855	0.28585157	0.00080330065	0.031733118	0.06192253	0.09540436	0.0042739403	0.0053472808	0.018912638	0.0014121318	0.055289477	0.016282113	0.076535076	0.00051216275	0.044693656	-0.0011162005	0.0715942	0.16575189	-0.022367654	-0.012926812	0.06402758	-0.05048921	-0.00343756	0.029003654	0.2140432	0.049611118	-0.0038575672	1
1	20	train	0.068962835	0.19973241	0.02012516	0.19666755	0.0023024168	0.027340364	0.01559403	0.0013262635	-0.00035082732	0.011314634	0.001331561	0.02728054	0.21189746	0.045042563	0.15572508	0.044560086	0.04568017	-0.0010890296	0.0013301144	0.027437555	0.0109004555	0.3508094	0.15205573	0.060418475	0.021226095	0.07640653	0.034484223	0.046235383	0.011706165	-0.0013525544	0.010515525	-0.0005229222	1
6	24	train	0.026651492	0.123839706	0.05309005	0.14417548	0.014106094	0.028477719	0.026363542	-0.0017989678	-0.004423507	0.005591049	0.002423113	0.008490794	0.11603843	0.067082725	0.15951738	0.06602473	0.049183916	0.0042701135	0.001490082	0.0075293626	0.016603298	0.26688182	0.14275663	0.07076695	0.003439503	0.049313486	0.016996667	0.077379815	0.011481874	-0.0007560187	0.007845379	-0.00010621225	1
14	29	train	0.056158543	0.027162904	0.5568672	0.005495834	0.0021898511	0.015039827	-0.0036230148	0.07709373	0.051626686	-0.010468822	0.10950772	0.027055645	0.03005359	0.046677355	0.004828786	0.09713055	0.015426244	0.009388072	0.005708942	0.044738222	0.08701426	0.009581626	0.44162595	0.010485679	0.022565233	0.00058042735	-0.024535194	0.007896826	0.0048059914	0.36374542	0.08441352	-0.002542393	1
