mS#id	mS#node	C#orbit-0	C#orbit-1	C#orbit-2	C#orbit-3	C#orbit-4	C#orbit-5	C#orbit-6	C#orbit-7	C#orbit-8	C#orbit-9	C#orbit-10	C#orbit-11	C#orbit-12	C#orbit-13	C#orbit-14	cD#class
1	Evelyn	8	50	28	0	72	200	190	56	75	0	0	0	0	0	0	1
2	Laura	7	45	21	0	79	134	168	35	68	0	0	0	0	0	0	1
3	Theresa	8	57	28	0	69	217	225	56	91	0	0	0	0	0	0	1
4	Brenda	7	46	21	0	76	134	170	35	71	0	0	0	0	0	0	1
5	Charlotte	4	24	6	0	87	30	70	4	21	0	0	0	0	0	0	1
6	Frances	4	32	6	0	98	36	130	4	30	0	0	0	0	0	0	1
7	Eleanor	4	36	6	0	108	42	156	4	33	0	0	0	0	0	0	1
8	Pearl	3	31	3	0	106	28	154	1	17	0	0	0	0	0	0	1
9	Ruth	4	40	6	0	115	56	190	4	32	0	0	0	0	0	0	1
10	Verne	4	38	6	0	109	54	179	4	30	0	0	0	0	0	0	2
11	Myrna	4	33	6	0	94	47	149	4	26	0	0	0	0	0	0	2
12	Katherine	6	37	15	0	80	101	151	20	42	0	0	0	0	0	0	2
13	Sylvia	7	46	21	0	80	156	187	35	60	0	0	0	0	0	0	2
14	Nora	8	43	28	0	85	205	133	56	48	0	0	0	0	0	0	2
15	Helen	5	34	10	0	101	84	133	10	26	0	0	0	0	0	0	2
16	Dorothy	2	24	1	0	87	8	133	0	8	0	0	0	0	0	0	2
17	Olivia	2	14	1	0	53	10	58	0	2	0	0	0	0	0	0	2
18	Flora	2	14	1	0	53	10	58	0	2	0	0	0	0	0	0	2
19	Event 1	3	19	3	0	105	8	51	1	15	0	0	0	0	0	0	3
20	Event 2	3	20	3	0	114	8	57	1	16	0	0	0	0	0	0	3
21	Event 3	6	32	15	0	116	52	78	20	54	0	0	0	0	0	0	3
22	Event 4	4	23	6	0	117	21	60	4	24	0	0	0	0	0	0	3
23	Event 5	8	38	28	0	112	104	84	56	81	0	0	0	0	0	0	3
24	Event 6	8	41	28	0	142	145	100	56	71	0	0	0	0	0	0	3
25	Event 7	10	48	45	0	147	260	105	120	86	0	0	0	0	0	0	3
26	Event 8	14	59	91	0	81	481	119	364	143	0	0	0	0	0	0	3
27	Event 9	12	46	66	0	129	340	98	220	83	0	0	0	0	0	0	3
28	Event 10	5	25	10	0	109	36	55	10	32	0	0	0	0	0	0	3
29	Event 11	4	13	6	0	81	27	27	4	6	0	0	0	0	0	0	3
30	Event 12	6	28	15	0	115	54	58	20	43	0	0	0	0	0	0	3
31	Event 13	3	18	3	0	92	8	46	1	14	0	0	0	0	0	0	3
32	Event 14	3	18	3	0	92	8	46	1	14	0	0	0	0	0	0	3
