mS#id	mS#node	C#n2v-0	C#n2v-1	C#n2v-2	C#n2v-3	C#n2v-4	C#n2v-5	C#n2v-6	C#n2v-7	C#n2v-8	C#n2v-9	C#n2v-10	C#n2v-11	C#n2v-12	C#n2v-13	C#n2v-14	C#n2v-15	C#n2v-16	C#n2v-17	C#n2v-18	C#n2v-19	C#n2v-20	C#n2v-21	C#n2v-22	C#n2v-23	C#n2v-24	C#n2v-25	C#n2v-26	C#n2v-27	C#n2v-28	C#n2v-29	C#n2v-30	C#n2v-31	cD#class
1	Evelyn	-0.2233764	-0.18567415	0.23492685	0.20623405	0.07314426	0.07125245	0.45413572	-0.061179098	0.1308426	0.2687976	0.27205276	0.0017979499	0.00797514	-0.00781693	-0.13265435	-0.27411595	-0.16499479	-0.023565594	0.15834178	0.041458305	0.46158051	0.23553744	0.5593807	-0.16843729	0.06533753	-0.064787805	-0.2069552	-0.10999185	0.19078921	-0.42876455	-0.23954639	0.11544997	1
2	Laura	-0.14391212	-0.14443052	0.22183332	0.20674492	0.17923594	0.07671856	0.38260743	0.050019566	0.26070836	0.22072853	0.31143945	-0.07576332	0.014608438	0.06962473	-0.13948047	-0.29228437	-0.16206321	0.002349254	0.11252682	0.06388545	0.41719902	0.13427183	0.6679453	-0.08372767	0.1794919	-0.05748111	-0.1809351	-0.054691236	0.19844714	-0.4224392	-0.24458285	0.14914906	1
3	Theresa	-0.265732	-0.14520113	0.28294843	0.19687088	0.05164184	0.02524315	0.3492115	0.04015705	0.1679611	0.17445381	0.24221094	0.0035497437	0.002067455	-0.034251373	-0.12210388	-0.29296255	-0.20494828	0.025391525	0.1082381	0.053537324	0.38898382	0.20308165	0.5479448	-0.14352646	0.14319882	-0.04356716	-0.19522703	-0.10842706	0.1601957	-0.38451976	-0.18328743	0.10343986	1
4	Brenda	-0.23061633	-0.2056122	0.18166974	0.17401466	0.106103204	0.06765537	0.41899756	-0.00053596427	0.17187245	0.30705804	0.317213	-6.912185e-05	0.03330334	-0.013907056	-0.17197727	-0.27975976	-0.14973442	0.028005982	0.12555113	0.059613686	0.4476836	0.23624629	0.5625723	-0.17218526	0.070546106	-0.04965605	-0.23149122	-0.062169217	0.20151806	-0.39929906	-0.2039171	0.109949864	1
5	Charlotte	-0.30517188	-0.28106305	0.18150751	0.23369716	0.078543074	0.103932366	0.42558882	-0.078560874	0.23024762	0.33979893	0.32291502	0.043151967	0.14082725	-0.14338268	-0.19625188	-0.3918702	-0.057549953	0.06662152	0.15624458	-0.009024103	0.44487864	0.3314534	0.50612384	-0.09320187	-1.8273364e-05	-0.05248431	-0.19424956	-0.04896072	0.28252286	-0.33220905	-0.26182336	0.16332957	1
6	Frances	-0.22087102	-0.24873506	0.119908266	0.13068046	0.12922642	0.17676465	0.29167807	0.013040518	0.19584417	0.3386272	0.3215156	-0.0051018745	0.10249794	-0.07004339	-0.27116224	-0.41200453	-0.068957	0.066603914	-0.042340584	-0.0726796	0.42058682	0.24590354	0.61914915	-0.25607723	0.030937005	0.06188826	-0.302199	-0.023950621	0.2661514	-0.38392028	-0.28716838	0.2948313	1
7	Eleanor	-0.24422337	-0.07299427	0.29811653	0.112487085	0.0804663	0.038733188	0.20466484	0.14340317	0.25973755	0.1003567	0.20205222	-0.055948053	0.107072346	-0.054041848	-0.12238019	-0.39937308	-0.1416244	0.045680247	-0.026761275	0.0035386153	0.20874701	0.19944212	0.5708246	-0.14391047	0.17464228	0.032479476	-0.27658275	0.07551878	0.17072314	-0.38050252	-0.18707664	0.215367	1
8	Pearl	-0.22850421	0.023238497	0.40400538	0.14052413	0.044717394	-0.09819782	0.18110846	0.043556042	0.14928436	0.043216	0.089106165	-0.06008404	0.047934692	-0.04351544	-0.10532636	-0.229417	-0.19821951	-0.039939463	0.016085967	0.07782935	0.20914407	0.18084382	0.5822571	-0.16156211	0.214497	0.022695113	-0.34408125	0.030855611	0.0066894973	-0.392839	-0.11481107	0.057809565	1
9	Ruth	-0.2409685	-0.160919	0.32012305	0.16848068	0.07250493	-0.001068718	0.23916088	0.055563405	0.22840708	0.17567095	0.22378924	-0.1079347	0.120071016	-0.06838994	-0.12668611	-0.28954402	-0.11767087	0.058239307	0.048223753	0.021247176	0.23232919	0.24363144	0.56379336	-0.05351283	0.14204651	0.03459845	-0.2775874	0.06284914	0.074352324	-0.34919605	-0.20067635	0.029205486	1
10	Verne	-0.31159636	-0.1008004	0.33371586	0.17703553	0.04768946	-0.2656613	0.1658107	0.113487855	0.1883852	-0.0625024	0.10040515	-0.17835364	0.20954847	-0.11402257	-0.16789433	-0.30837718	-0.016958674	-0.06928877	-0.010933797	0.17453162	-0.036142994	0.3290634	0.4888755	-0.111751035	0.12075546	0.10243619	-0.38044602	0.2620062	0.014220018	-0.2770473	-0.21805693	0.089498885	2
11	Myrna	-0.31919822	-0.074684314	0.44906253	0.18712819	-0.16769473	-0.4820638	0.16290529	0.13303046	0.07250083	-0.1965814	0.114122756	-0.14428885	0.11619265	-0.13185638	-0.107566655	-0.36153972	-0.017652301	-0.00817048	-0.007535649	0.13528879	-0.093901545	0.35385245	0.4032091	-0.07274223	0.05435953	0.13627802	-0.42733064	0.31942806	-0.085183494	-0.3600282	-0.26695183	-0.0075450065	2
12	Katherine	-0.41079232	-0.030183937	0.40598094	0.13163985	-0.15878624	-0.5504806	0.13101308	0.2547949	0.028598065	-0.18277803	0.035991777	-0.17393507	0.097696245	-0.14554505	-0.05436121	-0.27253225	-0.05666631	-0.16752543	0.016285112	0.15809521	-0.18984723	0.39991093	0.409652	-0.3087024	0.048219234	0.18608116	-0.54706234	0.37376583	-0.066952	-0.3379431	-0.11540089	0.033911716	2
13	Sylvia	-0.37559983	-0.091411546	0.35421082	0.19894287	-0.18115415	-0.44676736	0.19488361	0.24964043	0.044767216	-0.11864328	0.08218449	-0.19861208	0.11247144	-0.13417688	-0.057324633	-0.27304012	-0.013913465	-0.11568101	-0.03326733	0.18193027	-0.1410356	0.39256945	0.42603707	-0.29299966	0.061007254	0.18146986	-0.4438508	0.32717976	-0.0528729	-0.33660755	-0.13288437	0.05292554	2
14	Nora	-0.33862665	0.013871414	0.46260148	0.07441305	0.010582781	-0.34790236	0.16288802	0.17365392	0.14430428	-0.07106355	0.021632127	-0.2844629	0.11949139	-0.03678641	-0.09280584	-0.20892379	-0.23884186	-0.13131307	0.121022664	0.14299011	-0.11649796	0.29644635	0.5108996	-0.2391809	0.1376797	0.121775866	-0.37364852	0.15322742	-0.08365117	-0.3281042	0.020981308	-0.076481596	2
