V1.ime	V2.priimek	V3.AvtID	V4.OpisVloga	V5.kjluc	V6.organiz	V7.COBISS	V8	V9.STATUS1	V10.STATUS2	V11.POD	V12.DIS	V13.VED	V14.leto	V15.tip	V16.vloga	V17.stAvt	V18.samo	V19.vdisc	V20.medDisc	V21.izven	V22.tipTock	V23.tocke	vrstniRed	V25.starost	V26.Dr	V27.spol	V28	V29.excellent	V30.ResGroup
Sandi	Klavžar	5949	avtor	05949/3081988	3-207 & 4-016	3081988	main	ACT	RSR	5	1	1	1988	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A4 (Z1)	12.42	9695	1971	1	M	Z1	NA	1053
Zvonimir	Bohte	158	avtor	00158/7534425	4-016 & 3-111.02	7534425	main	RET	RSR	3	1	1	1992	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	15.0	10955	1957	1	M	Z2	NA	NA
Jože	Nemec	2923	avtor	02923/5900121	NA	5900121	main	RET	RSR	5	1	1	1994	1.01	R.1	2	0	0.25	0.25	0.0	NA	NA	10981	1970	1	M	NA	NA	NA
Jože	Nemec	2923	NA	02923/6330372	3-209	6330372	main	RET	RSR	5	1	1	1994	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	15.0	10982	1970	1	M	Z2	NA	NA
Jože	Nemec	2923	avtor	02923/5758468	3-209	5758468	main	RET	RSR	5	1	1	1994	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	15.0	10984	1970	1	M	Z2	NA	NA
Jože	Benčina	14402	avtor	14402/1254830	NA	1254830	main	ACT	RSR	NA	1	1	2001	1.01	R.1	2	0	0.25	0.25	0.0	1C (Z2)	15.0	11011	1979	1	M	Z2	NA	411
Gašper	Jaklič	20271	avtor	20271/2672558	3-111.02 & 4-016	2672558	main	ACT	RSR	3	1	1	2007	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.111111111111111	1A2 (Z1)	29.38	11033	1999	1	M	Z1	NA	3
Zvonimir	Bohte	158	avtor	00158/7648601	3-111.02 & 4-016	7648601	main	RET	RSR	3	1	1	1998	1.08	R.1	2	0	0.25	0.25	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	11117	1957	1	M	S	NA	NA
Jože	Nemec	2923	avtor	02923/5436676	3-209	5436676	main	RET	RSR	5	1	1	1993	1.08	R.1	2	0	0.25	0.25	0.0	4NK (S); zbornik nerecenziranih prispevkov	2.5	11185	1970	1	M	S	NA	NA
Jože	Benčina	14402	avtor	14402/1500882	NA	1500882	main	ACT	RSR	NA	1	1	2001	1.08	R.1	2	0	0.25	0.25	0.0	4C (Z2)	12.5	11249	1979	1	M	Z2	NA	411
Gašper	Jaklič	20271	avtor	20271/2767278	3-111.02 & 4-016	2767278	main	ACT	RSR	3	1	1	2007	1.08	R.1	3	0	0.111111111111111	0.222222222222222	0.111111111111111	4C (Z2)	8.33	11269	1999	1	M	Z2	NA	3
Marko	Lovrečič Saražin	755	avtor	00755/17117957	4-015	17117957	main	ACT	RSR	5	1	1	1994	1.01	R.1	7	0	0.0204081632653061	0.122448979591837	0.0204081632653061	1C (Z2)	4.29	14258	1984	0	M	Z2	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/17240837	4-015	17240837	main	ACT	RSR	5	1	1	1996	1.01	R.1	4	0	0.0625	0.1875	0.0	1A2 (Z1)	21.53	18120	1984	0	M	Z1	NA	NA
Marko	Lovrečič Saražin	755	avtor	00755/148906	4-015	148906	main	ACT	RSR	5	1	1	1999	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.0	1A4 (Z1)	15.65	33125	1984	0	M	Z1	NA	NA
Zvonimir	Bohte	158	avtor	00158/8605273	3-111.02 & 4-016	8605273	main	RET	RSR	3	1	1	1987	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1C (Z2)	8.0	35595	1957	1	M	Z2	NA	NA
Zvonimir	Bohte	158	avtor	00158/8606297	3-111.02 & 4-016	8606297	main	RET	RSR	3	1	1	1988	1.01	R.1	2	0	0.25	0.25	0.25	1C (Z2)	15.0	35598	1957	1	M	Z2	NA	NA
Zvonimir	Bohte	158	avtor	00158/7365721	3-111.02 & 4-016	7365721	main	RET	RSR	3	1	1	1987	1.03	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1NK (S)	1.67	35602	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/7704322	3-111.02 & 4-016	7704322	main	RET	RSR	3	1	1	1988	1.03	R.1	1	1	0.0	0.0	0.0	1NK (S)	5.0	35604	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8604761	4-016 & 3-111.02	8604761	main	RET	RSR	3	1	1	1986	1.08	R.1	3	0	0.333333333333333	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	35661	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8604761	NA	8604761	main	ACT	RSR	6	1	1	1986	1.08	R.1	3	0	0.333333333333333	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	35662	1974	1	M	S	NA	NA
Dušan	Fajfar	10075	avtor	10075/8604761	NA	8604761	main	ACT	RSR	3	1	1	1986	1.08	R.1	3	0	0.333333333333333	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	1.67	35663	1974	0	M	S	NA	622
Zvonimir	Bohte	158	avtor	00158/8604505	4-016 & 3-111.02	8604505	main	RET	RSR	3	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35664	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8604505	NA	8604505	main	ACT	RSR	6	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35665	1974	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8603737	3-111.02 & 4-016	8603737	main	RET	RSR	3	1	1	1986	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	35667	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8603993	4-016 & 3-111.02	8603993	main	RET	RSR	3	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35669	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8603993	NA	8603993	main	ACT	RSR	6	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35670	1974	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8604249	4-016 & 3-111.02	8604249	main	RET	RSR	3	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35672	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8604249	NA	8604249	main	ACT	RSR	6	1	1	1986	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35673	1974	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8605017	3-111.02 & 4-016	8605017	main	RET	RSR	3	1	1	1988	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	35675	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8617049	3-111.02 & 4-016	8617049	main	RET	RSR	3	1	1	1989	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	35677	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8616793	3-111.02 & 4-016	8616793	main	RET	RSR	3	1	1	1990	1.08	R.1	1	1	0.0	0.0	0.0	4NK (S); zbornik nerecenziranih prispevkov	5.0	35679	1957	1	M	S	NA	NA
Zvonimir	Bohte	158	avtor	00158/8617561	3-111.02 & 4-016	8617561	main	RET	RSR	3	1	1	1990	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35681	1957	1	M	S	NA	NA
Drago	Čepar	1857	avtor	01857/8617561	NA	8617561	main	ACT	RSR	6	1	1	1990	1.08	R.1	3	0	0.222222222222222	0.111111111111111	0.111111111111111	4NK (S); zbornik nerecenziranih prispevkov	1.67	35682	1974	1	M	S	NA	NA
Anton	Suhadolc	204	avtor	00204/7823449	3-111.02 & 4-016	7823449	main	NAC	RSR	NA	1	1	1991	1.01	R.1	3	0	0.111111111111111	0.222222222222222	0.222222222222222	1A1 (Z1, A')	34.32	49892	1956	1	M	Z1	1	NA
Anton	Suhadolc	204	avtor	00204/10760281	NA	10760281	main	NAC	RSR	NA	1	1	2001	1.01	R.1	1	1	0.0	0.0	0.0	1C (Z2)	30.0	49894	1956	1	M	Z2	NA	NA
Anton	Suhadolc	204	avtor	00204/7589465	3-111.02	7589465	main	NAC	RSR	NA	1	1	1997	1.02	R.1	1	1	0.0	0.0	0.0	1C (Z2)	24.0	49895	1956	1	M	Z2	NA	NA
