SICRISid,FNAME,LNAME,FIELD,SUBFIELD,COBISSid,EvalPoints,TypeDesc,PubYear,Role
15530,Sergej M.,Ageev,01,02,7005785,10,article,1996,avtor
15530,Sergej M.,Ageev,01,02,7006041,6.67,article,1996,avtor
15530,Sergej M.,Ageev,01,02,7102809,2.5,article,1997,avtor
15530,Sergej M.,Ageev,01,02,7103321,2.5,article,1997,avtor
15530,Sergej M.,Ageev,01,02,7316569,1.25,article,1997,avtor
15530,Sergej M.,Ageev,01,02,7319897,1.67,article,1997,avtor
15530,Sergej M.,Ageev,01,02,8413785,15.96,article,1998,avtor
15530,Sergej M.,Ageev,01,02,8442457,26.38,article,1998,avtor
15530,Sergej M.,Ageev,01,02,8751449,38.4,article,1998,avtor
15530,Sergej M.,Ageev,01,02,8871513,5,article,1998,avtor
15530,Sergej M.,Ageev,01,02,8908889,25.07,article,1999,avtor
15530,Sergej M.,Ageev,01,02,8909401,0,article,1998,avtor
15530,Sergej M.,Ageev,01,02,8981849,10,article,1999,avtor
15530,Sergej M.,Ageev,01,02,9661785,0,article,1999,avtor
15530,Sergej M.,Ageev,01,02,10085977,20,article,2000,avtor
15530,Sergej M.,Ageev,01,02,10337881,30.54,article,2000,avtor
15530,Sergej M.,Ageev,01,02,10403929,37.54,article,2001,avtor
15530,Sergej M.,Ageev,01,02,11520345,25.94,article,2002,avtor
15530,Sergej M.,Ageev,01,02,11912793,26.68,article,2002,avtor
15530,Sergej M.,Ageev,01,02,12003929,0,article,2002,avtor
15530,Sergej M.,Ageev,01,02,12005977,0,article,2002,avtor
15530,Sergej M.,Ageev,01,02,12486489,26.67,article,2003,avtor
15530,Sergej M.,Ageev,01,02,12667993,0,article,2003,avtor
15530,Sergej M.,Ageev,01,02,13172825,17.07,article,2004,avtor
15530,Sergej M.,Ageev,01,02,13174361,0,article,2004,avtor
15530,Sergej M.,Ageev,01,02,15194201,20,article,2009,avtor
15530,Sergej M.,Ageev,01,02,15539033,37.12,article,2010,avtor
15530,Sergej M.,Ageev,01,02,15546969,0,article,2010,avtor
15530,Sergej M.,Ageev,01,02,16225625,40,article,2012,avtor
15530,Sergej M.,Ageev,01,02,16514905,25.89,article,2012,avtor
15530,Sergej M.,Ageev,01,02,16515161,0,article,2012,avtor
15530,Sergej M.,Ageev,01,02,61831424,1.67,article,1996,avtor
53230,Danel,Ahman,01,00,18737753,20,monograph,2017,avtor
53230,Danel,Ahman,01,00,18739545,3.13,article,2019,avtor
53230,Danel,Ahman,01,00,18747225,13.33,article,2016,avtor
53230,Danel,Ahman,01,00,18747737,12.5,article,2016,avtor
53230,Danel,Ahman,01,00,18747993,5.71,article,2019,avtor
53230,Danel,Ahman,01,00,18749529,2.24,article,2019,avtor
53230,Danel,Ahman,01,00,18750297,40,article,2018,avtor
53230,Danel,Ahman,01,00,18750553,6.67,article,2018,avtor
53230,Danel,Ahman,01,00,18751065,12.5,article,2017,avtor
53230,Danel,Ahman,01,00,18827865,12.5,article,2019,avtor
53230,Danel,Ahman,01,00,18971481,12.5,article,2020,avtor
53230,Danel,Ahman,01,00,24920067,6.67,article,2020,avtor
53230,Danel,Ahman,01,00,45728771,20,article,2021,avtor
53230,Danel,Ahman,01,00,83902723,1,monograph,2021,somentor
53230,Danel,Ahman,01,00,87828995,0.5,article,2021,avtor
53230,Danel,Ahman,01,00,87829763,1,article,2021,avtor
53230,Danel,Ahman,01,00,87830531,0.67,article,2021,avtor
12066,Janez,Aleš,01,05,3530585,2,monograph,1990,avtor
12066,Janez,Aleš,01,05,3648857,10,monograph,1992,avtor
12066,Janez,Aleš,01,05,5022809,5,article,1989,avtor
12066,Janez,Aleš,01,05,5023065,5,article,1989,avtor
12066,Janez,Aleš,01,05,8360537,2,article,1990,avtor
12066,Janez,Aleš,01,05,8874073,2,article,1999,avtor
12066,Janez,Aleš,01,05,9741401,20,monograph,1999,avtor
12066,Janez,Aleš,01,05,14178393,20.42,article,2007,avtor
36412,Vesna,Andova,01,05,15894617,38.63,article,2011,avtor
36412,Vesna,Andova,01,05,16271449,29.83,article,2012,avtor
36412,Vesna,Andova,01,05,16552537,21.08,article,2012,avtor
36412,Vesna,Andova,01,05,16578649,4,article,2012,avtor
36412,Vesna,Andova,01,05,16579673,20,monograph,2013,avtor
36412,Vesna,Andova,01,05,16589913,26.35,article,2012,avtor
36412,Vesna,Andova,01,05,16662873,53.94,article,2013,avtor
36412,Vesna,Andova,01,05,16698969,10,article,2013,avtor
36412,Vesna,Andova,01,05,16970841,24.59,article,2014,avtor
36412,Vesna,Andova,01,05,17268825,6.67,article,2014,avtor
36412,Vesna,Andova,01,05,17269337,6.67,article,2014,avtor
36412,Vesna,Andova,01,05,17291353,53.18,article,2015,avtor
36412,Vesna,Andova,01,05,17291865,31.91,article,2015,avtor
36412,Vesna,Andova,01,05,17644633,33.13,article,2016,avtor
36412,Vesna,Andova,01,05,36169987,28.77,article,2020,avtor
36412,Vesna,Andova,01,05,38649347,34.18,article,2020,avtor
36412,Vesna,Andova,01,05,78477571,0,monograph,2021,
36412,Vesna,Andova,01,05,79271427,1.6,article,2021,avtor
36412,Vesna,Andova,01,05,89792515,28.77,article,2021,avtor
36412,Vesna,Andova,01,05,2048248083,16.76,article,2011,avtor
36412,Vesna,Andova,01,05,2048248339,23.18,article,2011,avtor
36412,Vesna,Andova,01,05,2048248595,57.95,article,2011,avtor
36412,Vesna,Andova,01,05,2048296194,6.67,article,2015,avtor
36412,Vesna,Andova,01,05,2048342291,8.33,article,2014,avtor
36412,Vesna,Andova,01,05,2048386835,26.67,article,2016,avtor
36412,Vesna,Andova,01,05,2048450323,39.14,article,2017,avtor
36412,Vesna,Andova,01,05,2048453651,0.67,article,2017,avtor
36412,Vesna,Andova,01,05,2048494611,18.44,article,2018,avtor
36412,Vesna,Andova,01,05,2048541203,29.71,article,2018,avtor
36412,Vesna,Andova,01,05,2048560147,29.71,article,2018,avtor
36412,Vesna,Andova,01,05,2048605715,0,monograph,2019,
36412,Vesna,Andova,01,05,2048606227,2,article,2019,avtor
26242,Goran,Andrašec,01,00,1826147,25,article,2007,avtor
