     Proverb | 'Gliha vkup štriha.'
     Similar | 'Obrstar vkupe striha.'
          EN | 'Gliha is a stroke.'
          HR | 'Gliha je moždani udar.'
          FR | 'Gliha est un accident vasculaire cérébral.'
          ZH | '格里哈中风了。'

     Proverb | 'Jezik z mošnjo raste.'
     Similar | 'Knjižni jezik s listnico pada.'
          EN | 'The tongue grows with the scrotum.'
          HR | 'Jezik raste sa skrotumom.'
          FR | 'La langue grandit avec le scrotum.'
          ZH | '舌头随着阴囊一起生长。'

     Proverb | 'Lakota je najboljši kuhar.'
     Similar | 'Žeja bo najslabši kuharski mojster.'
          EN | 'Hunger is the best cook.'
          HR | 'Glad je najbolji kuhar.'
          FR | 'La faim est le meilleur cuisinier.'
          ZH | '饥饿是最好的厨师。'

     Proverb | 'Za prepir sta potrebna dva.'
     Similar | 'Nadaljno pretep bosta nujna oba.'
          EN | 'It takes two to make a fight.'
          HR | 'Za borbu je potrebno dvoje.'
          FR | 'Il faut être deux pour faire un combat.'
          ZH | '打架需要两个人。'

     Proverb | 'En cvet še ne naredi pomladi.'
     Similar | 'Kak nagelj she pod nobenim pogojem naredita jeseni.'
          EN | 'One flower does not make a spring.'
          HR | 'Jedan cvijet ne čini proljeće.'
          FR | 'Une fleur ne fait pas un printemps.'
          ZH | '一花不成春。'

     Proverb | 'Rožnik deževen viničar reven.'
     Similar | 'Šmarno goro sončen gostilničar ubog.'
          EN | 'Rožnik rainy winegrower poor.'
          HR | 'Rožnik kišni vinogradar siromah.'
          FR | 'Rožnik pluvieux vigneron pauvre.'
          ZH | 'Rožnik 多雨的葡萄种植者贫穷。'

     Proverb | 'Visokim smrekam vihar vrhove lomi.'
     Similar | 'Nizkim iglavcem snežni vihar vršace drobi.'
          EN | 'The storm breaks the tops of tall spruce trees.'
          HR | 'Oluja lomi vrhove visokih smreka.'
          FR | 'La tempête brise la cime des grands épinettes.'
          ZH | '风暴打破了高大的云杉的顶部。'

     Proverb | 'Odloženo delo obtožuje, zamujeno kaznuje.'
     Similar | 'Ustavljeno udejstvovanje obtožujejo, izgubljeno sankcionira.'
          EN | 'He accuses delayed work, punishes delayed work.'
          HR | 'Optužuje zakašnjeli rad, kažnjava zakašnjeli rad.'
          FR | 'Il accuse les retards de travail, punit les retards de travail.'
          ZH | '他指责耽误工作，惩罚耽误工作。'

     Proverb | 'Kdor gre na Dunaj, naj pusti trebuh zunaj.'
     Similar | 'Gdor šlo nanj Celovec, nej pustijo trebušček izven.'
          EN | 'Whoever goes to Vienna should leave his stomach outside.'
          HR | 'Tko ide u Beč neka ostavi želudac vani.'
          FR | 'Quiconque va à Vienne devrait laisser son estomac dehors.'
          ZH | '去维也纳的人都应该把肚子留在外面。'

     Proverb | 'Počasi se daleč pride, naglica koristi samo zajcem.'
     Similar | 'Zlagoma inse dalec prihaja, ihta ugodnosti le jelenom.'
          EN | 'Slow goes a long way, haste only benefits rabbits.'
          HR | 'Sporo ide daleko, žurba koristi samo kunićima.'
          FR | 'La lenteur va loin, la hâte ne profite qu&#39;aux lapins.'
          ZH | '慢走大路，欲速则不达。'

