       Graph | 'imdb_actors'
        Type | 'x--y'
       Nodes | 17,577
       Edges | 287,074
      Degree | 32.66

    0.044606 | 'Davis, Mark (V)'
    0.034706 | 'Sanders, Alex (I)'
    0.034081 | 'North, Peter (I)'
    0.033227 | 'Marcus, Mr.'
    0.031919 | 'Tedeschi, Tony'
    0.031577 | 'Dough, Jon'
    0.031008 | 'Stone, Lee (II)'
    0.030325 | 'Voyeur, Vince'
    0.028448 | 'Lawrence, Joel (II)'
    0.028050 | 'Steele, Lexington'

    0.000658 | 'Hanks, Tom'
    0.000640 | 'Jackson, Samuel L.'
    0.000605 | 'Goldberg, Whoopi'
    0.000558 | 'Stiller, Ben'
    0.000544 | 'Davis, Mark (V)'
    0.000542 | 'Berl�and, Fran�ois'
    0.000538 | 'Lopez, Jennifer (I)'
    0.000534 | 'Berry, Halle'
    0.000512 | 'Diaz, Cameron'
    0.000485 | 'Travolta, John'

       Graph | 'got_coappear'
        Type | 'x--y'
       Nodes | 107
       Edges | 352
      Degree | 6.58

    0.339623 | 'Tyrion'
    0.245283 | 'Jon'
    0.245283 | 'Sansa'
    0.235849 | 'Robb'
    0.226415 | 'Jaime'
    0.207547 | 'Tywin'
    0.188679 | 'Cersei'
    0.179245 | 'Arya'
    0.169811 | 'Robert'
    0.169811 | 'Joffrey'

    0.042675 | 'Tyrion'
    0.035909 | 'Jon'
    0.030052 | 'Robb'
    0.029863 | 'Sansa'
    0.029123 | 'Daenerys'
    0.028613 | 'Jaime'
    0.025570 | 'Tywin'
    0.022305 | 'Robert'
    0.022159 | 'Cersei'
    0.021953 | 'Arya'

       Graph | 'got_kills'
        Type | 'x--y'
       Nodes | 293
       Edges | 226
      Degree | 1.54

    0.041096 | 'Arya Stark'
    0.041096 | 'Jon Snow'
    0.034247 | 'Sandor Clegane'
    0.030822 | 'Ramsay Bolton'
    0.023973 | 'Daenerys Targaryen'
    0.020548 | 'Drogon'
    0.020548 | 'Daario Naharis'
    0.020548 | 'Cersei'
    0.020548 | 'Hound'
    0.017123 | 'Jaime Lannister'

    0.018302 | 'Arya Stark'
    0.017476 | 'Jon Snow'
    0.014352 | 'Ramsay Bolton'
    0.014252 | 'Sandor Clegane'
    0.011418 | 'Daenerys Targaryen'
    0.009863 | 'Hound'
    0.009710 | 'Daario Naharis'
    0.009710 | 'Cersei'
    0.009679 | 'Drogon'
    0.008557 | 'Jaime Lannister'

