     Proverb | 'Gliha vkup štriha.'
     Similar | 'Obrstar vkupe striha.'
          EN | 'The whole thing is a stroke.'
          HR | 'Cijela stvar je moždani udar.'
          FR | 'Tout cela est un AVC.'
          ZH | '整个过程就是一次中风。'

     Proverb | 'Jezik z mošnjo raste.'
     Similar | 'Knjižni jezik s listnico pada.'
          EN | 'The tongue grows with the scrotum.'
          HR | 'Jezik raste zajedno sa skrotumom.'
          FR | 'La langue grandit en même temps que le scrotum.'
          ZH | '舌头与阴囊一起生长。'

     Proverb | 'Lakota je najboljši kuhar.'
     Similar | 'Žeja bo najslabši kuharski mojster.'
          EN | 'Hunger is the best cook.'
          HR | 'Glad je najbolji kuhar.'
          FR | 'La faim est le meilleur cuisinier.'
          ZH | '饥饿是最好的厨师。'

     Proverb | 'Za prepir sta potrebna dva.'
     Similar | 'Nadaljno pretep bosta nujna oba.'
          EN | 'It takes two to argue.'
          HR | 'Za svađu je potrebno dvoje.'
          FR | 'Il faut être deux pour se disputer.'
          ZH | '争论需要两个人。'

     Proverb | 'En cvet še ne naredi pomladi.'
     Similar | 'Kak nagelj she pod nobenim pogojem naredita jeseni.'
          EN | 'One flower doesn&#39;t make a spring.'
          HR | 'Jedan cvijet ne čini proljeće.'
          FR | 'Une seule fleur ne fait pas le printemps.'
          ZH | '一朵花不足以构成春天。'

     Proverb | 'Rožnik deževen viničar reven.'
     Similar | 'Šmarno goro sončen gostilničar ubog.'
          EN | 'The poor, rainy, poor farmer.'
          HR | 'Siromašni, kišni, siromašni farmer.'
          FR | 'Le pauvre fermier, sous la pluie.'
          ZH | '可怜的、多雨的、贫穷的农民。'

     Proverb | 'Visokim smrekam vihar vrhove lomi.'
     Similar | 'Nizkim iglavcem snežni vihar vršace drobi.'
          EN | 'The storm breaks the tops of tall spruce trees.'
          HR | 'Oluja lomi vrhove visokih smreka.'
          FR | 'La tempête brise la cime des grands épicéas.'
          ZH | '暴风雨折断了高大云杉树的树梢。'

     Proverb | 'Odloženo delo obtožuje, zamujeno kaznuje.'
     Similar | 'Ustavljeno udejstvovanje obtožujejo, izgubljeno sankcionira.'
          EN | 'He accuses delayed work, punishes missed work.'
          HR | 'Optužuje zakašnjeli rad, kažnjava propušteni rad.'
          FR | 'Il reproche les retards de travail, il punit les absences.'
          ZH | '他指责工作拖延，惩罚旷工。'

     Proverb | 'Kdor gre na Dunaj, naj pusti trebuh zunaj.'
     Similar | 'Gdor šlo nanj Celovec, nej pustijo trebušček izven.'
          EN | 'Anyone going to Vienna should leave their stomach outside.'
          HR | 'Svatko tko ide u Beč trebao bi ostaviti želudac vani.'
          FR | 'Quiconque se rend à Vienne devrait laisser son estomac à l&#39;extérieur.'
          ZH | '去维也纳的人最好把自己的胃留在外面。'

     Proverb | 'Počasi se daleč pride, naglica koristi samo zajcem.'
     Similar | 'Zlagoma inse dalec prihaja, ihta ugodnosti le jelenom.'
          EN | 'Slow goes a long way, haste only benefits rabbits.'
          HR | 'Polako ide daleko, žurba koristi samo zečevima.'
          FR | 'La lenteur est une vertu, la précipitation ne profite qu&#39;aux lapins.'
          ZH | '慢工出细活，操之过急只会让兔子受益。'
