attack	date	latitude	longitude	deaths	injuries	views
Jewish Museum of Belgium shooting	1400882400	50.8503463	4.3517211	4	0	72244
2014 Norway terror threat	1406152800	60.47202399999999	8.468945999999999	0	0	6480
2014 Rada' bombings	1418684400	14.4118704	44.8365136	31	0	4203
2014 Tours police station stabbing	1419030000	47.351861	0.6613099	0	0	12916
January 2015 Île-de-France attacks	1420585200	48.8499198	2.6370411	20	22	308106
2015 Jabal Mohsen suicide attacks	1420844400	32.8872094	13.1913383	9	30	8718
Opération Sentinelle	1421017200	46.227638	2.213749	0	0	19598
2015 anti-terrorism operations in Belgium	1421276400	50.5910564	5.8655951	0	0	19565
2015 Nice stabbing attack	1422918000	43.7101728	7.261953200000001	0	3	2601
2015 Copenhagen shootings	1423868400	55.6760968	12.5683372	3	6	134961
2015 Sana'a mosque bombings	1426806000	15.3694451	44.1910066	142	351	36861
Sid Ahmed Ghlam case	1429394400	48.792716	2.359279	1	0	4510
Zvornik police station shooting	1430085600	43.915886	17.679076	2	2	10640
2015 Eschborn-Frankfurt City Loop	1430431200	50.1109221	8.6821267	0	0	3556
Operation Ruben	1430863200	43.915886	17.679076	0	0	4454
2015 Diyarbakır rally bombings	1433455200	37.9249733	40.2109826	4	100	20614
2015 Saint-Quentin-Fallavier attack	1435269600	45.632449	5.111562	1	2	25081
2015 Kuwait mosque bombing	1435269600	29.375859	47.9774052	27	227	73481
2015 Shuvat Rachel shooting	1435528800	32.054539	35.310703	1	3	3751
2015 Suruç bombing	1437343200	36.9751199	38.424287	34	104	179507
2015 Thalys train attack	1440108000	50.4636179	2.991651	0	4	265633
Rafik Yousef	1442440800	52.52000659999999	13.404954	1	1	7953
2015 Ankara bombings	1444428000	39.9333635	32.8597419	109	500	293374
Metrojet Flight 9268	1446246000	26.820553	30.802498	224	0	847450
2015 Beirut bombings	1447282800	33.8937913	35.5017767	43	200	227967
November 2015 Paris attacks	1447369200	48.936181	2.357443	137	413	6817681
2015 Saint-Denis raid	1447714800	48.936181	2.357443	0	0	72686
Brussels lockdown	1448060400	50.8503463	4.3517211	0	0	36038
November 2015 Sinai attack	1448319600	29.5	34.0	7	10	3772
January 2016 Paris police station attack	1452121200	48.856614	2.3522219	1	1	27080
Zliten truck bombing	1452121200	32.2785242	14.5189214	60	200	22021
2016 Hurghada attack	1452207600	27.2578957	33.8116067	1	3	14772
January 2016 Istanbul bombing	1452553200	41.0082376	28.9783589	14	9	63681
2016 Brussels police raids	1457996400	50.8503463	4.3517211	0	0	49929
March 2016 Istanbul bombing	1458342000	41.0082376	28.9783589	5	36	152725
2016 Brussels bombings	1458601200	50.8503463	4.3517211	35	340	1494606
2016 Düsseldorf terrorism plot	1464818400	51.2277411	6.7734556	0	0	6968
2016 Magnanville stabbing	1465768800	48.969534	1.68413	3	0	38216
2016 Atatürk Airport attack	1467064800	41.0082376	28.9783589	48	230	166225
Muhammad ibn Ali al-Hadi Mausoleum attack	1467842400	34.0076216	44.148291	100	75	10634
2016 Würzburg train attack	1468792800	49.79130439999999	9.9533548	1	0	81653
2016 Ansbach bombing	1469311200	49.3004246	10.5719357	1	15	64892
2016 Normandy church attack	1469484000	49.380305	1.108209	3	3	76548
2016 stabbing of Charleroi police officers	1470434400	50.4108095	4.444643	1	2	3249
2016 Shchelkovo Highway police station attack	1471384800	55.755826	37.6172999	3	1	3076
Notre Dame Cathedral bombing attempt	1472940000	48.6892489	2.530174	0	0	8689
2016 stabbing of Brussels police officers	1475618400	50.8503463	4.3517211	0	4	3030
2016 Chemnitz terrorism plot	1475877600	50.827845	12.9213697	0	0	12520
2016 Balkans terrorism plot	1479337200	42.6026359	20.902977	0	0	4380
Botroseya Church bombing	1481410800	30.0444196	31.2357116	29	47	63756
2017 Istanbul nightclub shooting	1483225200	41.0082376	28.9783589	39	70	48429
January 2017 Baghdad bombings	1483311600	33.315241	44.3660671	56	122	14548
January 2015 Sinai attacks	1485644400	29.5	34.0	44	62	9630
Louvre machete attack	1486076400	48.856614	2.3522219	0	2	3513
March 2017 Île-de-France attacks	1489791600	48.7262433	2.3652472	1	2	16694
2017 Westminster attack	1490137200	51.5073509	-0.1277583	6	49	1034018
2017 Saint Petersburg Metro bombing	1491170400	59.9342802	30.3350986	16	87	170242
Palm Sunday church bombings	1491688800	31.1988606	29.9266296	47	126	29203
April 2017 Champs-Élysées attack	1492639200	48.856614	2.3522219	2	3	5807
Manchester Arena bombing	1495404000	53.4807593	-2.2426305	23	120	16402
2017 Minya attack	1495749600	28.0870967	30.7618397	29	22	77995
June 2017 London Bridge attack	1496440800	51.5073509	-0.1277583	11	48	85549
2017 Notre Dame attack	1496700000	48.856614	2.3522219	0	2	18095
2017 Tehran attacks	1496786400	35.6891975	51.3889736	23	52	145625
2017 Brussels attack	1497909600	50.8503463	4.3517211	1	0	15278
2017 Hamburg attack	1501192800	53.5510846	9.9936819	1	7	12618
Levallois-Perret attack	1502229600	48.89321700000001	2.287864	0	7	7310
2017 Catalonia attacks	1502920800	41.3850639	2.1734035	0	0	14887
