discipline	gender	rank	name	country	time	penalty
C1	M	17	BERCIC Anze	SLO	89.37	52
C1	M	4	BOZIC Luka	SLO	84.44	2
C1	M	8	BURGESS Adam	GBR	90.46	2
C1	M	7	GARGAUD CHANUT Denis	FRA	87.3	0
C1	M	12	IVALDI Raffaello	ITA	89.81	2
C1	M	10	MIRGORODSKY Marko	SVK	88.89	0
C1	M	6	SAVSEK Benjamin	SLO	84.83	2
C1	M	1	SLAFKOVSKY Alexander	SVK	86.27	0
C1	M	2	TASIADIS Sideris	GER	86.2	2
C1	M	22	TUCHSCHERER Lennard	GER	90.24	2
C1	W	2	FRANKLIN Mallory	GBR	96.52	0
C1	W	14	HOCEVAR Eva Alina	SLO	105.58	4
C1	W	19	HUG Angele	FRA	110.07	0
C1	W	10	LEIBFARTH Evy	USA	98.27	0
C1	W	7	LILIK Elena	GER	101.51	0
C1	W	20	LUKNAROVA Emanuela	SVK	111.69	6
C1	W	9	OLAZABAL Klara	ESP	105.17	0
C1	W	4	SATILA Ana	BRA	121.38	8
C1	W	16	US Viktoriia	UKR	103.68	0
C1	W	5	WOODS Kimberley	GBR	103.19	2
K1	M	9	BIAZIZZO Mathieu	FRA	85.96	2
K1	M	5	DE GENNARO Giovanni	ITA	80.7	50
K1	M	11	GRIGAR Jakub	SVK	84.61	0
K1	M	18	HEGGE Noah	GER	83.39	52
K1	M	2	KAUZER Peter	SLO	79.94	6
K1	M	25	LEITNER Mario	AUT	91.53	0
K1	M	1	PRSKAVEC Jiri	CZE	79.79	0
K1	M	22	RENIA Benjamin	FRA	89.01	2
K1	M	21	SRABOTNIK Martin	SLO	81.16	0
K1	M	51	VALANT Ulan	SLO	85.9	4
K1	W	37	CHAREL Coline	FRA	96.39	52
K1	W	1	FOX Jessica	AUS	92.24	2
K1	W	5	FRANKLIN Mallory	GBR	95.02	2
K1	W	20	HOCEVAR Eva Alina	SLO	96.65	2
K1	W	2	KUHNLE Corinna	AUT	100.26	2
K1	W	15	LEIBFARTH Evy	USA	95.9	2
K1	W	7	SATILA Ana	BRA	98.18	50
K1	W	3	TERCELJ Eva	SLO	92.7	52
K1	W	10	US Viktoriia	UKR	95.58	2
K1	W	14	VALIKOVA Barbora	CZE	97.91	2
