        Teleport | 'Lord of the Rings'
        0.023522 | 'Lord of the Rings 2'
        0.016657 | 'Lord of the Rings 3'
        0.003824 | 'Hobbit'
        0.003824 | 'Hobbit 2'
        0.003824 | 'Hobbit 3'
        0.001706 | 'Dead Lands'
        0.001544 | 'Turbo Kid'
        0.001440 | 'Mortal Engines'
        0.001402 | 'Slow West'
        0.001384 | 'Valerian and the City of a Thousand Planets'
        0.001341 | 'Warrior's Way'
        0.001336 | 'Power Rangers'
        0.001310 | 'War for the Planet of the Apes'
        0.000426 | 'Wonder Woman'
        0.000411 | 'Aquaman'
        0.000404 | 'Legend of Tarzan'
        0.000392 | 'Brothers Grimm'
        0.000387 | 'Red Cliff 2'
        0.000386 | 'Pompeii'
        0.000380 | 'Life of Pi'
        0.000372 | 'Great Wall'
        0.000369 | 'Pirates of the Caribbean 5'
        0.000368 | 'Despicable Me 2'
        0.000368 | 'Little Prince'
        0.000367 | 'Moana'

        Teleport | 'm-Johnny Depp'
        0.009460 | 'Alice Through the Looking Glass'
        0.009445 | 'Blow'
        0.009436 | 'Alice in Wonderland'
        0.009424 | 'Fantastic Beasts'
        0.009405 | 'Pirates of the Caribbean 2'
        0.009366 | 'Edward Scissorhands'
        0.009170 | 'Pirates of the Caribbean'
        0.009170 | 'Pirates of the Caribbean 3'
        0.009050 | 'Pirates of the Caribbean 5'
        0.009017 | 'Dark Shadows'
        0.008937 | 'Sweeney Todd'
        0.008911 | 'Fear and Loathing in Las Vegas'
        0.008832 | 'Lone Ranger'
        0.008809 | 'Pirates of the Caribbean 4'
        0.008790 | 'Tourist'
        0.008751 | 'Transcendence'
        0.008616 | 'Public Enemies'
        0.008568 | 'Mortdecai'
        0.008450 | 'Black Mass'
        0.000707 | 'Miss Peregrine's Home for Peculiar Children'
        0.000671 | 'Big Fish'
        0.000646 | 'Warrior's Way'
        0.000620 | 'Muppets Most Wanted'
        0.000586 | 'Best Offer'
        0.000583 | 'Into the Woods'

        Teleport | 'm-Animation'
        0.002036 | 'Ice Age'
        0.001859 | 'Shaun the Sheep Movie'
        0.001844 | 'Moana'
        0.001818 | 'Prep & Landing'
        0.001815 | 'Cars Toon'
        0.001814 | 'Ice Age 4'
        0.001808 | 'Son of Bigfoot'
        0.001806 | 'Mary and Max'
        0.001805 | 'Mower Minions'
        0.001802 | 'Ice Age 5'
        0.001800 | 'Wild Life'
        0.001792 | 'Khumba'
        0.001787 | 'Saving Santa'
        0.001775 | 'Finding Dory'
        0.001773 | 'Penguins of Madagascar'
        0.001772 | 'Madagascar Penguins in a Christmas Caper'
        0.001768 | 'Asterix and Obelix'
        0.001768 | 'Rio'
        0.001768 | 'La Luna'
        0.001767 | 'Scrat Spaced Out'
        0.001767 | 'Hoodwinked'
        0.001764 | 'All Creatures Big and Small'
        0.001757 | 'Sheep & Wolves'
        0.001756 | 'Partly Cloudy'
        0.001756 | 'Ratatouille'

