  Rank | Mathematic
     1 | Dušan Repovš [7083]
     2 | Sandi Klavžar [5949]
     3 | Bojan Mohar [1931]
     4 | Peter Šemrl [5953]
     5 | Matej Brešar [8721]
     6 | Milan Randić [15106]
     7 | Dragan Marušič [2887]
     8 | Tomaž Pisanski [1941]
     9 | Janez Žerovnik [3430]
    10 | Vicenţiu Rǎdulescu [29964]
    11 | Taras Banakh [31193]
    12 | Dikran N. Dikranjan [28252]
    13 | Franc Forstnerič [9990]
    14 | Joso Vukman [4310]
    15 | Valery Romanovski [20779]
    16 | Josip Globevnik [2301]
    17 | Matjaž Omladič [9573]
    18 | Boštjan Brešar [17005]
    19 | Dragan Stevanović [29820]
    20 | Lev V. Nedorezov [34929]
    21 | Katarina Košmelj [9085]
    22 | Vladimir Batagelj [1467]
    23 | Marko Petkovšek [1935]
    24 | Primož Potočnik [18838]
    25 | Aleksander Malnič [2507]
    26 | Bojan Magajna [1470]
    27 | Edward Dobson [34109]
    28 | Roman Drnovšek [11709]
    29 | Tomaž Košir [8398]
    30 | Andrej Blejec [6989]
    31 | Janko Gravner [4997]
    32 | Sergio Cabello [25993]
    33 | Boris Lavrič [5000]
    34 | Borut Zalar [11719]
    35 | Jernej Kozak [3425]
    36 | Bojan Kuzma [18893]
    37 | Matija Cencelj [3342]
    38 | Igor Klep [22353]
    39 | Aleksandar Jurišić [8724]
    40 | Michael Zarichnyi [31192]
    41 | Štefko Miklavič [21656]
    42 | Irena Kosi-Ulbl [19549]
    43 | Sergej Mihajlovič Ageev [15530]
    44 | Alenka Kavkler [18866]
    45 | Anton Cedilnik [1639]
    46 | Jaka Cimprič [15127]
    47 | Primož Moravec [20268]
    48 | Roman Nedela [27776]
    49 | Srečko Devjak [3958]
    50 | Blaž Zmazek [15571]
    51 | Irina Cristea [34686]
    52 | Klavdija Kutnar [24997]
    53 | Maja Fošner [20272]
    54 | Jurij Vladimirovič Muranov [15532]
    55 | Martin Juvan [11220]
    56 | Ajda Fošner [23005]
    57 | Damijana Kastelec [10689]
    58 | Gašper Jaklič [20271]
    59 | Gregor Dolinar [18750]
    60 | Jože Malešič [5485]
    61 | Miran Černe [8722]
    62 | Simon Špacapan [24904]
    63 | Vito Lampret [2113]
    64 | Bor Plestenjak [15136]
    65 | Ganna Kudryavtseva [30109]
    66 | Janko Bračič [19511]
    67 | Petar Pavešić [10768]
    68 | Uroš Milutinović [8727]
    69 | Andrej Bauer [15854]
    70 | István Kovács [25997]
    71 | Marko Razpet [3231]
