        Document | 'ul-fmf.txt'
           'fmf' | 1.10920721
    'matematike' | 1.10920721
        'fizike' | 1.04395973
       'seminar' | 1.02221057
           'čet' | 0.97871224

        Document | 'ul-fri.txt'
           'fri' | 1.58906528
   'informatika' | 0.95751369
       'športne' | 0.92695475
   'sodelovanja' | 0.92695475
        'dvojni' | 0.88620948

        Document | 'ul-fs.txt'
   'strojništvo' | 1.06018529
        'pogoji' | 0.98354539
         'staro' | 0.95799876
            'fs' | 0.95799876
         'smeri' | 0.91967881

        Document | 'ul-fdv.txt'
           'fdv' | 1.21795301
      'družbene' | 0.94608850
          'cena' | 0.91346476
       'outlook' | 0.88084102
        'izvozi' | 0.88084102

        Document | 'ul-ff.txt'
    'filozofska' | 1.00405301
            'ff' | 0.94499107
       'besedne' | 0.89331187
         'views' | 0.88592913
           'cls' | 0.87116364

