       Graph | 'got_kills'
        Type | 'x--y'
       Nodes | 295 (0)
       Edges | 226 (0)
      Degree | 1.53
         LCC | 7.1% (69)
        Time | 0.00 sec

                     Node | Degree
             'Arya Stark' | 0.04081633
               'Jon Snow' | 0.04081633
         'Sandor Clegane' | 0.03401361
          'Ramsay Bolton' | 0.03061224
     'Daenerys Targaryen' | 0.02380952
                 'Drogon' | 0.02040816
         'Daario Naharis' | 0.02040816
                 'Cersei' | 0.02040816
                  'Hound' | 0.02040816
        'Jaime Lannister' | 0.01700680
                'Brienne' | 0.01700680
                'Ygritte' | 0.01700680
                 'Wights' | 0.01700680
           'White Walker' | 0.01360544
              'Ned Stark' | 0.01360544
          'Jorah Mormont' | 0.01360544

                     Node | Eigenvector
             'Arya Stark' | 0.06764895
             'Night King' | 0.05368903
            'Lothar Frey' | 0.04823162
               'Polliver' | 0.04410224
    'Black Walder Rivers' | 0.04410224
              'Stableboy' | 0.04062417
  'Several Frey Soldiers' | 0.04062417
                  'Rorge' | 0.04062417
                  'Ghita' | 0.04062417
        'Ser Meryn Trant' | 0.04062417
               'The Waif' | 0.04062417
       'Lord Walder Frey' | 0.04062417
'Lord&#160;Petyr  Baelish' | 0.04062417
               'Jon Snow' | 0.03288798
                   'Olly' | 0.02786212
            'Karl Tanner' | 0.02669789

                     Node | PageRank
               'Jon Snow' | 0.01927555
             'Arya Stark' | 0.01921152
         'Sandor Clegane' | 0.01659873
          'Ramsay Bolton' | 0.01494745
     'Daenerys Targaryen' | 0.01201307
         'Daario Naharis' | 0.01117498
                 'Cersei' | 0.01117498
                  'Hound' | 0.01117498
                 'Drogon' | 0.01007840
        'Jaime Lannister' | 0.00961795
                'Brienne' | 0.00961795
                'Ygritte' | 0.00867279
                 'Wights' | 0.00819730
              'Ned Stark' | 0.00806092
    'Mag Mar Tun Doh Weg' | 0.00806092
          'Jorah Mormont' | 0.00767436

       Graph | 'imdb_actors'
        Type | 'x--y'
       Nodes | 17,577 (0)
       Edges | 287,074 (0)
      Degree | 32.66
         LCC | 99.3% (19)
        Time | 0.23 sec

                     Node | Degree
        'Davis, Mark (V)' | 0.04460628
      'Sanders, Alex (I)' | 0.03470642
       'North, Peter (I)' | 0.03408056
            'Marcus, Mr.' | 0.03322713
         'Tedeschi, Tony' | 0.03191853
             'Dough, Jon' | 0.03157715
        'Stone, Lee (II)' | 0.03100819
          'Voyeur, Vince' | 0.03032544
    'Lawrence, Joel (II)' | 0.02844788
      'Steele, Lexington' | 0.02804961
            'Ashley, Jay' | 0.02787893
              'Boy, T.T.' | 0.02702549
    'Cannon, Chris (III)' | 0.02679791
            'Jeremy, Ron' | 0.02679791
             'Bune, Tyce' | 0.02634274
             'Hanks, Tom' | 0.02600137

                     Node | Eigenvector
      'Benoit, Chris (I)' | 0.00367717
        'Guerrero, Eddie' | 0.00367717
           'Storm, Lance' | 0.00366094
            'Wight, Paul' | 0.00365604
         'Jericho, Chris' | 0.00365582
        'Runnels, Dustin' | 0.00363851
             'Flair, Ric' | 0.00363614
        'Huffman, Booker' | 0.00363347
         'Bischoff, Eric' | 0.00362907
         'Wilson, Torrie' | 0.00362871
          'Gruner, Peter' | 0.00362276
      'Levy, Scott (III)' | 0.00362233
           'Helms, Shane' | 0.00362060
        'Greenwald, Nora' | 0.00361107
         'Keibler, Stacy' | 0.00361107
       'Alfonso, Michael' | 0.00361041

                     Node | PageRank
             'Hanks, Tom' | 0.00065995
     'Jackson, Samuel L.' | 0.00064240
       'Goldberg, Whoopi' | 0.00060665
           'Stiller, Ben' | 0.00056077
        'Davis, Mark (V)' | 0.00054731
    'Lopez, Jennifer (I)' | 0.00054234
     'Berl�and, Fran�ois' | 0.00053992
           'Berry, Halle' | 0.00053626
          'Diaz, Cameron' | 0.00051434
         'Travolta, John' | 0.00048640
            'Jeremy, Ron' | 0.00047581
        'Myers, Mike (I)' | 0.00046797
            'Cruise, Tom' | 0.00046642
 'Schwarzenegger, Arnold' | 0.00046365
          'Baldwin, Alec' | 0.00046323
        'Smith, Will (I)' | 0.00045769

