                     Character | Like 'Alliser Thorne'
          'Ser Alliser Thorne' | 77.8% (4 ops)
                    'Viserion' | 42.9% (8 ops)
                'Arthur Dayne' | 35.7% (9 ops)
                  'Melisandre' | 35.7% (9 ops)
                 'Walder Frey' | 35.7% (9 ops)

                     Character | Like 'Amory Lorch'
             'Ser Amory Lorch' | 73.3% (4 ops)
                  'Areo Hotah' | 36.4% (7 ops)
                   'Grey Worm' | 36.4% (7 ops)
                  'Lord Varys' | 36.4% (7 ops)
                  'Arya Stark' | 27.3% (8 ops)

                     Character | Like 'Arthur Dayne'
            'Ser Arthur Dayne' | 75.0% (4 ops)
                 'Brother Ray' | 50.0% (6 ops)
                'Water Dancer' | 41.7% (7 ops)
                    'Dothraki' | 33.3% (8 ops)
                 'Lothar Frey' | 33.3% (8 ops)

                     Character | Like 'Benjen Stark'
                  'Bran Stark' | 66.7% (4 ops)
                  'Baby Stark' | 58.3% (5 ops)
                   'Ned Stark' | 58.3% (5 ops)
                 'Sansa Stark' | 58.3% (5 ops)
                  'Arya Stark' | 50.0% (6 ops)

                     Character | Like 'Ellaria Sand'
                'Nymeria Sand' | 66.7% (4 ops)
                  'Obara Sand' | 66.7% (4 ops)
                  'Tyene Sand' | 41.7% (7 ops)
                  'Arya Stark' | 33.3% (8 ops)
                  'Bolton Son' | 33.3% (8 ops)

                     Character | Like 'Euron Greyjoy'
               'Theon Greyjoy' | 76.9% (3 ops)
          'King Euron Greyjoy' | 72.2% (5 ops)
                   'Emmon Cuy' | 38.5% (8 ops)
                       'Euron' | 38.5% (8 ops)
          'King Balon Greyjoy' | 55.6% (8 ops)

                     Character | Like 'Gregor Clegane'
              'Sandor Clegane' | 71.4% (4 ops)
          'Ser Gregor Clegane' | 77.8% (4 ops)
                  'Areo Hotah' | 35.7% (9 ops)
                'Arthur Dayne' | 35.7% (9 ops)
                   'Grey Wind' | 35.7% (9 ops)

                     Character | Like 'Jaime Lannister'
            'Lancel Lannister' | 75.0% (4 ops)
         'Ser Jaime Lannister' | 78.9% (4 ops)
            'Martyn Lannister' | 68.8% (5 ops)
            'Tyrion Lannister' | 68.8% (5 ops)
            'Willem Lannister' | 68.8% (5 ops)

                     Character | Like 'Jorah Mormont'
           'Ser Jorah Mormont' | 76.5% (4 ops)
                   'Khal Moro' | 46.2% (7 ops)
                   'Grey Worm' | 38.5% (8 ops)
                  'Khal Qorro' | 38.5% (8 ops)
                 'Meryn Trant' | 38.5% (8 ops)

                     Character | Like 'Khal Brozho'
                  'Khal Drogo' | 72.7% (3 ops)
                 'Khal Forzho' | 72.7% (3 ops)
                   'Khal Moro' | 63.6% (4 ops)
                  'Khal Qorro' | 63.6% (4 ops)
                 'Khal Rhalko' | 54.5% (5 ops)

                     Character | Like 'Khal Forzho'
                 'Khal Brozho' | 72.7% (3 ops)
                   'Khal Moro' | 72.7% (3 ops)
                  'Khal Qorro' | 72.7% (3 ops)
                  'Khal Drogo' | 63.6% (4 ops)
                 'Khal Rhalko' | 54.5% (5 ops)

                     Character | Like 'King Balon Greyjoy'
          'King Euron Greyjoy' | 83.3% (3 ops)
        'Prince Theon Greyjoy' | 65.0% (7 ops)
               'Euron Greyjoy' | 55.6% (8 ops)
               'Theon Greyjoy' | 55.6% (8 ops)
           'King Mance Rayder' | 44.4% (10 ops)

                     Character | Like 'King Euron Greyjoy'
          'King Balon Greyjoy' | 83.3% (3 ops)
               'Euron Greyjoy' | 72.2% (5 ops)
        'Prince Theon Greyjoy' | 65.0% (7 ops)
               'Theon Greyjoy' | 55.6% (8 ops)
           'King Mance Rayder' | 38.9% (11 ops)

                     Character | Like 'Lady Cerwyn'
                  'Lady Crane' | 63.6% (4 ops)
                  'Lysa Arryn' | 45.5% (6 ops)
                        'Lady' | 36.4% (7 ops)
             'Lady Lysa Arryn' | 53.3% (7 ops)
                  'Lord Varys' | 36.4% (7 ops)

                     Character | Like 'Lancel Lannister'
             'Jaime Lannister' | 75.0% (4 ops)
        'Ser Lancel Lannister' | 80.0% (4 ops)
            'Martyn Lannister' | 68.8% (5 ops)
            'Willem Lannister' | 68.8% (5 ops)
            'Tyrion Lannister' | 62.5% (6 ops)

                     Character | Like 'Lord Ramsay Bolton'
           'Lord Roose Bolton' | 77.8% (4 ops)
               'Ramsay Bolton' | 72.2% (5 ops)
           'Lady Walda Bolton' | 61.1% (7 ops)
                'Roose Bolton' | 50.0% (9 ops)
            'Lord Janos Slynt' | 44.4% (10 ops)

                     Character | Like 'Lord Roose Bolton'
          'Lord Ramsay Bolton' | 77.8% (4 ops)
                'Roose Bolton' | 70.6% (5 ops)
           'Lady Walda Bolton' | 52.9% (8 ops)
               'Lord of Bones' | 52.9% (8 ops)
            'Lord Janos Slynt' | 47.1% (9 ops)

                     Character | Like 'Martyn Lannister'
            'Tyrion Lannister' | 75.0% (4 ops)
             'Jaime Lannister' | 68.8% (5 ops)
            'Lancel Lannister' | 68.8% (5 ops)
         'Ser Alton Lannister' | 68.4% (6 ops)
            'Willem Lannister' | 62.5% (6 ops)

                     Character | Like 'Meryn Trant'
             'Ser Meryn Trant' | 73.3% (4 ops)
                  'Lady Crane' | 45.5% (6 ops)
                  'Arya Stark' | 36.4% (7 ops)
                  'Bran Stark' | 36.4% (7 ops)
                     'Drennan' | 36.4% (7 ops)

                     Character | Like 'Nymeria Sand'
                'Ellaria Sand' | 66.7% (4 ops)
                  'Obara Sand' | 58.3% (5 ops)
                  'Tyene Sand' | 58.3% (5 ops)
                  'Meera Reed' | 41.7% (7 ops)
                  'Arya Stark' | 33.3% (8 ops)

                     Character | Like 'Prince Doran Martell'
       'Prince Oberyn Martell' | 81.0% (4 ops)
     'Prince Trystane Martell' | 73.9% (6 ops)
         'Prince Rickon Stark' | 45.0% (11 ops)
        'Prince Theon Greyjoy' | 45.0% (11 ops)
            'Ser Loras Tyrell' | 45.0% (11 ops)

                     Character | Like 'Prince Oberyn Martell'
        'Prince Doran Martell' | 81.0% (4 ops)
     'Prince Trystane Martell' | 69.6% (7 ops)
         'Prince Rickon Stark' | 47.6% (11 ops)
        'Prince Theon Greyjoy' | 47.6% (11 ops)
    'Prince Viserys Targaryen' | 54.2% (11 ops)

                     Character | Like 'Ramsay Bolton'
                'Roose Bolton' | 69.2% (4 ops)
          'Lord Ramsay Bolton' | 72.2% (5 ops)
                      'Ramsay' | 46.2% (7 ops)
           'Lady Walda Bolton' | 52.9% (8 ops)
                'Master Eaton' | 38.5% (8 ops)

                     Character | Like 'Roose Bolton'
               'Ramsay Bolton' | 69.2% (4 ops)
           'Lord Roose Bolton' | 70.6% (5 ops)
               'Jorah Mormont' | 38.5% (8 ops)
                'Master Eaton' | 33.3% (8 ops)
                 'Robar Royce' | 33.3% (8 ops)

                     Character | Like 'Sandor Clegane'
              'Gregor Clegane' | 71.4% (4 ops)
                  'Lady Crane' | 50.0% (7 ops)
          'Ser Gregor Clegane' | 61.1% (7 ops)
                 'Janos Slynt' | 42.9% (8 ops)
                 'Lady Cerwyn' | 35.7% (9 ops)

                     Character | Like 'Sansa Stark'
                  'Arya Stark' | 63.6% (4 ops)
                  'Baby Stark' | 63.6% (4 ops)
                  'Bran Stark' | 63.6% (4 ops)
                'Benjen Stark' | 58.3% (5 ops)
                   'Ned Stark' | 54.5% (5 ops)

                     Character | Like 'Ser Alliser Thorne'
              'Alliser Thorne' | 77.8% (4 ops)
             'Ser Willis Wode' | 55.6% (8 ops)
            'Ser Arthur Dayne' | 50.0% (9 ops)
             'Ser Amory Lorch' | 44.4% (10 ops)
           'Ser Axell Florent' | 44.4% (10 ops)

                     Character | Like 'Ser Alton Lannister'
         'Ser Kevan Lannister' | 78.9% (4 ops)
         'Ser Jaime Lannister' | 73.7% (5 ops)
            'Martyn Lannister' | 68.4% (6 ops)
        'Ser Lancel Lannister' | 70.0% (6 ops)
            'Tyrion Lannister' | 68.4% (6 ops)

                     Character | Like 'Ser Amory Lorch'
                 'Amory Lorch' | 73.3% (4 ops)
            'Ser Waymar Royce' | 50.0% (8 ops)
           'Ser Axell Florent' | 47.1% (9 ops)
            'Ser Boros Blount' | 43.8% (9 ops)
           'Ser Jorah Mormont' | 47.1% (9 ops)

                     Character | Like 'Ser Arthur Dayne'
                'Arthur Dayne' | 75.0% (4 ops)
              'Ser Ilyn Payne' | 56.2% (7 ops)
            'Ser Waymar Royce' | 50.0% (8 ops)
                 'Brother Ray' | 43.8% (9 ops)
          'Ser Alliser Thorne' | 50.0% (9 ops)

                     Character | Like 'Ser Gregor Clegane'
              'Gregor Clegane' | 77.8% (4 ops)
              'Sandor Clegane' | 61.1% (7 ops)
            'Ser Arthur Dayne' | 50.0% (9 ops)
           'Ser Axell Florent' | 44.4% (10 ops)
             'Ser Balon Swann' | 44.4% (10 ops)

                     Character | Like 'Ser Jaime Lannister'
             'Jaime Lannister' | 78.9% (4 ops)
        'Ser Lancel Lannister' | 80.0% (4 ops)
         'Ser Alton Lannister' | 73.7% (5 ops)
         'Ser Kevan Lannister' | 73.7% (5 ops)
        'Ser Jaremy Mallister' | 70.0% (6 ops)

                     Character | Like 'Ser Jorah Mormont'
               'Jorah Mormont' | 76.5% (4 ops)
            'Ser Boros Blount' | 52.9% (8 ops)
            'Ser Loras Tyrell' | 52.9% (8 ops)
             'Ser Meryn Trant' | 52.9% (8 ops)
             'Ser Amory Lorch' | 47.1% (9 ops)

                     Character | Like 'Ser Kevan Lannister'
         'Ser Alton Lannister' | 78.9% (4 ops)
         'Ser Jaime Lannister' | 73.7% (5 ops)
        'Ser Lancel Lannister' | 70.0% (6 ops)
        'Lord Tywin Lannister' | 65.0% (7 ops)
            'Martyn Lannister' | 63.2% (7 ops)

                     Character | Like 'Ser Lancel Lannister'
            'Lancel Lannister' | 80.0% (4 ops)
         'Ser Jaime Lannister' | 80.0% (4 ops)
         'Ser Alton Lannister' | 70.0% (6 ops)
         'Ser Kevan Lannister' | 70.0% (6 ops)
             'Jaime Lannister' | 60.0% (8 ops)

                     Character | Like 'Ser Meryn Trant'
                 'Meryn Trant' | 73.3% (4 ops)
             'Ser Balon Swann' | 53.3% (7 ops)
              'Ser Ilyn Payne' | 53.3% (7 ops)
            'Ser Boros Blount' | 50.0% (8 ops)
           'Ser Jorah Mormont' | 52.9% (8 ops)

                     Character | Like 'The Silk King'
              'The Spice King' | 78.6% (3 ops)
             'The Copper King' | 60.0% (6 ops)
