     Proverb | 'Vse je šlo za med.'
     Synonym | 'Use bo gre nadaljno primerjavi.'
          HR | 'Sve se radilo o medu.'
          EN | 'It was all about honey.'
          DE | 'Es drehte sich alles um Honig.'
          FR | 'Tout était question de miel.'
          ZH | '这都是关于蜂蜜的。'

     Proverb | 'Jezik z mošnjo raste.'
     Synonym | 'Dialekt s listnico pada.'
          HR | 'Jezik raste sa skrotumom.'
          EN | 'The tongue grows with the scrotum.'
          DE | 'Die Zunge wächst mit dem Hodensack.'
          FR | 'La langue grandit avec le scrotum.'
          ZH | '舌头与阴囊一起生长。'

     Proverb | 'Lakota je najboljši kuhar.'
     Synonym | 'Žeja bo najslabši slaščičar.'
          HR | 'Glad je najbolja kuharica.'
          EN | 'Hunger is the best cook.'
          DE | 'Hunger ist der beste Koch.'
          FR | 'La faim est le meilleur cuisinier.'
          ZH | '饥饿是最好的厨师。'

     Proverb | 'Za prepir sta potrebna dva.'
     Synonym | 'Nadaljno pretep bosta nujna oba.'
          HR | 'Za svađu je potrebno dvoje.'
          EN | 'It takes two to quarrel.'
          DE | 'Zum Streiten braucht es zwei.'
          FR | 'Il faut être deux pour se disputer.'
          ZH | '吵架需要两个人。'

     Proverb | 'En cvet še ne naredi pomladi.'
     Synonym | 'Kak nagelj she nea naredita jeseni.'
          HR | 'Jedan cvijet još ne čini proljeće.'
          EN | 'One flower doesn’t make a spring yet.'
          DE | 'Eine Blume macht noch keinen Frühling.'
          FR | 'Une fleur ne fait pas encore de printemps.'
          ZH | '一朵花还没有成为春天。'

     Proverb | 'Rožnik deževen viničar reven.'
     Synonym | 'Mostec sončen gostilničar ubog.'
          HR | 'Rožnik kišni vinogradar siromašan.'
          EN | 'Rožnik rainy winegrower poor.'
          DE | 'Rožnik regnerischer Winzer arm.'
          FR | 'Rožnik pluvieux vigneron pauvre.'
          ZH | 'Rožnik 多雨的葡萄种植者很差。'

     Proverb | 'Visokim smrekam vihar vrhove lomi.'
     Synonym | 'Nizkim iglavcem cunami vršace drobi.'
          HR | 'Visoka smrekova oluja lomi vrhove.'
          EN | 'A tall spruce storm breaks the tops.'
          DE | 'Ein hoher Fichtensturm bricht die Spitzen.'
          FR | 'Une grande tempête d&#39;épinettes brise les sommets.'
          ZH | '一场高大的云杉风暴打破了顶部。'

     Proverb | 'Odloženo delo obtožuje, zamujeno kaznuje.'
     Synonym | 'Ustavljeno udejstvovanje obtožujejo, izgubljeno sankcionira.'
          HR | 'Optužuje zakašnjeli rad, kažnjava propušteni posao.'
          EN | 'He accuses delayed work, punishes missed work.'
          DE | 'Er wirft verspätete Arbeit vor, bestraft versäumte Arbeit.'
          FR | 'Il accuse le travail retardé, punit le travail manqué.'
          ZH | '他指责耽误工作，惩罚旷工。'

     Proverb | 'Kdor gre na Dunaj, naj pusti trebuh zunaj.'
     Synonym | 'Gdor šlo nanj Celovec, nej pustijo trebušček izven.'
          HR | 'Tko ide u Beč neka ostavi trbuh vani.'
          EN | 'Whoever goes to Vienna should leave his belly outside.'
          DE | 'Wer nach Wien geht, sollte seinen Bauch draußen lassen.'
          FR | 'Quiconque va à Vienne doit laisser son ventre dehors.'
          ZH | '去维也纳的人都应该把肚子留在外面。'

     Proverb | 'Počasi se daleč pride, naglica koristi samo zajcem.'
     Synonym | 'Zlagoma inse dalec prihaja, ihta ugodnosti le jelenom.'
          HR | 'Polako se stiže daleko, žurba koristi samo zečevima.'
          EN | 'Slowly it gets far, haste only benefits rabbits.'
          DE | 'Langsam wird es weit, Eile nützt nur Hasen.'
          FR | 'Lentement ça va loin, la hâte ne profite qu&#39;aux lapins.'
          ZH | '慢慢地，它变得越来越远，急速只对兔子有利。'

        Time | 21.9 sec

