         ZIP | 1336
        City | 'Kostel, Slovenija'
    Location | (45.508, 14.909)
      Google | 370 pages

         ZIP | 2286
        City | 'Podlehnik, Slovenija'
    Location | (46.336, 15.879)
      Google | 81 pages

         ZIP | 9203
        City | 'Petrovci, Slovenija'
    Location | (46.804, 16.219)
      Google | 0 pages

         ZIP | 1337
        City | 'Osilnica, Slovenija'
    Location | (45.529, 14.698)
      Google | 3 pages

         ZIP | 3303
        City | 'Gomilsko, Slovenija'
    Location | (46.253, 15.043)
      Google | 1 pages

         ZIP | 9001
        City | 'Murska Sobota – P.P., Slovenija'
    Location | (46.658, 16.161)
      Google | 1,320 pages

         ZIP | 1230
        City | 'Domžale, Slovenija'
    Location | (46.142, 14.594)
      Google | 1,490 pages

         ZIP | 2282
        City | 'Cirkulane, Slovenija'
    Location | (46.344, 15.995)
      Google | 8 pages

         ZIP | 3206
        City | 'Stranice, Slovenija'
    Location | (46.364, 15.366)
      Google | 1,060 pages

         ZIP | 3263
        City | 'Gorica pri Slivnici, Slovenija'
    Location | (46.187, 15.431)
      Google | 5 pages

         ZIP | 4223
        City | 'Poljane nad Škofjo Loko, Slovenija'
    Location | (46.121, 14.186)
      Google | 8 pages

         ZIP | 8250
        City | 'Brežice, Slovenija'
    Location | (45.909, 15.596)
      Google | 1,710 pages

         ZIP | 2382
        City | 'Mislinja, Slovenija'
    Location | (46.444, 15.199)
      Google | 9 pages

         ZIP | 1273
        City | 'Dole pri Litiji, Slovenija'
    Location | (46.030, 15.022)
      Google | 3 pages

         ZIP | 8211
        City | 'Dobrnič, Slovenija'
    Location | (45.876, 14.979)
      Google | 1 pages

        Time | 15.0 sec

